datetime,KNCUSD_open,KNCUSD_high,KNCUSD_low,KNCUSD_close
2022-01-14 08:00:00,1.4101,1.4144,1.3854,1.3998
2022-01-14 09:00:00,1.3978,1.4041,1.39,1.3914
2022-01-14 10:00:00,1.3918,1.3937,1.3697,1.37
2022-01-14 11:00:00,1.3698,1.3757,1.36,1.3735
2022-01-14 12:00:00,1.3734,1.3813,1.3632,1.377
2022-01-14 13:00:00,1.3748,1.3821,1.3675,1.368
2022-01-14 14:00:00,1.3674,1.39,1.364,1.386
2022-01-14 15:00:00,1.3863,1.397,1.3807,1.3902
2022-01-14 16:00:00,1.3905,1.3956,1.3777,1.3947
2022-01-14 17:00:00,1.3945,1.4013,1.388,1.3967
2022-01-14 18:00:00,1.3954,1.4154,1.3951,1.4154
2022-01-14 19:00:00,1.4157,1.4326,1.4156,1.4244
2022-01-14 20:00:00,1.424,1.4292,1.41,1.4209
2022-01-14 21:00:00,1.4213,1.4253,1.4186,1.4194
2022-01-14 22:00:00,1.4194,1.4228,1.4126,1.413
2022-01-14 23:00:00,1.4137,1.4238,1.4061,1.4198
2022-01-15 00:00:00,1.4197,1.4233,1.4013,1.4186
2022-01-15 01:00:00,1.4184,1.4221,1.4057,1.4142
2022-01-15 02:00:00,1.4139,1.4251,1.4115,1.4243
2022-01-15 03:00:00,1.4237,1.4276,1.421,1.4239
2022-01-15 04:00:00,1.4224,1.4276,1.4191,1.4224
2022-01-15 05:00:00,1.4224,1.4477,1.4214,1.426
2022-01-15 06:00:00,1.4295,1.4334,1.4276,1.4333
2022-01-15 07:00:00,1.4343,1.4348,1.4285,1.4328
2022-01-15 08:00:00,1.4348,1.4426,1.4304,1.4415
2022-01-15 09:00:00,1.4407,1.452,1.435,1.4492
2022-01-15 10:00:00,1.4479,1.46,1.4466,1.46
2022-01-15 11:00:00,1.46,1.472,1.4593,1.4639
2022-01-15 12:00:00,1.4646,1.4783,1.4469,1.4515
2022-01-15 13:00:00,1.4511,1.4738,1.4507,1.4709
2022-01-15 14:00:00,1.4728,1.5195,1.4709,1.4988
2022-01-15 15:00:00,1.4988,1.5017,1.4854,1.4888
2022-01-15 16:00:00,1.4894,1.4972,1.4772,1.4956
2022-01-15 17:00:00,1.4935,1.5161,1.4935,1.5109
2022-01-15 18:00:00,1.5119,1.5266,1.5002,1.5218
2022-01-15 19:00:00,1.5217,1.5432,1.5165,1.5415
2022-01-15 20:00:00,1.5414,1.5421,1.5241,1.5268
2022-01-15 21:00:00,1.5266,1.5447,1.5229,1.5447
2022-01-15 22:00:00,1.5451,1.5817,1.5439,1.5752
2022-01-15 23:00:00,1.5752,1.5762,1.523,1.5259
2022-01-16 00:00:00,1.5268,1.53,1.5016,1.5063
2022-01-16 01:00:00,1.5052,1.54,1.5043,1.5089
2022-01-16 02:00:00,1.5088,1.5296,1.49,1.5075
2022-01-16 03:00:00,1.5058,1.5184,1.4917,1.4994
2022-01-16 04:00:00,1.4991,1.5002,1.4904,1.4934
2022-01-16 05:00:00,1.4925,1.4999,1.4793,1.4805
2022-01-16 06:00:00,1.4803,1.4847,1.4783,1.4838
2022-01-16 07:00:00,1.4857,1.4891,1.4808,1.4845
2022-01-16 08:00:00,1.4867,1.4867,1.475,1.4777
2022-01-16 09:00:00,1.4816,1.4898,1.4798,1.4856
2022-01-16 10:00:00,1.4856,1.4878,1.4745,1.4752
2022-01-16 11:00:00,1.4744,1.4796,1.4693,1.4773
2022-01-16 12:00:00,1.4758,1.4854,1.4706,1.4827
2022-01-16 13:00:00,1.4806,1.4838,1.4564,1.4786
2022-01-16 14:00:00,1.4782,1.4875,1.4749,1.4845
2022-01-16 15:00:00,1.4836,1.495,1.4745,1.495
2022-01-16 16:00:00,1.4951,1.5362,1.4951,1.5361
2022-01-16 17:00:00,1.5337,1.5447,1.5244,1.527
2022-01-16 18:00:00,1.5273,1.5325,1.5211,1.5222
2022-01-16 19:00:00,1.5216,1.5282,1.5175,1.5193
2022-01-16 20:00:00,1.5195,1.5296,1.5137,1.5234
2022-01-16 21:00:00,1.5228,1.5316,1.5134,1.5303
2022-01-16 22:00:00,1.531,1.5439,1.5248,1.525
2022-01-16 23:00:00,1.5241,1.544,1.5213,1.5415
2022-01-17 00:00:00,1.5367,1.5367,1.5004,1.509
2022-01-17 01:00:00,1.5081,1.5179,1.5044,1.5179
2022-01-17 02:00:00,1.5166,1.5282,1.5088,1.5233
2022-01-17 03:00:00,1.5249,1.5469,1.5048,1.5048
2022-01-17 04:00:00,1.5048,1.5277,1.4935,1.4935
2022-01-17 05:00:00,1.4934,1.4934,1.4779,1.4828
2022-01-17 06:00:00,1.4852,1.5025,1.485,1.4988
2022-01-17 07:00:00,1.4974,1.5153,1.495,1.5117
2022-01-17 08:00:00,1.5117,1.53,1.4991,1.5205
2022-01-17 09:00:00,1.5234,1.5425,1.5174,1.5365
2022-01-17 10:00:00,1.5366,1.5597,1.5312,1.5477
2022-01-17 11:00:00,1.548,1.5865,1.5474,1.5801
2022-01-17 12:00:00,1.5782,1.5826,1.5555,1.5775
2022-01-17 13:00:00,1.5808,1.6166,1.5681,1.589
2022-01-17 14:00:00,1.5911,1.6092,1.5491,1.5491
2022-01-17 15:00:00,1.5512,1.5638,1.5253,1.5551
2022-01-17 16:00:00,1.5544,1.5926,1.5525,1.588
2022-01-17 17:00:00,1.5875,1.5983,1.5561,1.5839
2022-01-17 18:00:00,1.583,1.6002,1.5664,1.5966
2022-01-17 19:00:00,1.5981,1.6135,1.5852,1.6097
2022-01-17 20:00:00,1.6097,1.6195,1.5967,1.607
