datetime,ALGOBUSD_open,ALGOBUSD_high,ALGOBUSD_low,ALGOBUSD_close
2022-02-22 02:00:00,0.7779,0.78,0.7687,0.7696
2022-02-22 03:00:00,0.7697,0.7853,0.769,0.7838
2022-02-22 04:00:00,0.7844,0.7873,0.781,0.7833
2022-02-22 05:00:00,0.7836,0.8014,0.7795,0.7993
2022-02-22 06:00:00,0.7991,0.8004,0.7941,0.7957
2022-02-22 07:00:00,0.7951,0.8058,0.7897,0.8045
2022-02-22 08:00:00,0.8045,0.8097,0.7988,0.8073
2022-02-22 09:00:00,0.8086,0.82,0.7988,0.8168
2022-02-22 10:00:00,0.8165,0.8199,0.8079,0.8079
2022-02-22 11:00:00,0.8099,0.8134,0.7966,0.8004
2022-02-22 12:00:00,0.8006,0.8041,0.7938,0.7976
2022-02-22 13:00:00,0.7965,0.8058,0.794,0.7985
2022-02-22 14:00:00,0.7985,0.8064,0.796,0.8056
2022-02-22 15:00:00,0.8065,0.8088,0.797,0.8013
2022-02-22 16:00:00,0.8014,0.8055,0.7958,0.7983
2022-02-22 17:00:00,0.798,0.8005,0.7932,0.7936
2022-02-22 18:00:00,0.7952,0.8133,0.7941,0.8112
2022-02-22 19:00:00,0.8107,0.8179,0.805,0.8085
2022-02-22 20:00:00,0.8086,0.8086,0.7996,0.8026
2022-02-22 21:00:00,0.8025,0.8166,0.7959,0.8059
2022-02-22 22:00:00,0.8061,0.8087,0.8034,0.8043
2022-02-22 23:00:00,0.8053,0.8123,0.8039,0.8091
2022-02-23 00:00:00,0.8094,0.8133,0.8065,0.8104
2022-02-23 01:00:00,0.8107,0.8159,0.8081,0.8088
2022-02-23 02:00:00,0.8108,0.8197,0.8108,0.8183
2022-02-23 03:00:00,0.8196,0.8301,0.818,0.8277
2022-02-23 04:00:00,0.8268,0.8332,0.826,0.8318
2022-02-23 05:00:00,0.8328,0.8354,0.8297,0.8343
2022-02-23 06:00:00,0.8345,0.8383,0.8262,0.8342
2022-02-23 07:00:00,0.8333,0.84,0.8308,0.8371
2022-02-23 08:00:00,0.837,0.841,0.8317,0.8329
2022-02-23 09:00:00,0.8329,0.8367,0.824,0.8255
2022-02-23 10:00:00,0.8262,0.8262,0.8164,0.8196
2022-02-23 11:00:00,0.8194,0.838,0.8112,0.8366
2022-02-23 12:00:00,0.8366,0.851,0.8187,0.82
2022-02-23 13:00:00,0.8191,0.8396,0.811,0.8281
2022-02-23 14:00:00,0.8261,0.8289,0.8059,0.8068
2022-02-23 15:00:00,0.8068,0.8082,0.8,0.8072
2022-02-23 16:00:00,0.8078,0.8115,0.7967,0.7978
2022-02-23 17:00:00,0.7996,0.8007,0.7873,0.8007
2022-02-23 18:00:00,0.8006,0.801,0.7822,0.7849
2022-02-23 19:00:00,0.7855,0.7916,0.7768,0.7793
2022-02-23 20:00:00,0.7811,0.7867,0.7763,0.7862
2022-02-23 21:00:00,0.7864,0.7932,0.7623,0.7635
2022-02-23 22:00:00,0.7637,0.7675,0.7158,0.7232
2022-02-23 23:00:00,0.7224,0.732,0.7122,0.7316
2022-02-24 00:00:00,0.7316,0.732,0.7,0.7106
2022-02-24 01:00:00,0.7106,0.7202,0.7052,0.7107
2022-02-24 02:00:00,0.7114,0.7148,0.6881,0.7106
2022-02-24 03:00:00,0.7103,0.7314,0.7049,0.7135
2022-02-24 04:00:00,0.7132,0.7277,0.7103,0.7109
2022-02-24 05:00:00,0.7105,0.7152,0.7008,0.707
2022-02-24 06:00:00,0.7071,0.7184,0.6985,0.7162
2022-02-24 07:00:00,0.7166,0.7186,0.7078,0.7123
2022-02-24 08:00:00,0.7128,0.7275,0.71,0.722
2022-02-24 09:00:00,0.7222,0.7424,0.7157,0.7411
2022-02-24 10:00:00,0.7408,0.7527,0.7327,0.75
2022-02-24 11:00:00,0.7516,0.7631,0.7427,0.7522
2022-02-24 12:00:00,0.7528,0.7528,0.7321,0.7419
2022-02-24 13:00:00,0.7419,0.7689,0.7419,0.7586
2022-02-24 14:00:00,0.7593,0.7775,0.7557,0.7764
2022-02-24 15:00:00,0.7761,0.796,0.7681,0.776
2022-02-24 16:00:00,0.7774,0.7795,0.7651,0.7763
2022-02-24 17:00:00,0.7777,0.7815,0.76,0.7613
2022-02-24 18:00:00,0.7647,0.7792,0.764,0.7776
2022-02-24 19:00:00,0.7776,0.7897,0.7704,0.7711
2022-02-24 20:00:00,0.7711,0.7915,0.7711,0.7799
2022-02-24 21:00:00,0.7826,0.7877,0.7792,0.7858
2022-02-24 22:00:00,0.7867,0.7867,0.7781,0.7843
2022-02-24 23:00:00,0.7829,0.7857,0.7778,0.7782
2022-02-25 00:00:00,0.7784,0.7799,0.7687,0.7726
2022-02-25 01:00:00,0.7735,0.7857,0.7713,0.7841
2022-02-25 02:00:00,0.7841,0.7891,0.7816,0.7823
2022-02-25 03:00:00,0.7815,0.7863,0.7713,0.7861
2022-02-25 04:00:00,0.7864,0.7953,0.7693,0.7936
2022-02-25 05:00:00,0.795,0.7956,0.7777,0.7801
2022-02-25 06:00:00,0.7822,0.7935,0.7767,0.7918
2022-02-25 07:00:00,0.7925,0.8073,0.7919,0.8053
2022-02-25 08:00:00,0.8069,0.8116,0.8001,0.8028
2022-02-25 09:00:00,0.8013,0.805,0.7927,0.7927
2022-02-25 10:00:00,0.7929,0.8097,0.7838,0.8084
2022-02-25 11:00:00,0.8078,0.8113,0.7986,0.8061
2022-02-25 12:00:00,0.8062,0.8089,0.7976,0.8009
2022-02-25 13:00:00,0.8015,0.8023,0.7906,0.7972
2022-02-25 14:00:00,0.7978,0.8067,0.7941,0.8014
2022-02-25 15:00:00,0.7993,0.8145,0.7991,0.809
2022-02-25 16:00:00,0.809,0.8166,0.8064,0.8099
2022-02-25 17:00:00,0.8112,0.8295,0.8065,0.829
2022-02-25 18:00:00,0.8279,0.8417,0.8191,0.8304
2022-02-25 19:00:00,0.8304,0.855,0.8249,0.847
2022-02-25 20:00:00,0.845,0.8575,0.8441,0.8501
2022-02-25 21:00:00,0.8511,0.8563,0.8442,0.8486
2022-02-25 22:00:00,0.8497,0.8518,0.8368,0.8368
2022-02-25 23:00:00,0.8378,0.843,0.8344,0.8391
2022-02-26 00:00:00,0.8403,0.8403,0.8248,0.827
2022-02-26 01:00:00,0.8279,0.8392,0.8277,0.835
2022-02-26 02:00:00,0.8353,0.8419,0.8268,0.8415
2022-02-26 03:00:00,0.8418,0.8445,0.8204,0.8237
2022-02-26 04:00:00,0.8246,0.8336,0.819,0.8273
2022-02-26 05:00:00,0.8278,0.8353,0.8271,0.8339
2022-02-26 06:00:00,0.8345,0.8381,0.8248,0.8315
2022-02-26 07:00:00,0.8315,0.836,0.8275,0.836
2022-02-26 08:00:00,0.8364,0.843,0.8325,0.8384
2022-02-26 09:00:00,0.8391,0.8453,0.8316,0.8448
2022-02-26 10:00:00,0.844,0.8539,0.8413,0.8439
2022-02-26 11:00:00,0.8449,0.8498,0.8401,0.8485
2022-02-26 12:00:00,0.8473,0.8585,0.8463,0.8529
2022-02-26 13:00:00,0.8536,0.8536,0.8364,0.8494
2022-02-26 14:00:00,0.8496,0.852,0.8462,0.8492
2022-02-26 15:00:00,0.85,0.865,0.8465,0.8581
2022-02-26 16:00:00,0.8581,0.881,0.8576,0.8803
2022-02-26 17:00:00,0.8807,0.8822,0.862,0.8634
2022-02-26 18:00:00,0.8634,0.8634,0.8504,0.8588
2022-02-26 19:00:00,0.8598,0.8626,0.8329,0.8379
2022-02-26 20:00:00,0.8378,0.8437,0.8144,0.8158
2022-02-26 21:00:00,0.817,0.8286,0.8156,0.8211
2022-02-26 22:00:00,0.8209,0.8266,0.8193,0.8208
2022-02-26 23:00:00,0.8195,0.821,0.8106,0.815
2022-02-27 00:00:00,0.8163,0.8242,0.8104,0.82
2022-02-27 01:00:00,0.8208,0.8305,0.8208,0.8287
2022-02-27 02:00:00,0.8308,0.8316,0.8277,0.8282
2022-02-27 03:00:00,0.8278,0.83,0.817,0.8251
2022-02-27 04:00:00,0.8252,0.8368,0.8225,0.8316
2022-02-27 05:00:00,0.8327,0.8392,0.8282,0.8391
2022-02-27 06:00:00,0.8393,0.8434,0.8349,0.8394
2022-02-27 07:00:00,0.8415,0.8514,0.8381,0.847
2022-02-27 08:00:00,0.8471,0.8493,0.8116,0.8248
2022-02-27 09:00:00,0.8252,0.8299,0.8159,0.8211
2022-02-27 10:00:00,0.8212,0.8371,0.8184,0.8371
2022-02-27 11:00:00,0.8366,0.84,0.8275,0.8303
2022-02-27 12:00:00,0.8302,0.8329,0.8262,0.8276
2022-02-27 13:00:00,0.8271,0.8278,0.8204,0.821
2022-02-27 14:00:00,0.8214,0.8236,0.7916,0.7957
2022-02-27 15:00:00,0.7944,0.8047,0.7872,0.7944
2022-02-27 16:00:00,0.7942,0.7992,0.7825,0.7944
2022-02-27 17:00:00,0.7937,0.8022,0.7927,0.8
2022-02-27 18:00:00,0.8018,0.8018,0.7866,0.7981
2022-02-27 19:00:00,0.7978,0.7996,0.7853,0.7884
2022-02-27 20:00:00,0.7888,0.8078,0.7888,0.7996
2022-02-27 21:00:00,0.801,0.8028,0.7901,0.7933
2022-02-27 22:00:00,0.7939,0.8065,0.7921,0.8
2022-02-27 23:00:00,0.8008,0.8058,0.7932,0.7959
2022-02-28 00:00:00,0.7946,0.8051,0.793,0.7981
2022-02-28 01:00:00,0.8,0.8035,0.7867,0.8023
2022-02-28 02:00:00,0.8026,0.8136,0.8004,0.8111
2022-02-28 03:00:00,0.8111,0.82,0.8048,0.812
2022-02-28 04:00:00,0.8113,0.8183,0.8074,0.8074
2022-02-28 05:00:00,0.8075,0.8176,0.8075,0.8153
2022-02-28 06:00:00,0.8173,0.836,0.8153,0.8328
2022-02-28 07:00:00,0.8316,0.8391,0.8269,0.8269
2022-02-28 08:00:00,0.8269,0.8317,0.8189,0.8263
2022-02-28 09:00:00,0.8255,0.8487,0.8248,0.8471
2022-02-28 10:00:00,0.8469,0.8593,0.8419,0.853
2022-02-28 11:00:00,0.8545,0.8588,0.84,0.8439
2022-02-28 12:00:00,0.8438,0.8453,0.8356,0.8444
2022-02-28 13:00:00,0.8446,0.8448,0.8363,0.8413
2022-02-28 14:00:00,0.84,0.8408,0.8356,0.8394
2022-02-28 15:00:00,0.84,0.8493,0.8381,0.8481
2022-02-28 16:00:00,0.847,0.8475,0.8389,0.8415
2022-02-28 17:00:00,0.8429,0.8689,0.8429,0.8552
2022-02-28 18:00:00,0.8563,0.8697,0.854,0.8694
2022-02-28 19:00:00,0.8684,0.8864,0.867,0.8795
2022-02-28 20:00:00,0.88,0.8804,0.8623,0.8637
2022-02-28 21:00:00,0.8631,0.8658,0.8567,0.8613
2022-02-28 22:00:00,0.8599,0.8599,0.8541,0.8597
2022-02-28 23:00:00,0.859,0.8687,0.8549,0.8675
2022-03-01 00:00:00,0.8689,0.8692,0.8568,0.8608
2022-03-01 01:00:00,0.8604,0.861,0.8472,0.8522
2022-03-01 02:00:00,0.8533,0.8589,0.8524,0.8587
2022-03-01 03:00:00,0.8588,0.867,0.8543,0.8663
2022-03-01 04:00:00,0.867,0.8786,0.8527,0.8605
2022-03-01 05:00:00,0.86,0.8657,0.8425,0.8647
2022-03-01 06:00:00,0.8648,0.8662,0.8496,0.855
2022-03-01 07:00:00,0.8549,0.8707,0.8549,0.8706
2022-03-01 08:00:00,0.8706,0.8844,0.867,0.8814
2022-03-01 09:00:00,0.8811,0.8954,0.8541,0.8625
2022-03-01 10:00:00,0.8635,0.8699,0.8496,0.8603
2022-03-01 11:00:00,0.8595,0.8738,0.848,0.8513
2022-03-01 12:00:00,0.851,0.8632,0.8506,0.8578
2022-03-01 13:00:00,0.8574,0.862,0.851,0.8589
2022-03-01 14:00:00,0.859,0.859,0.848,0.8511
2022-03-01 15:00:00,0.8507,0.8546,0.8479,0.8503
2022-03-01 16:00:00,0.851,0.8538,0.8371,0.8406
2022-03-01 17:00:00,0.843,0.8529,0.8408,0.852
2022-03-01 18:00:00,0.8509,0.858,0.8485,0.8573
2022-03-01 19:00:00,0.8562,0.8585,0.832,0.8439
2022-03-01 20:00:00,0.8449,0.8488,0.8352,0.8428
2022-03-01 21:00:00,0.8424,0.8442,0.8366,0.8431
2022-03-01 22:00:00,0.8426,0.8586,0.8426,0.8562
2022-03-01 23:00:00,0.8565,0.8596,0.8453,0.846
2022-03-02 00:00:00,0.846,0.8487,0.842,0.8472
