datetime,SOLUSDT_open,SOLUSDT_high,SOLUSDT_low,SOLUSDT_close
2022-01-18 22:00:00,140.73,141.43,139.95,140.95
2022-01-18 23:00:00,140.78,142.81,140.1,141.31
2022-01-19 00:00:00,141.41,141.9,140.19,140.36
2022-01-19 01:00:00,140.43,142.75,140.33,142.06
2022-01-19 02:00:00,142.11,142.11,140.11,140.35
2022-01-19 03:00:00,140.4,140.75,136.97,137.94
2022-01-19 04:00:00,138.1,139.04,137.6,138.6
2022-01-19 05:00:00,138.64,139.11,138.0,138.32
2022-01-19 06:00:00,138.17,138.7,137.56,137.56
2022-01-19 07:00:00,137.63,137.64,134.11,134.5
2022-01-19 08:00:00,134.37,134.84,132.78,133.44
2022-01-19 09:00:00,133.24,134.86,133.24,134.55
2022-01-19 10:00:00,134.57,135.01,133.75,134.49
2022-01-19 11:00:00,134.51,136.36,134.45,136.2
2022-01-19 12:00:00,136.26,136.97,135.5,136.13
2022-01-19 13:00:00,136.33,137.37,136.29,136.85
2022-01-19 14:00:00,136.82,138.62,136.4,138.53
2022-01-19 15:00:00,138.58,138.58,135.92,137.0
2022-01-19 16:00:00,136.81,137.29,135.31,136.65
2022-01-19 17:00:00,136.58,138.02,136.23,137.37
2022-01-19 18:00:00,137.04,137.75,136.24,136.75
2022-01-19 19:00:00,137.05,137.07,136.2,136.5
2022-01-19 20:00:00,136.44,136.92,135.12,136.01
2022-01-19 21:00:00,136.2,136.37,135.7,135.75
2022-01-19 22:00:00,135.98,137.57,135.06,136.85
2022-01-19 23:00:00,136.76,137.06,135.06,135.27
2022-01-20 00:00:00,135.33,136.44,135.17,136.41
2022-01-20 01:00:00,136.48,136.5,134.51,135.14
2022-01-20 02:00:00,135.23,136.57,135.23,136.25
2022-01-20 03:00:00,136.41,137.24,136.04,136.99
2022-01-20 04:00:00,137.26,137.31,136.59,136.93
2022-01-20 05:00:00,136.92,137.18,136.29,137.11
2022-01-20 06:00:00,137.11,137.87,137.08,137.54
2022-01-20 07:00:00,137.57,137.64,137.1,137.26
2022-01-20 08:00:00,137.26,137.31,136.85,137.09
2022-01-20 09:00:00,137.06,137.07,135.69,136.77
2022-01-20 10:00:00,136.8,137.31,136.65,137.19
2022-01-20 11:00:00,137.27,138.22,137.07,137.74
2022-01-20 12:00:00,137.73,137.83,137.01,137.45
2022-01-20 13:00:00,137.54,140.14,137.27,139.17
2022-01-20 14:00:00,139.23,141.96,139.18,141.6
2022-01-20 15:00:00,141.49,143.61,141.36,143.1
2022-01-20 16:00:00,143.17,143.89,142.0,142.78
2022-01-20 17:00:00,142.81,142.9,140.08,140.13
2022-01-20 18:00:00,140.27,140.87,139.73,140.1
2022-01-20 19:00:00,140.05,141.53,139.72,139.92
