datetime,IDEXBUSD_open,IDEXBUSD_high,IDEXBUSD_low,IDEXBUSD_close
2022-02-25 08:00:00,0.15161,0.15839,0.15123,0.15233
2022-02-25 09:00:00,0.15234,0.15316,0.1503,0.15179
2022-02-25 10:00:00,0.15193,0.15229,0.14862,0.15139
2022-02-25 11:00:00,0.15144,0.16004,0.15144,0.15449
2022-02-25 12:00:00,0.1544,0.15462,0.15012,0.15171
2022-02-25 13:00:00,0.15171,0.15402,0.14901,0.15
2022-02-25 14:00:00,0.1501,0.15133,0.14861,0.1507
2022-02-25 15:00:00,0.15043,0.15249,0.15,0.152
2022-02-25 16:00:00,0.152,0.15407,0.15113,0.15261
2022-02-25 17:00:00,0.15267,0.15452,0.15133,0.15451
2022-02-25 18:00:00,0.15452,0.15636,0.15289,0.15344
2022-02-25 19:00:00,0.15299,0.15712,0.15266,0.15573
2022-02-25 20:00:00,0.15573,0.15647,0.15457,0.15589
2022-02-25 21:00:00,0.1562,0.15691,0.15516,0.15538
2022-02-25 22:00:00,0.15575,0.15599,0.15333,0.15414
2022-02-25 23:00:00,0.15475,0.15535,0.15345,0.15455
2022-02-26 00:00:00,0.15498,0.15501,0.15135,0.15197
2022-02-26 01:00:00,0.15208,0.15331,0.15197,0.15253
2022-02-26 02:00:00,0.15287,0.15368,0.15143,0.15368
2022-02-26 03:00:00,0.15369,0.1565,0.15158,0.15224
2022-02-26 04:00:00,0.15226,0.15248,0.15073,0.15137
2022-02-26 05:00:00,0.15169,0.15297,0.15169,0.15293
2022-02-26 06:00:00,0.1529,0.15334,0.15149,0.152
2022-02-26 07:00:00,0.15217,0.15229,0.15088,0.15229
2022-02-26 08:00:00,0.15225,0.15297,0.15158,0.15181
2022-02-26 09:00:00,0.15263,0.15356,0.1515,0.15329
2022-02-26 10:00:00,0.15325,0.15443,0.15276,0.15294
2022-02-26 11:00:00,0.15297,0.1535,0.15161,0.15186
2022-02-26 12:00:00,0.15189,0.15302,0.15139,0.15294
2022-02-26 13:00:00,0.15242,0.15249,0.15025,0.15178
2022-02-26 14:00:00,0.15165,0.15279,0.15137,0.15228
2022-02-26 15:00:00,0.15231,0.15322,0.1518,0.15281
2022-02-26 16:00:00,0.15283,0.17308,0.15248,0.16512
2022-02-26 17:00:00,0.16546,0.16597,0.16116,0.1635
2022-02-26 18:00:00,0.1635,0.174,0.15864,0.16941
2022-02-26 19:00:00,0.16882,0.17498,0.16302,0.17199
2022-02-26 20:00:00,0.17211,0.1888,0.17211,0.1761
2022-02-26 21:00:00,0.17603,0.1898,0.17338,0.18573
2022-02-26 22:00:00,0.18563,0.1925,0.17965,0.18301
2022-02-26 23:00:00,0.18319,0.18319,0.17406,0.17554
2022-02-27 00:00:00,0.17602,0.18644,0.17559,0.18013
2022-02-27 01:00:00,0.17976,0.18499,0.17844,0.18151
2022-02-27 02:00:00,0.18183,0.18234,0.17356,0.17427
2022-02-27 03:00:00,0.17442,0.17705,0.16903,0.16903
2022-02-27 04:00:00,0.16902,0.1736,0.16893,0.17346
2022-02-27 05:00:00,0.17351,0.17351,0.16917,0.16989
2022-02-27 06:00:00,0.16989,0.17414,0.16737,0.17225
2022-02-27 07:00:00,0.17225,0.1747,0.17,0.17326
2022-02-27 08:00:00,0.17343,0.17436,0.16527,0.16781
2022-02-27 09:00:00,0.16754,0.16935,0.16369,0.1643
2022-02-27 10:00:00,0.16422,0.16818,0.16384,0.16652
2022-02-27 11:00:00,0.16646,0.16669,0.16378,0.16455
2022-02-27 12:00:00,0.16409,0.17218,0.16409,0.16899
2022-02-27 13:00:00,0.16888,0.16913,0.16534,0.16643
2022-02-27 14:00:00,0.16651,0.16663,0.1561,0.15655
2022-02-27 15:00:00,0.1565,0.16217,0.1561,0.16017
2022-02-27 16:00:00,0.15982,0.16038,0.155,0.1575
2022-02-27 17:00:00,0.15725,0.15929,0.15634,0.15779
2022-02-27 18:00:00,0.15732,0.15732,0.15489,0.15709
2022-02-27 19:00:00,0.15674,0.15674,0.15366,0.15444
2022-02-27 20:00:00,0.15473,0.16065,0.1547,0.15657
2022-02-27 21:00:00,0.15671,0.15869,0.15562,0.15723
2022-02-27 22:00:00,0.15748,0.16018,0.15708,0.15792
2022-02-27 23:00:00,0.15792,0.16189,0.15792,0.15876
2022-02-28 00:00:00,0.15827,0.16018,0.15739,0.15889
2022-02-28 01:00:00,0.15911,0.16121,0.1556,0.15802
2022-02-28 02:00:00,0.15836,0.16334,0.15796,0.16097
2022-02-28 03:00:00,0.1612,0.16222,0.15875,0.15983
2022-02-28 04:00:00,0.16014,0.16095,0.15725,0.15725
2022-02-28 05:00:00,0.15725,0.15935,0.15719,0.15843
2022-02-28 06:00:00,0.15863,0.15895,0.15645,0.15803
2022-02-28 07:00:00,0.15811,0.15972,0.15718,0.15729
2022-02-28 08:00:00,0.15725,0.15904,0.15669,0.15681
2022-02-28 09:00:00,0.15683,0.159,0.15294,0.1584
2022-02-28 10:00:00,0.1588,0.1633,0.15682,0.16274
2022-02-28 11:00:00,0.16299,0.16463,0.16092,0.1619
2022-02-28 12:00:00,0.16192,0.16378,0.16095,0.1636
2022-02-28 13:00:00,0.16367,0.16393,0.162,0.16343
2022-02-28 14:00:00,0.16315,0.16873,0.16273,0.16588
2022-02-28 15:00:00,0.16588,0.16826,0.1645,0.1662
2022-02-28 16:00:00,0.16638,0.16638,0.16369,0.16465
2022-02-28 17:00:00,0.16476,0.16942,0.16474,0.16755
2022-02-28 18:00:00,0.16786,0.16972,0.16773,0.1693
2022-02-28 19:00:00,0.16937,0.17368,0.16922,0.17092
2022-02-28 20:00:00,0.17075,0.17126,0.16737,0.16779
2022-02-28 21:00:00,0.16779,0.16791,0.16601,0.16774
2022-02-28 22:00:00,0.1675,0.16781,0.16557,0.16686
2022-02-28 23:00:00,0.16686,0.16839,0.1668,0.1681
