datetime,FTMBUSD_open,FTMBUSD_high,FTMBUSD_low,FTMBUSD_close
2022-01-20 15:00:00,2.9399,2.9514,2.8823,2.907
2022-01-20 16:00:00,2.9071,2.9116,2.7624,2.7624
2022-01-20 17:00:00,2.7623,2.815,2.735,2.7653
2022-01-20 18:00:00,2.7684,2.7688,2.675,2.6877
2022-01-20 19:00:00,2.6869,2.78,2.6544,2.7307
2022-01-20 20:00:00,2.73,2.7356,2.5816,2.6005
2022-01-20 21:00:00,2.6009,2.709,2.5868,2.6361
2022-01-20 22:00:00,2.635,2.6527,2.552,2.571
2022-01-20 23:00:00,2.5691,2.6248,2.5664,2.5702
2022-01-21 00:00:00,2.5685,2.5907,2.5244,2.5764
2022-01-21 01:00:00,2.5791,2.5877,2.5127,2.5131
2022-01-21 02:00:00,2.5128,2.6061,2.5019,2.6041
2022-01-21 03:00:00,2.6032,2.6301,2.5859,2.6133
2022-01-21 04:00:00,2.6124,2.6167,2.5757,2.5892
2022-01-21 05:00:00,2.5892,2.6267,2.575,2.5921
2022-01-21 06:00:00,2.591,2.5953,2.5159,2.5345
2022-01-21 07:00:00,2.5355,2.5533,2.3859,2.4507
2022-01-21 08:00:00,2.4511,2.488,2.408,2.4494
2022-01-21 09:00:00,2.448,2.4876,2.4132,2.4331
2022-01-21 10:00:00,2.4317,2.5133,2.3883,2.5034
2022-01-21 11:00:00,2.5027,2.5343,2.4567,2.4877
2022-01-21 12:00:00,2.4866,2.4975,2.436,2.4463
2022-01-21 13:00:00,2.4492,2.4814,2.4114,2.4389
2022-01-21 14:00:00,2.4391,2.465,2.4,2.4001
2022-01-21 15:00:00,2.4025,2.42,2.2959,2.329
2022-01-21 16:00:00,2.331,2.3532,2.1309,2.225
2022-01-21 17:00:00,2.228,2.2877,2.1825,2.28
2022-01-21 18:00:00,2.2804,2.3279,2.2122,2.2725
2022-01-21 19:00:00,2.2725,2.3865,2.226,2.3387
2022-01-21 20:00:00,2.34,2.3457,2.2771,2.3201
2022-01-21 21:00:00,2.3201,2.3212,2.2511,2.2875
2022-01-21 22:00:00,2.2909,2.33,2.2356,2.2615
2022-01-21 23:00:00,2.2589,2.2735,2.2075,2.2356
2022-01-22 00:00:00,2.235,2.2355,2.0802,2.1051
2022-01-22 01:00:00,2.1042,2.1307,2.0226,2.0577
2022-01-22 02:00:00,2.0592,2.07,1.917,1.9235
2022-01-22 03:00:00,1.9234,2.0394,1.9212,1.9737
2022-01-22 04:00:00,1.9766,2.0117,1.8314,1.86
2022-01-22 05:00:00,1.8599,2.06,1.7728,2.0015
2022-01-22 06:00:00,2.0008,2.0363,1.9287,1.9918
2022-01-22 07:00:00,1.9927,2.1221,1.9832,2.1
2022-01-22 08:00:00,2.1,2.1741,2.063,2.0732
2022-01-22 09:00:00,2.077,2.0804,1.9639,1.972
2022-01-22 10:00:00,1.9726,2.0074,1.9169,1.9192
2022-01-22 11:00:00,1.9205,2.025,1.8941,1.9592
2022-01-22 12:00:00,1.9572,1.9975,1.9203,1.9651
2022-01-22 13:00:00,1.9639,1.973,1.8839,1.8859
2022-01-22 14:00:00,1.8872,1.9411,1.8763,1.9112
2022-01-22 15:00:00,1.9132,2.0235,1.8792,1.9879
2022-01-22 16:00:00,1.9862,2.0387,1.9543,2.0223
2022-01-22 17:00:00,2.0239,2.024,1.9294,1.9369
2022-01-22 18:00:00,1.9391,1.9836,1.9248,1.9658
2022-01-22 19:00:00,1.9672,2.0862,1.948,2.0813
2022-01-22 20:00:00,2.0795,2.1046,2.0361,2.089
2022-01-22 21:00:00,2.09,2.0955,1.9776,1.9842
2022-01-22 22:00:00,1.9864,2.011,1.9602,2.0013
2022-01-22 23:00:00,2.0007,2.0596,1.9922,2.0445
2022-01-23 00:00:00,2.0446,2.098,1.9955,2.094
2022-01-23 01:00:00,2.0928,2.1045,2.0609,2.0943
2022-01-23 02:00:00,2.0945,2.212,2.0803,2.2008
2022-01-23 03:00:00,2.2001,2.2837,2.1793,2.2837
2022-01-23 04:00:00,2.2837,2.37,2.2712,2.2953
2022-01-23 05:00:00,2.2948,2.3354,2.2668,2.302
2022-01-23 06:00:00,2.3041,2.3136,2.223,2.2473
2022-01-23 07:00:00,2.2493,2.3082,2.2193,2.2974
2022-01-23 08:00:00,2.2999,2.3086,2.2568,2.2918
2022-01-23 09:00:00,2.2919,2.3064,2.1601,2.2237
2022-01-23 10:00:00,2.2217,2.2372,2.1401,2.1805
2022-01-23 11:00:00,2.1804,2.2429,2.1737,2.2144
2022-01-23 12:00:00,2.2159,2.2784,2.2081,2.2523
2022-01-23 13:00:00,2.2508,2.2639,2.1458,2.1811
2022-01-23 14:00:00,2.1801,2.2104,2.1156,2.1286
2022-01-23 15:00:00,2.129,2.1882,2.1155,2.1769
2022-01-23 16:00:00,2.174,2.2225,2.1569,2.1897
2022-01-23 17:00:00,2.1865,2.1911,2.1355,2.146
2022-01-23 18:00:00,2.147,2.298,2.1375,2.277
2022-01-23 19:00:00,2.2766,2.2768,2.1682,2.1809
2022-01-23 20:00:00,2.1782,2.2126,2.1435,2.1568
2022-01-23 21:00:00,2.1579,2.1649,2.1054,2.116
2022-01-23 22:00:00,2.1169,2.1516,2.1054,2.1433
2022-01-23 23:00:00,2.1461,2.1579,2.0618,2.0767
2022-01-24 00:00:00,2.0741,2.0918,2.05,2.0859
2022-01-24 01:00:00,2.0848,2.1101,2.0208,2.0825
2022-01-24 02:00:00,2.0829,2.0841,2.0228,2.037
2022-01-24 03:00:00,2.037,2.0954,2.0237,2.0441
2022-01-24 04:00:00,2.0434,2.0614,1.9747,1.9942
2022-01-24 05:00:00,1.9965,2.0038,1.9199,1.922
2022-01-24 06:00:00,1.9217,2.0108,1.9051,1.9429
2022-01-24 07:00:00,1.9442,2.0,1.9028,1.9167
2022-01-24 08:00:00,1.9175,1.9542,1.9,1.9235
2022-01-24 09:00:00,1.9226,2.055,1.9021,1.9711
2022-01-24 10:00:00,1.9707,2.0759,1.9224,2.0569
2022-01-24 11:00:00,2.0563,2.0979,1.9933,2.0596
