datetime,PLAUSD_open,PLAUSD_high,PLAUSD_low,PLAUSD_close
2022-01-08 09:00:00,1.2129,1.2191,1.2099,1.2191
2022-01-08 10:00:00,1.2152,1.2155,1.2016,1.2016
2022-01-08 11:00:00,1.2041,1.2078,1.1979,1.2034
2022-01-08 12:00:00,1.2032,1.2114,1.1905,1.1989
2022-01-08 13:00:00,1.1951,1.2027,1.1919,1.1967
2022-01-08 14:00:00,1.1967,1.2011,1.1879,1.1881
2022-01-08 15:00:00,1.1912,1.1916,1.1698,1.1758
2022-01-08 16:00:00,1.1742,1.1838,1.1554,1.1596
2022-01-08 17:00:00,1.1564,1.1651,1.1384,1.1449
2022-01-08 18:00:00,1.1433,1.1484,1.112,1.1196
2022-01-08 19:00:00,1.1227,1.1301,1.1097,1.1256
2022-01-08 20:00:00,1.127,1.1405,1.1223,1.1307
2022-01-08 21:00:00,1.1309,1.1619,1.1301,1.1516
2022-01-08 22:00:00,1.1565,1.1709,1.1495,1.162
2022-01-08 23:00:00,1.1585,1.1628,1.1484,1.1501
2022-01-09 00:00:00,1.1517,1.1677,1.1334,1.1613
2022-01-09 01:00:00,1.1613,1.1788,1.1506,1.1783
2022-01-09 02:00:00,1.1791,1.1821,1.1649,1.171
2022-01-09 03:00:00,1.1688,1.1739,1.164,1.1682
2022-01-09 04:00:00,1.1655,1.1966,1.1654,1.1869
2022-01-09 05:00:00,1.1901,1.1908,1.1688,1.1697
2022-01-09 06:00:00,1.1727,1.1809,1.1683,1.1746
2022-01-09 07:00:00,1.1759,1.1802,1.1698,1.1709
2022-01-09 08:00:00,1.1709,1.1779,1.1581,1.1623
2022-01-09 09:00:00,1.1612,1.1738,1.1505,1.1625
2022-01-09 10:00:00,1.1605,1.1689,1.1543,1.1616
2022-01-09 11:00:00,1.1649,1.1692,1.1594,1.1634
2022-01-09 12:00:00,1.1611,1.1658,1.1587,1.1587
2022-01-09 13:00:00,1.1601,1.1633,1.1493,1.1561
2022-01-09 14:00:00,1.1529,1.1619,1.1522,1.1528
2022-01-09 15:00:00,1.1527,1.1547,1.1301,1.1426
2022-01-09 16:00:00,1.1424,1.1591,1.1382,1.1578
2022-01-09 17:00:00,1.1574,1.1656,1.1532,1.1598
2022-01-09 18:00:00,1.1594,1.1853,1.1594,1.1622
2022-01-09 19:00:00,1.1622,1.1817,1.1621,1.1817
2022-01-09 20:00:00,1.1812,1.1849,1.1747,1.1751
2022-01-09 21:00:00,1.1752,1.1832,1.1751,1.1752
2022-01-09 22:00:00,1.1752,1.1878,1.175,1.1751
2022-01-09 23:00:00,1.175,1.1852,1.165,1.1693
2022-01-10 00:00:00,1.1745,1.1785,1.1477,1.1477
2022-01-10 01:00:00,1.1477,1.1638,1.1477,1.1638
2022-01-10 02:00:00,1.1615,1.1615,1.1548,1.1584
2022-01-10 03:00:00,1.1598,1.1638,1.153,1.1577
2022-01-10 04:00:00,1.1563,1.1735,1.1547,1.1682
2022-01-10 05:00:00,1.1677,1.1704,1.1589,1.1654
2022-01-10 06:00:00,1.1653,1.1655,1.1468,1.1555
2022-01-10 07:00:00,1.1555,1.1628,1.1511,1.1572
2022-01-10 08:00:00,1.1592,1.1592,1.1437,1.1448
2022-01-10 09:00:00,1.1471,1.1547,1.1445,1.1458
2022-01-10 10:00:00,1.1459,1.161,1.1257,1.1257
2022-01-10 11:00:00,1.1257,1.1257,1.1031,1.1108
2022-01-10 12:00:00,1.1118,1.113,1.0668,1.0711
2022-01-10 13:00:00,1.0731,1.0792,1.0609,1.0644
2022-01-10 14:00:00,1.0666,1.0864,1.0068,1.0735
2022-01-10 15:00:00,1.0774,1.0779,1.0591,1.0679
2022-01-10 16:00:00,1.0646,1.0953,1.0625,1.0953
2022-01-10 17:00:00,1.0955,1.0955,1.0508,1.0647
2022-01-10 18:00:00,1.0615,1.0735,1.0553,1.063
2022-01-10 19:00:00,1.0644,1.0744,1.0541,1.058
2022-01-10 20:00:00,1.0581,1.081,1.0542,1.0755
2022-01-10 21:00:00,1.076,1.0894,1.076,1.0816
2022-01-10 22:00:00,1.083,1.0872,1.0761,1.0816
2022-01-10 23:00:00,1.0791,1.0972,1.079,1.0887
2022-01-11 00:00:00,1.0848,1.0948,1.0545,1.0573
2022-01-11 01:00:00,1.0574,1.0747,1.0557,1.0654
2022-01-11 02:00:00,1.0654,1.0859,1.0583,1.0831
2022-01-11 03:00:00,1.083,1.0912,1.0688,1.0891
2022-01-11 04:00:00,1.0909,1.0917,1.0713,1.0749
2022-01-11 05:00:00,1.0746,1.0746,1.0553,1.0577
2022-01-11 06:00:00,1.0633,1.066,1.0508,1.0572
2022-01-11 07:00:00,1.0589,1.0654,1.0526,1.0614
2022-01-11 08:00:00,1.0601,1.0806,1.0493,1.0512
2022-01-11 09:00:00,1.0542,1.0633,1.0512,1.0568
2022-01-11 10:00:00,1.0597,1.0597,1.0356,1.0371
2022-01-11 11:00:00,1.0367,1.05,1.0366,1.0437
2022-01-11 12:00:00,1.0443,1.0541,1.0421,1.0541
2022-01-11 13:00:00,1.0516,1.0692,1.0516,1.0593
2022-01-11 14:00:00,1.0592,1.0727,1.0353,1.0513
2022-01-11 15:00:00,1.054,1.0637,1.049,1.0543
2022-01-11 16:00:00,1.0574,1.0967,1.0533,1.0947
2022-01-11 17:00:00,1.0967,1.1131,1.0866,1.0943
2022-01-11 18:00:00,1.0921,1.111,1.0893,1.1046
2022-01-11 19:00:00,1.1075,1.11,1.0991,1.1063
2022-01-11 20:00:00,1.1049,1.1146,1.1037,1.1073
2022-01-11 21:00:00,1.1106,1.1348,1.1106,1.1309
2022-01-11 22:00:00,1.1309,1.1351,1.1209,1.1343
2022-01-11 23:00:00,1.1345,1.149,1.1284,1.1284
2022-01-12 00:00:00,1.1276,1.1325,1.1045,1.1107
2022-01-12 01:00:00,1.1126,1.1157,1.1004,1.1046
2022-01-12 02:00:00,1.1076,1.1177,1.1053,1.108
2022-01-12 03:00:00,1.1098,1.1139,1.107,1.1082
2022-01-12 04:00:00,1.1084,1.1203,1.1071,1.111
2022-01-12 05:00:00,1.1074,1.123,1.1074,1.1222
2022-01-12 06:00:00,1.122,1.1236,1.1151,1.1204
2022-01-12 07:00:00,1.1197,1.1198,1.1066,1.1066
2022-01-12 08:00:00,1.1092,1.114,1.1088,1.1126
2022-01-12 09:00:00,1.1146,1.1246,1.1054,1.1217
2022-01-12 10:00:00,1.1217,1.1375,1.1217,1.124
