datetime,ALGOUSD_open,ALGOUSD_high,ALGOUSD_low,ALGOUSD_close
2022-01-10 02:00:00,1.3879,1.395,1.3786,1.3891
2022-01-10 03:00:00,1.3886,1.3965,1.3836,1.3952
2022-01-10 04:00:00,1.3951,1.4133,1.39,1.4116
2022-01-10 05:00:00,1.4125,1.4191,1.4065,1.4151
2022-01-10 06:00:00,1.4157,1.42,1.4085,1.4175
2022-01-10 07:00:00,1.4169,1.4441,1.4165,1.4401
2022-01-10 08:00:00,1.4392,1.4445,1.4163,1.4361
2022-01-10 09:00:00,1.4358,1.4448,1.4222,1.4335
2022-01-10 10:00:00,1.4326,1.45,1.426,1.437
2022-01-10 11:00:00,1.4371,1.439,1.4113,1.4181
2022-01-10 12:00:00,1.4185,1.423,1.3844,1.3847
2022-01-10 13:00:00,1.3846,1.4038,1.383,1.3857
2022-01-10 14:00:00,1.3863,1.3868,1.3003,1.3439
2022-01-10 15:00:00,1.3436,1.3498,1.32,1.3383
2022-01-10 16:00:00,1.3389,1.387,1.333,1.3844
2022-01-10 17:00:00,1.3845,1.3901,1.3193,1.3399
2022-01-10 18:00:00,1.3388,1.3574,1.3353,1.35
2022-01-10 19:00:00,1.35,1.3601,1.3339,1.3385
2022-01-10 20:00:00,1.339,1.3673,1.3295,1.3635
2022-01-10 21:00:00,1.3633,1.3903,1.3609,1.3804
2022-01-10 22:00:00,1.3803,1.3886,1.3728,1.3803
2022-01-10 23:00:00,1.381,1.3925,1.3612,1.3624
2022-01-11 00:00:00,1.3638,1.3905,1.3492,1.3744
2022-01-11 01:00:00,1.3751,1.4075,1.3676,1.4072
2022-01-11 02:00:00,1.4074,1.4351,1.4014,1.4274
2022-01-11 03:00:00,1.428,1.4354,1.4191,1.424
2022-01-11 04:00:00,1.4247,1.4315,1.4075,1.4075
2022-01-11 05:00:00,1.4082,1.4093,1.3959,1.399
2022-01-11 06:00:00,1.3997,1.4077,1.3949,1.4009
2022-01-11 07:00:00,1.4003,1.4078,1.3937,1.406
2022-01-11 08:00:00,1.4063,1.4283,1.3937,1.3973
2022-01-11 09:00:00,1.3978,1.4004,1.3847,1.3916
2022-01-11 10:00:00,1.3918,1.3975,1.3698,1.3755
2022-01-11 11:00:00,1.3755,1.3912,1.3727,1.3856
2022-01-11 12:00:00,1.3864,1.4007,1.3809,1.393
2022-01-11 13:00:00,1.3937,1.3981,1.373,1.3822
2022-01-11 14:00:00,1.3818,1.3905,1.3509,1.3673
2022-01-11 15:00:00,1.3678,1.3854,1.363,1.3798
2022-01-11 16:00:00,1.3799,1.4423,1.3784,1.4393
2022-01-11 17:00:00,1.4398,1.4495,1.4115,1.4254
2022-01-11 18:00:00,1.4247,1.4351,1.415,1.4306
2022-01-11 19:00:00,1.4309,1.4433,1.4273,1.4378
2022-01-11 20:00:00,1.4379,1.4422,1.4235,1.4309
2022-01-11 21:00:00,1.431,1.4449,1.4294,1.4372
2022-01-11 22:00:00,1.4374,1.4527,1.4301,1.435
2022-01-11 23:00:00,1.4345,1.4523,1.4336,1.4467
2022-01-12 00:00:00,1.4473,1.4725,1.4461,1.4701
2022-01-12 01:00:00,1.4701,1.4727,1.4509,1.4549
2022-01-12 02:00:00,1.4547,1.4622,1.4377,1.4481
2022-01-12 03:00:00,1.448,1.45,1.4412,1.4472
2022-01-12 04:00:00,1.4474,1.4752,1.4447,1.4649
2022-01-12 05:00:00,1.4647,1.4882,1.46,1.4756
2022-01-12 06:00:00,1.4746,1.4902,1.4724,1.478
2022-01-12 07:00:00,1.4777,1.4866,1.46,1.4759
2022-01-12 08:00:00,1.4758,1.503,1.4724,1.4852
2022-01-12 09:00:00,1.4849,1.499,1.4812,1.4904
2022-01-12 10:00:00,1.4907,1.4911,1.4774,1.4795
2022-01-12 11:00:00,1.4804,1.4919,1.4644,1.4768
2022-01-12 12:00:00,1.4766,1.4897,1.4711,1.4729
2022-01-12 13:00:00,1.473,1.5001,1.4667,1.4995
2022-01-12 14:00:00,1.4996,1.5055,1.4796,1.4838
2022-01-12 15:00:00,1.4842,1.4865,1.4638,1.4678
2022-01-12 16:00:00,1.4682,1.4867,1.4613,1.4804
2022-01-12 17:00:00,1.4802,1.4878,1.47,1.4852
2022-01-12 18:00:00,1.4858,1.4867,1.4686,1.4695
2022-01-12 19:00:00,1.4691,1.48,1.4624,1.4796
2022-01-12 20:00:00,1.4797,1.4813,1.4657,1.4736
2022-01-12 21:00:00,1.4744,1.4858,1.4708,1.4784
2022-01-12 22:00:00,1.4784,1.4957,1.4762,1.486
2022-01-12 23:00:00,1.4858,1.5026,1.4853,1.4989
2022-01-13 00:00:00,1.4989,1.5019,1.4637,1.4668
2022-01-13 01:00:00,1.4659,1.4753,1.4344,1.4435
2022-01-13 02:00:00,1.4435,1.4555,1.443,1.448
2022-01-13 03:00:00,1.448,1.4554,1.4321,1.4499
2022-01-13 04:00:00,1.4499,1.4622,1.449,1.4589
2022-01-13 05:00:00,1.4582,1.4646,1.4506,1.4585
2022-01-13 06:00:00,1.4591,1.4665,1.4556,1.462
2022-01-13 07:00:00,1.4619,1.4667,1.4563,1.4575
2022-01-13 08:00:00,1.458,1.4696,1.4549,1.4694
2022-01-13 09:00:00,1.4695,1.4695,1.4501,1.4578
2022-01-13 10:00:00,1.458,1.4656,1.4505,1.4527
2022-01-13 11:00:00,1.4519,1.455,1.4181,1.4294
2022-01-13 12:00:00,1.4291,1.444,1.4274,1.4425
2022-01-13 13:00:00,1.4425,1.4505,1.437,1.4497
2022-01-13 14:00:00,1.4497,1.4721,1.446,1.466
2022-01-13 15:00:00,1.4662,1.4687,1.401,1.4217
2022-01-13 16:00:00,1.4217,1.4315,1.4053,1.4064
2022-01-13 17:00:00,1.406,1.4106,1.381,1.3929
2022-01-13 18:00:00,1.3928,1.3962,1.3679,1.3724
2022-01-13 19:00:00,1.3723,1.3763,1.3519,1.361
2022-01-13 20:00:00,1.3609,1.3615,1.3413,1.3603
2022-01-13 21:00:00,1.3605,1.3716,1.3543,1.3621
2022-01-13 22:00:00,1.3624,1.3684,1.3502,1.3565
2022-01-13 23:00:00,1.357,1.369,1.3515,1.3616
2022-01-14 00:00:00,1.3611,1.375,1.35,1.3731
2022-01-14 01:00:00,1.3726,1.3764,1.3633,1.3686
2022-01-14 02:00:00,1.369,1.3826,1.36,1.379
2022-01-14 03:00:00,1.3789,1.3838,1.3672,1.3783
2022-01-14 04:00:00,1.3788,1.392,1.3779,1.3868
2022-01-14 05:00:00,1.3867,1.4072,1.3858,1.4007
2022-01-14 06:00:00,1.4002,1.4088,1.3965,1.4071
2022-01-14 07:00:00,1.4067,1.4116,1.377,1.3846
2022-01-14 08:00:00,1.3849,1.3863,1.3531,1.3678
2022-01-14 09:00:00,1.3686,1.3812,1.361,1.3701
2022-01-14 10:00:00,1.3705,1.3733,1.3427,1.3468
2022-01-14 11:00:00,1.3477,1.3518,1.3238,1.3489
2022-01-14 12:00:00,1.3488,1.3638,1.3334,1.3537
2022-01-14 13:00:00,1.3539,1.3679,1.3518,1.3563
2022-01-14 14:00:00,1.3556,1.3925,1.3515,1.3904
2022-01-14 15:00:00,1.3902,1.404,1.3772,1.3828
2022-01-14 16:00:00,1.3833,1.3848,1.3732,1.3835
2022-01-14 17:00:00,1.3838,1.3864,1.3686,1.374
2022-01-14 18:00:00,1.3741,1.382,1.3715,1.3788
2022-01-14 19:00:00,1.3788,1.3889,1.3788,1.3802
2022-01-14 20:00:00,1.3806,1.3935,1.3794,1.3821
2022-01-14 21:00:00,1.3821,1.39,1.3821,1.3864
2022-01-14 22:00:00,1.3864,1.3879,1.3803,1.3833
2022-01-14 23:00:00,1.3836,1.388,1.3741,1.3822
2022-01-15 00:00:00,1.3826,1.3918,1.3743,1.384
2022-01-15 01:00:00,1.3844,1.389,1.3756,1.3815
2022-01-15 02:00:00,1.3812,1.3858,1.3754,1.382
2022-01-15 03:00:00,1.3823,1.3858,1.3764,1.378
2022-01-15 04:00:00,1.378,1.3793,1.3618,1.3712
2022-01-15 05:00:00,1.3707,1.3712,1.3637,1.3686
2022-01-15 06:00:00,1.3688,1.3801,1.3576,1.3794
2022-01-15 07:00:00,1.3788,1.3851,1.374,1.3832
2022-01-15 08:00:00,1.3828,1.3892,1.379,1.3809
2022-01-15 09:00:00,1.3809,1.387,1.38,1.385
2022-01-15 10:00:00,1.3844,1.3918,1.3827,1.3843
2022-01-15 11:00:00,1.3843,1.3915,1.3826,1.3886
2022-01-15 12:00:00,1.3886,1.3902,1.3624,1.3755
2022-01-15 13:00:00,1.3761,1.3928,1.3685,1.3905
2022-01-15 14:00:00,1.3903,1.4051,1.3882,1.4028
2022-01-15 15:00:00,1.4027,1.4057,1.3935,1.4033
2022-01-15 16:00:00,1.4038,1.4075,1.3986,1.4032
2022-01-15 17:00:00,1.4036,1.4165,1.4019,1.405
2022-01-15 18:00:00,1.4045,1.4079,1.3991,1.3997
2022-01-15 19:00:00,1.3999,1.4026,1.3944,1.401
2022-01-15 20:00:00,1.401,1.408,1.3986,1.3994
2022-01-15 21:00:00,1.3993,1.4008,1.3827,1.3881
2022-01-15 22:00:00,1.3885,1.3905,1.381,1.3854
2022-01-15 23:00:00,1.385,1.3914,1.3771,1.3785
2022-01-16 00:00:00,1.379,1.3827,1.3718,1.3777
2022-01-16 01:00:00,1.3781,1.3841,1.3763,1.3768
2022-01-16 02:00:00,1.3766,1.3893,1.3663,1.3722
2022-01-16 03:00:00,1.3722,1.3802,1.3684,1.3767
2022-01-16 04:00:00,1.3762,1.3875,1.373,1.3872
2022-01-16 05:00:00,1.3872,1.3964,1.3825,1.3836
2022-01-16 06:00:00,1.3838,1.3947,1.38,1.3943
2022-01-16 07:00:00,1.3948,1.4007,1.3907,1.3954
2022-01-16 08:00:00,1.3953,1.3997,1.3891,1.39
2022-01-16 09:00:00,1.3898,1.405,1.3884,1.3954
2022-01-16 10:00:00,1.3974,1.4001,1.3833,1.3833
2022-01-16 11:00:00,1.3831,1.3913,1.3761,1.3875
2022-01-16 12:00:00,1.3876,1.4046,1.3854,1.4045
2022-01-16 13:00:00,1.4043,1.4061,1.3703,1.4011
2022-01-16 14:00:00,1.4006,1.4062,1.3907,1.4062
2022-01-16 15:00:00,1.4063,1.4302,1.4054,1.4278
2022-01-16 16:00:00,1.4278,1.4508,1.4196,1.441
2022-01-16 17:00:00,1.4404,1.4496,1.4297,1.4314
2022-01-16 18:00:00,1.4318,1.4336,1.417,1.4194
2022-01-16 19:00:00,1.4191,1.4223,1.4064,1.4148
2022-01-16 20:00:00,1.4143,1.4282,1.4102,1.4252
2022-01-16 21:00:00,1.4257,1.435,1.4165,1.4324
2022-01-16 22:00:00,1.4316,1.4433,1.4279,1.4333
2022-01-16 23:00:00,1.4338,1.4352,1.4251,1.4299
2022-01-17 00:00:00,1.4304,1.4443,1.4144,1.4157
2022-01-17 01:00:00,1.4146,1.4214,1.4012,1.404
2022-01-17 02:00:00,1.4037,1.4082,1.3897,1.4013
2022-01-17 03:00:00,1.4016,1.4185,1.3827,1.3835
2022-01-17 04:00:00,1.3828,1.4009,1.3778,1.3869
2022-01-17 05:00:00,1.3867,1.3979,1.3754,1.396
2022-01-17 06:00:00,1.3969,1.4219,1.3963,1.4149
2022-01-17 07:00:00,1.4149,1.432,1.4103,1.4112
2022-01-17 08:00:00,1.4116,1.4169,1.3952,1.4022
2022-01-17 09:00:00,1.4018,1.4167,1.3998,1.4148
2022-01-17 10:00:00,1.4149,1.4187,1.4026,1.4134
2022-01-17 11:00:00,1.4124,1.4165,1.3979,1.4039
2022-01-17 12:00:00,1.4032,1.4067,1.3812,1.387
2022-01-17 13:00:00,1.3856,1.3933,1.3762,1.3841
2022-01-17 14:00:00,1.3846,1.3906,1.3779,1.3833
2022-01-17 15:00:00,1.3834,1.3844,1.3566,1.3605
2022-01-17 16:00:00,1.3605,1.366,1.3418,1.3584
2022-01-17 17:00:00,1.3567,1.3598,1.3384,1.3471
2022-01-17 18:00:00,1.3465,1.3637,1.3393,1.3596
2022-01-17 19:00:00,1.3595,1.3717,1.3565,1.3644
2022-01-17 20:00:00,1.3649,1.3714,1.3587,1.36
2022-01-17 21:00:00,1.3609,1.3644,1.3388,1.3479
2022-01-17 22:00:00,1.3484,1.3676,1.337,1.3544
2022-01-17 23:00:00,1.3539,1.3664,1.3406,1.3415
2022-01-18 00:00:00,1.3417,1.3596,1.3329,1.3571
2022-01-18 01:00:00,1.3576,1.3619,1.3489,1.3544
2022-01-18 02:00:00,1.3558,1.3572,1.3424,1.351
2022-01-18 03:00:00,1.3516,1.3545,1.3316,1.3383
2022-01-18 04:00:00,1.3384,1.3418,1.322,1.3345
2022-01-18 05:00:00,1.3343,1.3406,1.3264,1.3347
2022-01-18 06:00:00,1.3351,1.356,1.3351,1.3523
2022-01-18 07:00:00,1.3527,1.353,1.3362,1.3435
2022-01-18 08:00:00,1.3431,1.3434,1.3163,1.3196
2022-01-18 09:00:00,1.3195,1.3262,1.3019,1.3203
2022-01-18 10:00:00,1.32,1.3327,1.317,1.3224
2022-01-18 11:00:00,1.3224,1.3298,1.3164,1.3288
2022-01-18 12:00:00,1.3285,1.3321,1.31,1.3178
2022-01-18 13:00:00,1.3191,1.3206,1.2832,1.3031
2022-01-18 14:00:00,1.3033,1.306,1.2824,1.2843
2022-01-18 15:00:00,1.2842,1.3025,1.2779,1.2912
2022-01-18 16:00:00,1.2913,1.305,1.2884,1.2997
