datetime,ONEBUSD_open,ONEBUSD_high,ONEBUSD_low,ONEBUSD_close
2022-01-10 05:00:00,0.28246,0.28532,0.278,0.27915
2022-01-10 06:00:00,0.27905,0.28097,0.27455,0.27673
2022-01-10 07:00:00,0.27698,0.27887,0.26821,0.26839
2022-01-10 08:00:00,0.26838,0.27447,0.26822,0.26846
2022-01-10 09:00:00,0.2686,0.27596,0.25428,0.27082
2022-01-10 10:00:00,0.27064,0.27238,0.26366,0.2696
2022-01-10 11:00:00,0.26965,0.28177,0.2674,0.28068
2022-01-10 12:00:00,0.2806,0.2827,0.265,0.27174
2022-01-10 13:00:00,0.27225,0.27268,0.2682,0.26838
2022-01-10 14:00:00,0.26836,0.27268,0.26524,0.2687
2022-01-10 15:00:00,0.26891,0.27345,0.26596,0.27297
2022-01-10 16:00:00,0.27294,0.27428,0.26966,0.27279
2022-01-10 17:00:00,0.27294,0.27583,0.2705,0.27302
2022-01-10 18:00:00,0.27265,0.27552,0.27093,0.27552
2022-01-10 19:00:00,0.27529,0.27598,0.27025,0.27304
2022-01-10 20:00:00,0.27318,0.27837,0.27125,0.27789
2022-01-10 21:00:00,0.27822,0.28352,0.27642,0.28101
2022-01-10 22:00:00,0.28122,0.28255,0.27811,0.27938
2022-01-10 23:00:00,0.27958,0.28222,0.27661,0.27752
2022-01-11 00:00:00,0.27779,0.28228,0.275,0.28187
2022-01-11 01:00:00,0.2819,0.28435,0.27743,0.2795
2022-01-11 02:00:00,0.27954,0.28222,0.27761,0.28195
2022-01-11 03:00:00,0.2821,0.28642,0.27832,0.27857
2022-01-11 04:00:00,0.27866,0.28008,0.27301,0.2738
2022-01-11 05:00:00,0.27397,0.2759,0.27,0.27132
2022-01-11 06:00:00,0.27112,0.27704,0.27076,0.27687
2022-01-11 07:00:00,0.27691,0.2828,0.27545,0.28087
2022-01-11 08:00:00,0.28131,0.2827,0.27428,0.27794
2022-01-11 09:00:00,0.27765,0.28041,0.27053,0.2763
2022-01-11 10:00:00,0.27607,0.28184,0.27564,0.28013
2022-01-11 11:00:00,0.28002,0.29484,0.27836,0.29125
2022-01-11 12:00:00,0.29185,0.30739,0.29142,0.30034
2022-01-11 13:00:00,0.30029,0.30253,0.2971,0.30024
2022-01-11 14:00:00,0.3,0.30478,0.29907,0.30233
2022-01-11 15:00:00,0.30281,0.3065,0.3017,0.30279
2022-01-11 16:00:00,0.30229,0.30229,0.29548,0.29867
2022-01-11 17:00:00,0.29866,0.29937,0.2955,0.29746
2022-01-11 18:00:00,0.29743,0.30346,0.29716,0.30215
2022-01-11 19:00:00,0.30222,0.31007,0.30222,0.3052
2022-01-11 20:00:00,0.30515,0.30919,0.305,0.30786
2022-01-11 21:00:00,0.30841,0.3123,0.3051,0.3058
2022-01-11 22:00:00,0.30593,0.31101,0.30289,0.3097
2022-01-11 23:00:00,0.30975,0.31586,0.30975,0.31394
2022-01-12 00:00:00,0.314,0.31873,0.312,0.31777
2022-01-12 01:00:00,0.31814,0.31852,0.31547,0.318
2022-01-12 02:00:00,0.318,0.32078,0.3115,0.32044
