datetime,ZECUSD_open,ZECUSD_high,ZECUSD_low,ZECUSD_close
2022-01-18 20:00:00,130.35,130.49,128.91,129.82
2022-01-18 21:00:00,129.83,132.52,129.71,132.08
2022-01-18 22:00:00,131.93,133.16,131.52,132.74
2022-01-18 23:00:00,132.82,133.07,131.66,131.88
2022-01-19 00:00:00,132.1,132.36,130.45,131.0
2022-01-19 01:00:00,131.0,131.4,130.94,131.25
2022-01-19 02:00:00,131.29,131.55,131.13,131.36
2022-01-19 03:00:00,131.3,131.57,128.48,129.23
2022-01-19 04:00:00,129.3,130.27,129.07,130.0
2022-01-19 05:00:00,130.1,131.92,130.1,131.32
2022-01-19 06:00:00,131.32,132.04,130.7,131.47
2022-01-19 07:00:00,131.56,131.56,126.54,127.27
2022-01-19 08:00:00,127.27,127.63,126.5,127.26
2022-01-19 09:00:00,127.19,129.46,127.12,129.17
2022-01-19 10:00:00,129.16,129.43,128.33,129.22
2022-01-19 11:00:00,129.22,131.64,129.22,131.64
2022-01-19 12:00:00,131.42,131.85,130.33,130.6
2022-01-19 13:00:00,130.77,132.05,130.44,130.99
2022-01-19 14:00:00,130.98,132.16,130.43,131.27
2022-01-19 15:00:00,131.42,131.42,129.35,130.05
2022-01-19 16:00:00,129.94,130.32,126.95,127.55
2022-01-19 17:00:00,127.56,128.65,127.43,128.39
2022-01-19 18:00:00,128.31,128.46,127.23,127.58
2022-01-19 19:00:00,127.65,127.71,126.65,127.22
2022-01-19 20:00:00,127.25,127.32,125.87,126.14
2022-01-19 21:00:00,126.29,127.18,126.29,126.5
2022-01-19 22:00:00,126.45,128.11,125.64,127.83
2022-01-19 23:00:00,127.53,127.54,125.74,125.87
2022-01-20 00:00:00,125.91,127.48,124.9,127.26
2022-01-20 01:00:00,127.12,127.12,125.94,126.79
2022-01-20 02:00:00,126.79,128.26,126.72,127.7
2022-01-20 03:00:00,127.52,127.99,127.16,127.39
2022-01-20 04:00:00,127.3,127.6,126.54,127.46
2022-01-20 05:00:00,127.46,127.48,126.26,126.55
2022-01-20 06:00:00,126.48,128.2,126.32,127.78
2022-01-20 07:00:00,127.72,129.18,127.61,128.8
2022-01-20 08:00:00,128.69,128.8,127.96,128.33
2022-01-20 09:00:00,128.33,128.87,127.8,128.78
2022-01-20 10:00:00,128.77,129.45,128.6,129.12
2022-01-20 11:00:00,129.27,129.31,128.85,128.96
2022-01-20 12:00:00,128.82,129.54,128.46,129.02
2022-01-20 13:00:00,129.2,130.42,129.02,130.42
2022-01-20 14:00:00,130.39,130.87,129.91,130.87
2022-01-20 15:00:00,130.7,131.73,129.92,131.54
2022-01-20 16:00:00,131.55,131.93,131.1,131.43
