datetime,COMPUSD_open,COMPUSD_high,COMPUSD_low,COMPUSD_close
2022-03-02 07:00:00,122.7,122.75,121.12,121.97
2022-03-02 08:00:00,121.8,123.24,120.51,122.0
2022-03-02 09:00:00,121.94,123.28,121.55,122.98
2022-03-02 10:00:00,122.86,124.07,122.47,123.91
2022-03-02 11:00:00,123.89,124.79,123.37,124.7
2022-03-02 12:00:00,124.82,126.07,123.73,124.2
2022-03-02 13:00:00,124.24,124.28,120.19,121.15
2022-03-02 14:00:00,121.26,124.55,121.26,123.9
2022-03-02 15:00:00,123.92,124.71,120.62,121.45
2022-03-02 16:00:00,121.62,123.04,121.21,122.75
2022-03-02 17:00:00,122.65,124.01,120.88,121.23
2022-03-02 18:00:00,121.48,122.08,120.54,121.26
2022-03-02 19:00:00,121.36,121.49,119.49,120.3
2022-03-02 20:00:00,120.36,120.69,120.03,120.47
2022-03-02 21:00:00,120.54,122.1,120.15,122.08
2022-03-02 22:00:00,122.0,122.5,121.28,121.44
2022-03-02 23:00:00,121.43,121.87,120.37,120.7
2022-03-03 00:00:00,120.81,121.5,119.98,121.42
2022-03-03 01:00:00,121.4,121.87,120.38,120.87
2022-03-03 02:00:00,120.75,121.14,119.53,120.65
2022-03-03 03:00:00,120.59,120.97,118.78,120.01
2022-03-03 04:00:00,120.11,120.77,119.55,120.1
2022-03-03 05:00:00,120.18,120.67,120.16,120.67
2022-03-03 06:00:00,120.71,121.14,119.16,121.03
2022-03-03 07:00:00,121.0,121.86,121.0,121.31
2022-03-03 08:00:00,121.37,121.9,120.93,121.29
2022-03-03 09:00:00,121.25,121.56,120.8,120.87
2022-03-03 10:00:00,120.91,121.13,119.95,121.01
2022-03-03 11:00:00,120.96,121.82,120.74,120.81
2022-03-03 12:00:00,120.91,122.07,120.55,122.07
2022-03-03 13:00:00,122.11,122.81,121.67,122.81
2022-03-03 14:00:00,122.82,122.91,120.33,121.68
2022-03-03 15:00:00,121.59,121.84,116.62,117.55
2022-03-03 16:00:00,117.65,118.03,116.25,116.73
2022-03-03 17:00:00,116.96,117.58,115.77,116.57
2022-03-03 18:00:00,116.56,118.39,116.56,118.17
2022-03-03 19:00:00,118.19,118.51,117.2,117.47
2022-03-03 20:00:00,117.49,117.53,115.68,116.2
2022-03-03 21:00:00,116.19,117.1,115.78,116.47
2022-03-03 22:00:00,116.5,117.99,116.5,117.67
2022-03-03 23:00:00,117.78,118.27,117.14,117.18
2022-03-04 00:00:00,116.89,117.56,113.59,113.97
2022-03-04 01:00:00,113.97,114.41,112.69,113.69
2022-03-04 02:00:00,113.67,114.04,113.17,113.52
