datetime,QNTUSD_open,QNTUSD_high,QNTUSD_low,QNTUSD_close
2022-01-09 05:00:00,176.37,176.47,174.55,175.28
2022-01-09 06:00:00,175.39,175.48,172.06,173.28
2022-01-09 07:00:00,173.73,173.74,172.58,172.69
2022-01-09 08:00:00,173.37,174.71,172.61,173.27
2022-01-09 09:00:00,173.75,174.37,172.49,172.5
2022-01-09 10:00:00,172.95,173.52,171.29,171.36
2022-01-09 11:00:00,171.36,171.8,170.97,171.65
2022-01-09 12:00:00,171.65,171.8,170.22,171.47
2022-01-09 13:00:00,171.33,171.8,170.2,170.32
2022-01-09 14:00:00,170.42,171.8,170.06,171.04
2022-01-09 15:00:00,170.9,171.8,168.78,171.03
2022-01-09 16:00:00,171.03,172.19,170.77,172.18
2022-01-09 17:00:00,172.17,172.28,171.56,172.01
2022-01-09 18:00:00,172.22,176.31,172.01,176.07
2022-01-09 19:00:00,176.1,178.11,174.86,177.61
2022-01-09 20:00:00,177.42,177.42,173.47,174.63
2022-01-09 21:00:00,174.28,175.24,173.4,174.78
2022-01-09 22:00:00,174.78,176.48,174.19,174.81
2022-01-09 23:00:00,174.81,175.04,170.27,170.4
2022-01-10 00:00:00,170.38,174.58,169.5,173.5
2022-01-10 01:00:00,173.56,177.37,172.83,177.24
2022-01-10 02:00:00,177.12,177.46,174.79,176.8
2022-01-10 03:00:00,176.77,176.77,175.12,175.16
2022-01-10 04:00:00,175.04,175.99,174.0,174.95
2022-01-10 05:00:00,174.92,175.37,173.32,174.11
2022-01-10 06:00:00,174.0,174.38,170.84,171.99
2022-01-10 07:00:00,172.11,173.55,171.59,173.38
2022-01-10 08:00:00,173.39,173.76,170.93,171.45
2022-01-10 09:00:00,171.28,172.16,170.1,170.36
2022-01-10 10:00:00,170.1,175.59,170.0,173.79
2022-01-10 11:00:00,173.69,177.25,172.35,173.45
2022-01-10 12:00:00,173.45,173.93,165.19,166.6
2022-01-10 13:00:00,166.64,169.2,165.89,167.29
2022-01-10 14:00:00,167.32,168.15,157.59,165.93
2022-01-10 15:00:00,165.91,167.74,162.63,166.54
2022-01-10 16:00:00,166.57,168.36,165.06,167.91
2022-01-10 17:00:00,167.84,169.64,162.57,167.77
2022-01-10 18:00:00,167.77,169.83,166.85,168.95
2022-01-10 19:00:00,168.81,169.83,165.53,166.7
2022-01-10 20:00:00,166.8,169.38,166.56,169.0
2022-01-10 21:00:00,169.25,169.57,167.0,168.29
2022-01-10 22:00:00,168.16,169.13,167.73,168.46
2022-01-10 23:00:00,168.44,169.38,165.28,166.33
2022-01-11 00:00:00,166.14,166.32,164.33,164.79
2022-01-11 01:00:00,164.54,166.87,164.39,165.92
2022-01-11 02:00:00,165.64,167.17,165.52,166.82
2022-01-11 03:00:00,166.97,167.46,165.69,166.65
2022-01-11 04:00:00,166.67,166.97,165.62,166.3
2022-01-11 05:00:00,166.4,166.88,165.52,165.85
2022-01-11 06:00:00,165.73,166.84,164.34,165.66
2022-01-11 07:00:00,165.58,165.86,164.59,165.7
2022-01-11 08:00:00,165.76,168.99,165.76,167.23
2022-01-11 09:00:00,167.17,168.26,166.43,166.76
2022-01-11 10:00:00,167.0,168.66,163.15,163.15
2022-01-11 11:00:00,163.35,165.79,163.2,164.13
2022-01-11 12:00:00,164.01,165.26,161.04,162.75
2022-01-11 13:00:00,162.92,165.08,162.86,164.98
2022-01-11 14:00:00,164.74,166.16,161.31,164.33
2022-01-11 15:00:00,164.31,166.19,163.02,165.47
2022-01-11 16:00:00,165.58,169.01,164.2,168.11
2022-01-11 17:00:00,168.51,171.45,167.23,169.21
2022-01-11 18:00:00,169.21,170.21,167.26,168.67
2022-01-11 19:00:00,168.77,172.12,167.65,171.12
2022-01-11 20:00:00,171.3,171.85,168.88,169.88
2022-01-11 21:00:00,169.66,169.97,169.0,169.18
2022-01-11 22:00:00,169.36,169.37,168.49,169.1
2022-01-11 23:00:00,168.88,170.14,168.8,169.35
2022-01-12 00:00:00,169.36,170.11,166.89,167.4
2022-01-12 01:00:00,167.52,168.24,166.87,167.39
2022-01-12 02:00:00,167.59,168.07,166.3,167.08
2022-01-12 03:00:00,166.84,167.04,165.31,165.93
2022-01-12 04:00:00,165.82,167.16,165.67,167.02
2022-01-12 05:00:00,167.15,167.36,165.6,165.84
2022-01-12 06:00:00,165.85,168.21,165.14,167.48
2022-01-12 07:00:00,167.59,167.69,166.27,167.12
2022-01-12 08:00:00,167.24,168.05,166.01,166.05
2022-01-12 09:00:00,166.0,167.73,163.33,165.47
2022-01-12 10:00:00,165.3,166.39,164.77,165.02
2022-01-12 11:00:00,165.25,167.7,165.25,166.02
2022-01-12 12:00:00,166.03,168.91,165.8,167.36
2022-01-12 13:00:00,166.97,172.19,166.62,170.2
2022-01-12 14:00:00,170.04,172.41,168.79,171.18
2022-01-12 15:00:00,171.27,172.18,169.08,169.67
2022-01-12 16:00:00,170.09,170.22,168.51,169.88
2022-01-12 17:00:00,169.88,172.08,168.93,171.37
2022-01-12 18:00:00,171.2,172.49,169.53,169.74
2022-01-12 19:00:00,169.53,172.11,168.73,171.6
2022-01-12 20:00:00,171.62,171.82,169.81,170.25
2022-01-12 21:00:00,170.36,174.05,169.18,170.35
2022-01-12 22:00:00,170.44,171.09,169.68,170.55
2022-01-12 23:00:00,170.52,170.74,168.4,168.76
2022-01-13 00:00:00,168.81,171.5,168.48,169.65
2022-01-13 01:00:00,169.66,170.47,168.67,169.0
2022-01-13 02:00:00,169.04,169.83,168.13,168.64
2022-01-13 03:00:00,168.62,169.13,167.39,167.42
2022-01-13 04:00:00,167.76,169.84,167.04,168.71
2022-01-13 05:00:00,168.57,169.67,167.65,169.43
2022-01-13 06:00:00,169.42,170.08,167.74,168.67
2022-01-13 07:00:00,168.86,169.24,167.99,168.79
2022-01-13 08:00:00,168.91,169.98,168.11,168.67
2022-01-13 09:00:00,168.57,170.15,168.42,169.23
2022-01-13 10:00:00,169.44,173.65,169.44,171.21
2022-01-13 11:00:00,171.21,172.43,169.85,171.23
2022-01-13 12:00:00,171.27,172.25,171.1,171.95
2022-01-13 13:00:00,172.12,174.0,171.77,173.99
2022-01-13 14:00:00,173.99,177.4,173.27,176.45
2022-01-13 15:00:00,176.33,176.34,168.1,171.46
2022-01-13 16:00:00,171.19,172.15,168.4,169.69
2022-01-13 17:00:00,169.68,172.42,168.0,171.79
2022-01-13 18:00:00,171.68,172.78,169.82,171.85
2022-01-13 19:00:00,171.73,171.86,167.89,169.6
2022-01-13 20:00:00,169.6,169.66,166.38,166.91
2022-01-13 21:00:00,166.91,167.72,165.73,166.47
2022-01-13 22:00:00,166.33,167.8,166.07,166.76
2022-01-13 23:00:00,166.68,167.17,165.5,165.53
2022-01-14 00:00:00,165.54,168.14,165.2,167.9
2022-01-14 01:00:00,167.92,167.95,165.0,166.28
2022-01-14 02:00:00,166.16,168.61,165.35,166.48
2022-01-14 03:00:00,166.61,169.38,166.04,167.88
2022-01-14 04:00:00,167.7,169.57,165.48,165.62
2022-01-14 05:00:00,165.61,168.27,165.61,167.58
2022-01-14 06:00:00,167.63,168.0,165.1,166.08
2022-01-14 07:00:00,166.44,166.75,165.09,166.09
2022-01-14 08:00:00,165.87,165.87,163.19,165.33
2022-01-14 09:00:00,165.14,166.89,164.93,166.57
2022-01-14 10:00:00,166.7,166.82,163.01,163.58
2022-01-14 11:00:00,163.58,167.1,162.77,165.93
2022-01-14 12:00:00,165.75,165.95,162.81,163.99
2022-01-14 13:00:00,163.96,165.05,163.09,163.89
2022-01-14 14:00:00,163.72,165.99,161.68,165.33
2022-01-14 15:00:00,165.43,166.45,164.71,165.36
2022-01-14 16:00:00,165.42,165.91,163.81,165.28
2022-01-14 17:00:00,165.29,166.4,164.45,164.58
2022-01-14 18:00:00,164.41,166.5,164.41,166.28
2022-01-14 19:00:00,166.17,167.29,165.43,166.09
2022-01-14 20:00:00,166.09,166.74,164.6,165.69
2022-01-14 21:00:00,165.83,166.59,165.29,166.2
2022-01-14 22:00:00,165.93,166.46,164.69,164.95
2022-01-14 23:00:00,164.95,165.69,164.62,165.56
2022-01-15 00:00:00,165.69,167.9,164.52,167.53
2022-01-15 01:00:00,167.48,168.48,166.82,167.56
2022-01-15 02:00:00,167.7,168.1,165.98,167.51
2022-01-15 03:00:00,167.41,169.26,166.71,167.03
2022-01-15 04:00:00,167.19,167.51,166.25,166.53
2022-01-15 05:00:00,166.29,167.95,166.13,166.95
2022-01-15 06:00:00,166.95,168.07,166.66,167.89
2022-01-15 07:00:00,167.96,168.44,167.09,168.35
2022-01-15 08:00:00,168.35,168.69,166.63,166.85
2022-01-15 09:00:00,167.04,167.49,166.61,166.93
2022-01-15 10:00:00,167.0,168.31,166.52,167.99
2022-01-15 11:00:00,167.81,168.08,165.7,166.69
2022-01-15 12:00:00,166.57,167.08,164.67,165.56
2022-01-15 13:00:00,165.41,166.08,165.02,165.66
2022-01-15 14:00:00,165.56,168.2,165.56,167.3
2022-01-15 15:00:00,167.13,168.25,166.64,168.11
2022-01-15 16:00:00,168.07,168.67,166.65,167.66
2022-01-15 17:00:00,167.82,168.49,167.16,167.92
2022-01-15 18:00:00,167.92,168.18,167.02,167.36
2022-01-15 19:00:00,167.37,168.11,167.02,168.11
2022-01-15 20:00:00,168.26,168.69,167.22,167.55
2022-01-15 21:00:00,167.37,167.66,166.33,167.03
2022-01-15 22:00:00,167.03,167.44,166.27,166.73
2022-01-15 23:00:00,166.73,169.68,166.61,167.61
2022-01-16 00:00:00,167.56,167.67,166.61,166.65
2022-01-16 01:00:00,166.75,168.07,166.55,166.81
2022-01-16 02:00:00,166.78,166.79,165.44,165.64
2022-01-16 03:00:00,165.61,165.62,165.0,165.01
2022-01-16 04:00:00,165.1,166.16,165.0,165.86
2022-01-16 05:00:00,165.97,166.49,165.03,165.05
2022-01-16 06:00:00,165.08,166.06,165.08,166.0
2022-01-16 07:00:00,165.86,165.97,165.16,165.43
2022-01-16 08:00:00,165.47,165.82,165.0,165.03
2022-01-16 09:00:00,165.05,166.86,164.76,166.28
2022-01-16 10:00:00,166.28,167.16,165.57,165.57
2022-01-16 11:00:00,165.5,166.18,165.3,165.77
2022-01-16 12:00:00,165.82,166.49,165.35,165.92
2022-01-16 13:00:00,166.09,166.86,164.54,166.86
2022-01-16 14:00:00,166.85,167.18,165.27,166.56
2022-01-16 15:00:00,166.54,167.2,166.12,166.9
2022-01-16 16:00:00,166.78,167.2,166.29,167.2
2022-01-16 17:00:00,167.2,167.45,165.65,166.16
2022-01-16 18:00:00,166.13,166.67,165.86,166.51
2022-01-16 19:00:00,166.4,166.72,165.59,166.41
2022-01-16 20:00:00,166.28,167.03,165.47,166.46
2022-01-16 21:00:00,166.61,166.61,165.24,165.51
2022-01-16 22:00:00,165.51,167.28,165.51,167.1
2022-01-16 23:00:00,166.79,168.95,166.11,167.7
2022-01-17 00:00:00,167.7,168.59,166.46,166.95
2022-01-17 01:00:00,167.05,167.94,165.34,165.72
2022-01-17 02:00:00,165.74,166.25,165.2,165.78
2022-01-17 03:00:00,165.51,165.78,163.8,164.09
2022-01-17 04:00:00,163.91,164.91,163.4,163.57
2022-01-17 05:00:00,163.5,164.64,162.15,164.36
2022-01-17 06:00:00,164.51,164.65,163.44,163.72
2022-01-17 07:00:00,163.63,164.59,162.53,162.67
2022-01-17 08:00:00,162.68,167.0,162.01,166.25
2022-01-17 09:00:00,166.65,166.73,164.68,165.77
2022-01-17 10:00:00,165.63,166.17,164.88,165.64
2022-01-17 11:00:00,165.65,166.13,163.32,163.35
2022-01-17 12:00:00,163.35,164.48,162.59,163.15
2022-01-17 13:00:00,163.2,164.69,162.33,162.81
2022-01-17 14:00:00,162.9,163.68,162.24,162.86
2022-01-17 15:00:00,162.86,163.14,162.03,162.82
2022-01-17 16:00:00,162.73,163.73,161.24,163.5
2022-01-17 17:00:00,163.4,163.58,161.08,161.48
2022-01-17 18:00:00,161.46,161.46,159.16,160.3
2022-01-17 19:00:00,160.28,162.37,159.71,161.61
2022-01-17 20:00:00,161.62,162.09,159.5,159.66
2022-01-17 21:00:00,159.55,160.59,157.69,160.0
2022-01-17 22:00:00,159.8,161.9,158.48,159.81
2022-01-17 23:00:00,160.27,160.51,158.09,159.74
2022-01-18 00:00:00,159.81,161.27,159.3,160.7
