datetime,SFPBUSD_open,SFPBUSD_high,SFPBUSD_low,SFPBUSD_close
2022-05-06 23:00:00,0.6228,0.624,0.6138,0.6138
2022-05-07 00:00:00,0.6135,0.6257,0.613,0.6257
2022-05-07 01:00:00,0.6272,0.6272,0.6195,0.625
2022-05-07 02:00:00,0.6232,0.6347,0.6215,0.6347
2022-05-07 03:00:00,0.6329,0.6359,0.628,0.6337
2022-05-07 04:00:00,0.6327,0.633,0.6273,0.6291
2022-05-07 05:00:00,0.6273,0.6505,0.627,0.6343
2022-05-07 06:00:00,0.6343,0.6372,0.6323,0.6323
2022-05-07 07:00:00,0.6332,0.6332,0.6266,0.6284
2022-05-07 08:00:00,0.6312,0.6312,0.6218,0.6242
2022-05-07 09:00:00,0.6233,0.6292,0.6229,0.6292
2022-05-07 10:00:00,0.629,0.6322,0.6277,0.632
2022-05-07 11:00:00,0.6308,0.6315,0.6269,0.6314
2022-05-07 12:00:00,0.6321,0.6321,0.6289,0.6315
2022-05-07 13:00:00,0.6283,0.6342,0.6283,0.629
2022-05-07 14:00:00,0.6322,0.6323,0.6299,0.6306
2022-05-07 15:00:00,0.628,0.628,0.6237,0.6275
2022-05-07 16:00:00,0.6251,0.6269,0.61,0.61
2022-05-07 17:00:00,0.6087,0.6132,0.5979,0.6034
2022-05-07 18:00:00,0.6057,0.6136,0.6043,0.6093
2022-05-07 19:00:00,0.612,0.6159,0.607,0.607
2022-05-07 20:00:00,0.6065,0.6074,0.5986,0.6011
2022-05-07 21:00:00,0.6002,0.6002,0.5888,0.5977
2022-05-07 22:00:00,0.5974,0.6029,0.593,0.6016
2022-05-07 23:00:00,0.6036,0.6125,0.6036,0.6076
2022-05-08 00:00:00,0.6062,0.6063,0.6021,0.6041
2022-05-08 01:00:00,0.6046,0.6177,0.6046,0.6158
2022-05-08 02:00:00,0.6162,0.6162,0.6081,0.6103
2022-05-08 03:00:00,0.608,0.6108,0.6056,0.6094
2022-05-08 04:00:00,0.6105,0.611,0.6056,0.6069
2022-05-08 05:00:00,0.6087,0.617,0.605,0.6148
2022-05-08 06:00:00,0.6179,0.6215,0.6161,0.6205
2022-05-08 07:00:00,0.619,0.6207,0.6101,0.6139
2022-05-08 08:00:00,0.6105,0.6126,0.6033,0.6033
2022-05-08 09:00:00,0.6031,0.6149,0.602,0.6121
2022-05-08 10:00:00,0.6164,0.6206,0.6124,0.613
2022-05-08 11:00:00,0.6157,0.621,0.6138,0.621
2022-05-08 12:00:00,0.6125,0.6125,0.5991,0.6062
2022-05-08 13:00:00,0.6092,0.6184,0.605,0.6179
2022-05-08 14:00:00,0.6187,0.625,0.6184,0.62
2022-05-08 15:00:00,0.6178,0.618,0.6118,0.6118
2022-05-08 16:00:00,0.6188,0.622,0.6184,0.622
2022-05-08 17:00:00,0.6192,0.6192,0.6102,0.6104
2022-05-08 18:00:00,0.6104,0.6149,0.6052,0.6079
2022-05-08 19:00:00,0.6115,0.6297,0.6115,0.6266
2022-05-08 20:00:00,0.6235,0.6257,0.6075,0.6075
2022-05-08 21:00:00,0.6069,0.608,0.587,0.5925
2022-05-08 22:00:00,0.5923,0.6015,0.5895,0.5954
2022-05-08 23:00:00,0.5985,0.6022,0.5968,0.5968
2022-05-09 00:00:00,0.5998,0.5998,0.591,0.5916
2022-05-09 01:00:00,0.5941,0.5944,0.5821,0.5917
2022-05-09 02:00:00,0.5917,0.5946,0.5856,0.5925
2022-05-09 03:00:00,0.59,0.5954,0.5822,0.5954
2022-05-09 04:00:00,0.5943,0.5967,0.5914,0.5926
2022-05-09 05:00:00,0.5906,0.5906,0.5612,0.5648
2022-05-09 06:00:00,0.5658,0.5725,0.5608,0.5712
2022-05-09 07:00:00,0.571,0.5718,0.5644,0.5677
2022-05-09 08:00:00,0.568,0.579,0.5603,0.573
2022-05-09 09:00:00,0.5666,0.5694,0.5611,0.5644
2022-05-09 10:00:00,0.5645,0.5656,0.5502,0.5572
2022-05-09 11:00:00,0.5566,0.5582,0.5225,0.5321
2022-05-09 12:00:00,0.5321,0.5441,0.522,0.536
2022-05-09 13:00:00,0.5331,0.5378,0.5042,0.5242
2022-05-09 14:00:00,0.5257,0.5303,0.5057,0.5183
2022-05-09 15:00:00,0.523,0.5399,0.5216,0.5317
2022-05-09 16:00:00,0.5327,0.5344,0.5151,0.5164
2022-05-09 17:00:00,0.5215,0.5329,0.52,0.522
2022-05-09 18:00:00,0.5258,0.5258,0.4961,0.4979
2022-05-09 19:00:00,0.4995,0.549,0.4819,0.5148
2022-05-09 20:00:00,0.5141,0.5442,0.5116,0.5281
2022-05-09 21:00:00,0.5277,0.5346,0.5202,0.5236
2022-05-09 22:00:00,0.5235,0.5252,0.5129,0.5129
2022-05-09 23:00:00,0.5138,0.5431,0.5106,0.5411
2022-05-10 00:00:00,0.5403,0.5629,0.5403,0.5589
2022-05-10 01:00:00,0.5598,0.5773,0.5595,0.5698
2022-05-10 02:00:00,0.5724,0.5729,0.5535,0.554
2022-05-10 03:00:00,0.5546,0.5726,0.5545,0.5719
2022-05-10 04:00:00,0.5715,0.5724,0.558,0.5596
2022-05-10 05:00:00,0.5605,0.5687,0.5582,0.5617
2022-05-10 06:00:00,0.5618,0.5803,0.5612,0.5774
2022-05-10 07:00:00,0.5794,0.5875,0.5742,0.5875
2022-05-10 08:00:00,0.5838,0.5888,0.5681,0.5725
2022-05-10 09:00:00,0.5782,0.5848,0.553,0.5548
2022-05-10 10:00:00,0.5547,0.5654,0.5431,0.5594
2022-05-10 11:00:00,0.5665,0.569,0.554,0.5566
2022-05-10 12:00:00,0.5636,0.5764,0.5635,0.5737
2022-05-10 13:00:00,0.5689,0.5691,0.5578,0.5584
2022-05-10 14:00:00,0.557,0.5573,0.5469,0.5499
2022-05-10 15:00:00,0.5483,0.5497,0.5357,0.5357
2022-05-10 16:00:00,0.5389,0.5389,0.5121,0.5132
2022-05-10 17:00:00,0.5169,0.5405,0.5169,0.5334
2022-05-10 18:00:00,0.5366,0.5502,0.5366,0.5453
2022-05-10 19:00:00,0.5429,0.56,0.5384,0.5561
2022-05-10 20:00:00,0.5455,0.5565,0.5289,0.5301
2022-05-10 21:00:00,0.5259,0.5552,0.5259,0.5497
2022-05-10 22:00:00,0.5542,0.5542,0.5373,0.5393
2022-05-10 23:00:00,0.5373,0.5398,0.5229,0.5243
2022-05-11 00:00:00,0.5267,0.5468,0.5215,0.524
2022-05-11 01:00:00,0.5253,0.5267,0.482,0.4854
2022-05-11 02:00:00,0.4867,0.4948,0.4663,0.4934
2022-05-11 03:00:00,0.492,0.5084,0.4871,0.5054
2022-05-11 04:00:00,0.5029,0.5121,0.4925,0.5089
2022-05-11 05:00:00,0.5112,0.514,0.4925,0.4925
2022-05-11 06:00:00,0.494,0.494,0.4647,0.4685
2022-05-11 07:00:00,0.4668,0.4814,0.36,0.3802
2022-05-11 08:00:00,0.3802,0.4559,0.3781,0.4403
2022-05-11 09:00:00,0.4403,0.4535,0.4345,0.438
2022-05-11 10:00:00,0.4387,0.4387,0.4103,0.4176
2022-05-11 11:00:00,0.4159,0.4237,0.4006,0.4045
2022-05-11 12:00:00,0.4026,0.4145,0.3989,0.4078
2022-05-11 13:00:00,0.4067,0.4106,0.3986,0.4032
2022-05-11 14:00:00,0.4004,0.4022,0.3895,0.3945
2022-05-11 15:00:00,0.3968,0.4045,0.37,0.3719
2022-05-11 16:00:00,0.3727,0.3978,0.3708,0.3935
2022-05-11 17:00:00,0.3917,0.4024,0.3843,0.3919
2022-05-11 18:00:00,0.3917,0.4011,0.3712,0.3851
2022-05-11 19:00:00,0.3859,0.3978,0.3781,0.3884
2022-05-11 20:00:00,0.3864,0.3939,0.3689,0.3703
2022-05-11 21:00:00,0.3706,0.3728,0.3545,0.3561
2022-05-11 22:00:00,0.3551,0.3577,0.3326,0.335
2022-05-11 23:00:00,0.3334,0.3378,0.3144,0.3207
2022-05-12 00:00:00,0.322,0.327,0.302,0.3093
2022-05-12 01:00:00,0.31,0.3227,0.2987,0.2987
2022-05-12 02:00:00,0.2976,0.3262,0.2603,0.3186
2022-05-12 03:00:00,0.3159,0.3268,0.3123,0.3213
2022-05-12 04:00:00,0.3217,0.3328,0.3148,0.3203
2022-05-12 05:00:00,0.319,0.3406,0.3149,0.3375
2022-05-12 06:00:00,0.3372,0.3444,0.3255,0.3266
2022-05-12 07:00:00,0.3274,0.334,0.3188,0.334
