datetime,YFIBUSD_open,YFIBUSD_high,YFIBUSD_low,YFIBUSD_close
2022-03-23 05:00:00,20123.0,20284.21,20123.0,20284.21
2022-03-23 06:00:00,20284.47,20451.17,20071.55,20181.39
2022-03-23 07:00:00,20196.81,20243.0,20064.77,20238.13
2022-03-23 08:00:00,20251.77,20297.94,20074.95,20183.67
2022-03-23 09:00:00,20190.1,20362.6,20190.1,20349.49
2022-03-23 10:00:00,20361.82,20493.06,20294.59,20442.87
2022-03-23 11:00:00,20490.0,20547.2,20357.61,20447.03
2022-03-23 12:00:00,20424.4,20433.26,20107.29,20116.49
2022-03-23 13:00:00,20190.11,20257.11,20120.18,20208.6
2022-03-23 14:00:00,20193.45,20308.59,20192.61,20192.61
2022-03-23 15:00:00,20215.75,20345.35,20197.82,20197.82
2022-03-23 16:00:00,20197.82,20279.53,20136.0,20279.53
2022-03-23 17:00:00,20237.64,20358.61,20237.64,20358.61
2022-03-23 18:00:00,20321.34,20493.06,20259.73,20493.06
2022-03-23 19:00:00,20470.15,20627.94,20368.72,20541.53
2022-03-23 20:00:00,20494.14,20517.99,20211.87,20362.21
2022-03-23 21:00:00,20326.35,20450.04,20239.14,20448.22
2022-03-23 22:00:00,20424.5,20440.37,20259.64,20259.64
2022-03-23 23:00:00,20260.0,20535.04,20239.14,20407.33
2022-03-24 00:00:00,20376.65,20403.42,20217.83,20403.42
2022-03-24 01:00:00,20403.41,20519.2,20403.41,20453.89
2022-03-24 02:00:00,20475.74,20529.75,20363.62,20506.39
2022-03-24 03:00:00,20527.51,20563.02,20458.51,20535.8
2022-03-24 04:00:00,20534.83,20568.11,20400.0,20491.55
2022-03-24 05:00:00,20408.86,20529.75,20405.28,20488.0
2022-03-24 06:00:00,20461.59,20565.49,20461.59,20542.46
2022-03-24 07:00:00,20536.09,20562.11,20364.46,20390.47
2022-03-24 08:00:00,20445.11,20466.27,20249.21,20455.7
2022-03-24 09:00:00,20466.25,20711.28,20363.62,20711.28
2022-03-24 10:00:00,20711.29,20962.04,20624.65,20862.84
2022-03-24 11:00:00,20889.55,20953.65,20789.09,20806.47
2022-03-24 12:00:00,20817.73,20976.84,20784.09,20881.31
2022-03-24 13:00:00,20899.77,21000.0,20899.67,21000.0
2022-03-24 14:00:00,21000.0,21396.93,21000.0,21275.0
2022-03-24 15:00:00,21250.0,21253.15,21046.95,21139.9
2022-03-24 16:00:00,21110.75,21287.46,21036.0,21257.13
2022-03-24 17:00:00,21271.71,21374.52,21213.25,21226.79
2022-03-24 18:00:00,21243.11,21341.18,21176.21,21217.45
2022-03-24 19:00:00,21200.64,21356.38,21040.41,21208.83
2022-03-24 20:00:00,21176.2,21506.72,21176.2,21453.68
2022-03-24 21:00:00,21487.05,21594.86,21383.96,21429.47
2022-03-24 22:00:00,21425.73,21507.67,21286.9,21286.9
2022-03-24 23:00:00,21318.34,21524.57,21318.34,21405.99
2022-03-25 00:00:00,21470.09,21524.57,21433.68,21463.99
2022-03-25 01:00:00,21478.08,21503.09,21324.25,21324.25
2022-03-25 02:00:00,21343.19,21413.07,21114.87,21143.28
2022-03-25 03:00:00,21110.56,21152.68,20846.02,21030.64
2022-03-25 04:00:00,21030.64,21164.96,20988.59,21122.7
2022-03-25 05:00:00,21112.34,21197.52,21085.91,21163.8
2022-03-25 06:00:00,21204.18,21375.0,21192.14,21351.01
2022-03-25 07:00:00,21359.93,21468.49,21263.04,21456.01
2022-03-25 08:00:00,21421.48,21473.91,21364.56,21380.43
2022-03-25 09:00:00,21380.47,21711.71,21259.84,21670.76
2022-03-25 10:00:00,21624.22,21652.02,20976.92,21016.21
2022-03-25 11:00:00,21063.33,21305.48,20909.85,20909.85
2022-03-25 12:00:00,20932.86,20955.54,20572.78,20684.57
2022-03-25 13:00:00,20665.82,20773.57,20614.87,20730.0
2022-03-25 14:00:00,20712.16,20746.21,20397.15,20517.49
