datetime,SOLBUSD_open,SOLBUSD_high,SOLBUSD_low,SOLBUSD_close
2022-05-11 15:00:00,47.79,49.28,43.03,44.08
2022-05-11 16:00:00,44.04,47.9,43.05,47.01
2022-05-11 17:00:00,47.01,49.68,46.22,47.58
2022-05-11 18:00:00,47.59,50.79,47.37,50.61
2022-05-11 19:00:00,50.64,54.06,49.99,51.96
2022-05-11 20:00:00,51.94,52.63,48.61,48.88
2022-05-11 21:00:00,48.86,52.84,47.8,48.56
2022-05-11 22:00:00,48.55,49.28,44.85,44.91
2022-05-11 23:00:00,44.9,46.68,42.15,43.89
2022-05-12 00:00:00,43.89,44.56,40.11,41.63
2022-05-12 01:00:00,41.63,43.99,39.08,39.18
2022-05-12 02:00:00,39.18,45.78,34.32,43.88
2022-05-12 03:00:00,43.88,44.67,41.93,43.13
2022-05-12 04:00:00,43.11,44.49,42.04,42.18
2022-05-12 05:00:00,42.19,47.29,40.71,44.32
2022-05-12 06:00:00,44.35,46.34,43.34,43.56
2022-05-12 07:00:00,43.53,45.16,42.39,44.66
2022-05-12 08:00:00,44.64,45.62,42.41,43.2
2022-05-12 09:00:00,43.19,47.45,42.72,47.45
2022-05-12 10:00:00,47.45,49.07,44.47,44.51
2022-05-12 11:00:00,44.48,47.92,44.43,47.26
2022-05-12 12:00:00,47.26,47.85,44.67,44.93
2022-05-12 13:00:00,44.91,45.51,43.15,43.78
2022-05-12 14:00:00,43.77,45.37,43.55,44.54
2022-05-12 15:00:00,44.51,45.15,43.74,44.23
2022-05-12 16:00:00,44.2,44.2,41.38,42.49
2022-05-12 17:00:00,42.46,43.43,42.04,43.1
2022-05-12 18:00:00,43.1,45.51,43.1,44.53
2022-05-12 19:00:00,44.48,46.76,43.7,46.49
2022-05-12 20:00:00,46.49,47.32,44.6,44.82
2022-05-12 21:00:00,44.82,47.9,44.71,47.57
2022-05-12 22:00:00,47.61,51.96,47.58,50.29
2022-05-12 23:00:00,50.3,51.98,49.47,50.05
2022-05-13 00:00:00,50.08,53.77,49.7,52.22
2022-05-13 01:00:00,52.15,52.96,51.0,51.5
2022-05-13 02:00:00,51.48,51.79,48.74,48.96
2022-05-13 03:00:00,48.96,51.63,48.95,51.31
2022-05-13 04:00:00,51.32,52.56,50.41,50.94
2022-05-13 05:00:00,50.95,52.9,50.21,52.38
2022-05-13 06:00:00,52.36,53.2,51.07,53.12
2022-05-13 07:00:00,53.13,53.96,52.24,53.16
2022-05-13 08:00:00,53.16,54.98,51.85,54.72
2022-05-13 09:00:00,54.71,56.4,54.32,54.68
2022-05-13 10:00:00,54.68,54.99,52.62,53.0
2022-05-13 11:00:00,53.03,54.14,51.05,51.53
2022-05-13 12:00:00,51.51,53.41,49.92,49.99
2022-05-13 13:00:00,49.98,51.97,49.6,51.74
2022-05-13 14:00:00,51.76,51.85,50.71,51.41
2022-05-13 15:00:00,51.44,51.84,50.24,50.4
2022-05-13 16:00:00,50.41,51.27,50.12,51.06
2022-05-13 17:00:00,51.06,51.58,49.96,50.03
2022-05-13 18:00:00,50.04,50.28,48.15,48.82
2022-05-13 19:00:00,48.83,51.11,48.48,51.1
2022-05-13 20:00:00,51.07,51.63,50.14,51.04
2022-05-13 21:00:00,51.04,53.79,50.29,52.46
2022-05-13 22:00:00,52.47,53.2,51.42,51.63
2022-05-13 23:00:00,51.61,53.26,50.95,51.47
2022-05-14 00:00:00,51.47,52.29,51.11,51.77
2022-05-14 01:00:00,51.78,52.29,50.63,51.71
2022-05-14 02:00:00,51.71,52.14,50.44,50.64
2022-05-14 03:00:00,50.66,51.45,50.21,50.92
2022-05-14 04:00:00,50.92,51.15,49.67,49.98
2022-05-14 05:00:00,49.98,49.99,48.28,48.66
2022-05-14 06:00:00,48.67,49.28,47.29,47.93
2022-05-14 07:00:00,47.93,49.07,47.63,47.8
2022-05-14 08:00:00,47.81,48.23,46.69,46.78
2022-05-14 09:00:00,46.79,47.01,46.06,46.73
2022-05-14 10:00:00,46.73,47.48,46.04,46.37
2022-05-14 11:00:00,46.38,48.85,45.78,47.76
2022-05-14 12:00:00,47.78,48.9,47.27,48.71
2022-05-14 13:00:00,48.74,50.66,48.4,49.14
2022-05-14 14:00:00,49.15,49.91,48.58,49.31
2022-05-14 15:00:00,49.32,50.71,49.25,49.82
2022-05-14 16:00:00,49.83,52.19,49.68,50.94
2022-05-14 17:00:00,50.94,52.45,50.69,52.18
2022-05-14 18:00:00,52.19,52.88,51.53,52.34
