datetime,AAVEUSD_open,AAVEUSD_high,AAVEUSD_low,AAVEUSD_close
2022-01-19 05:00:00,225.73,227.55,225.11,226.87
2022-01-19 06:00:00,226.93,227.54,224.28,224.28
2022-01-19 07:00:00,224.28,224.64,215.47,217.7
2022-01-19 08:00:00,217.71,217.71,212.69,214.11
2022-01-19 09:00:00,213.61,216.08,213.43,215.44
2022-01-19 10:00:00,215.43,215.79,212.54,213.89
2022-01-19 11:00:00,214.21,217.77,213.74,217.74
2022-01-19 12:00:00,217.66,218.69,215.76,216.69
2022-01-19 13:00:00,216.42,218.71,215.85,216.96
2022-01-19 14:00:00,216.96,222.04,215.76,221.27
2022-01-19 15:00:00,220.93,221.43,214.83,216.77
2022-01-19 16:00:00,216.68,217.8,213.73,215.58
2022-01-19 17:00:00,215.57,218.25,215.49,217.87
2022-01-19 18:00:00,217.91,217.92,215.48,216.29
2022-01-19 19:00:00,216.34,216.76,214.32,214.98
2022-01-19 20:00:00,215.05,215.58,211.83,212.79
2022-01-19 21:00:00,212.8,214.66,212.42,212.42
2022-01-19 22:00:00,212.62,214.69,210.59,214.05
2022-01-19 23:00:00,214.0,214.39,210.0,210.15
2022-01-20 00:00:00,210.29,213.16,209.74,211.96
2022-01-20 01:00:00,211.73,212.5,210.07,212.5
2022-01-20 02:00:00,212.6,219.39,211.84,214.04
2022-01-20 03:00:00,213.81,214.5,213.0,213.68
2022-01-20 04:00:00,214.06,214.32,212.85,213.92
2022-01-20 05:00:00,214.26,214.44,212.88,213.74
2022-01-20 06:00:00,213.79,215.49,213.79,215.03
2022-01-20 07:00:00,215.02,216.09,214.65,215.74
2022-01-20 08:00:00,215.86,215.89,213.64,214.28
2022-01-20 09:00:00,214.37,215.14,212.37,214.5
2022-01-20 10:00:00,214.78,215.05,213.75,214.37
2022-01-20 11:00:00,214.27,215.1,213.72,214.27
2022-01-20 12:00:00,214.22,214.22,211.85,212.6
2022-01-20 13:00:00,212.82,215.91,212.7,215.82
2022-01-20 14:00:00,215.86,219.88,215.6,219.67
2022-01-20 15:00:00,219.51,221.34,218.7,219.86
2022-01-20 16:00:00,219.96,220.49,218.47,219.23
2022-01-20 17:00:00,219.11,219.39,216.84,217.33
2022-01-20 18:00:00,217.22,217.77,216.31,216.31
2022-01-20 19:00:00,216.3,217.71,215.27,215.72
