datetime,QUICKUSD_open,QUICKUSD_high,QUICKUSD_low,QUICKUSD_close
2022-04-28 23:00:00,161.63,162.12,159.55,160.18
2022-04-29 00:00:00,160.16,161.08,160.15,160.47
2022-04-29 01:00:00,160.47,160.84,160.12,160.4
2022-04-29 02:00:00,160.16,160.16,158.85,159.31
2022-04-29 03:00:00,159.31,159.95,158.37,158.61
2022-04-29 04:00:00,158.61,159.28,158.51,158.71
2022-04-29 05:00:00,158.75,163.04,158.74,161.8
2022-04-29 06:00:00,162.32,171.09,162.31,167.0
2022-04-29 07:00:00,167.32,182.29,166.33,174.28
2022-04-29 08:00:00,174.01,180.06,170.33,170.33
2022-04-29 09:00:00,170.55,170.76,167.68,168.19
2022-04-29 10:00:00,168.26,168.43,164.5,167.45
2022-04-29 11:00:00,167.16,175.25,166.51,166.51
2022-04-29 12:00:00,166.58,169.97,166.53,169.97
2022-04-29 13:00:00,170.44,172.66,170.05,172.46
2022-04-29 14:00:00,172.32,173.8,166.28,166.4
2022-04-29 15:00:00,166.59,166.63,163.68,164.5
2022-04-29 16:00:00,164.43,164.44,162.68,162.73
2022-04-29 17:00:00,162.44,166.69,162.28,166.15
2022-04-29 18:00:00,165.81,169.71,164.6,166.8
2022-04-29 19:00:00,166.33,167.32,162.78,164.85
2022-04-29 20:00:00,164.6,178.61,164.55,178.61
2022-04-29 21:00:00,178.59,214.83,178.59,206.0
2022-04-29 22:00:00,208.33,208.33,184.05,190.01
2022-04-29 23:00:00,190.02,196.43,184.93,186.0
2022-04-30 00:00:00,185.7,187.58,179.0,181.25
2022-04-30 01:00:00,181.42,188.99,177.61,188.87
2022-04-30 02:00:00,187.73,191.36,183.02,183.82
2022-04-30 03:00:00,184.33,184.53,178.96,180.3
2022-04-30 04:00:00,180.81,186.48,180.78,182.1
2022-04-30 05:00:00,182.2,184.06,180.75,181.73
2022-04-30 06:00:00,181.82,198.63,181.79,195.44
2022-04-30 07:00:00,195.41,201.58,190.78,191.47
2022-04-30 08:00:00,191.38,209.78,188.97,202.14
2022-04-30 09:00:00,202.19,204.38,192.33,195.03
2022-04-30 10:00:00,195.4,200.71,192.89,194.22
2022-04-30 11:00:00,194.55,202.8,192.64,202.05
2022-04-30 12:00:00,202.17,202.34,193.73,196.23
2022-04-30 13:00:00,196.13,197.76,189.56,189.72
2022-04-30 14:00:00,189.55,190.03,182.38,182.38
2022-04-30 15:00:00,182.38,192.7,179.9,189.3
2022-04-30 16:00:00,189.14,199.22,188.24,192.23
2022-04-30 17:00:00,191.89,197.59,184.97,186.37
2022-04-30 18:00:00,186.78,188.48,184.18,187.28
2022-04-30 19:00:00,186.83,187.26,183.86,186.58
2022-04-30 20:00:00,186.59,189.81,186.17,186.21
2022-04-30 21:00:00,186.11,187.0,183.69,183.69
2022-04-30 22:00:00,184.21,185.42,181.62,185.1
2022-04-30 23:00:00,184.62,185.01,173.61,176.51
2022-05-01 00:00:00,176.49,176.58,173.45,174.07
2022-05-01 01:00:00,173.92,180.34,173.36,179.31
2022-05-01 02:00:00,180.13,182.02,177.84,177.84
2022-05-01 03:00:00,178.96,181.78,176.89,181.74
2022-05-01 04:00:00,181.74,182.28,175.85,176.43
2022-05-01 05:00:00,176.39,182.53,176.16,181.38
2022-05-01 06:00:00,181.94,183.11,180.88,181.64
2022-05-01 07:00:00,181.61,181.98,180.66,181.16
2022-05-01 08:00:00,180.7,183.15,180.7,181.92
2022-05-01 09:00:00,181.95,184.77,181.41,184.37
2022-05-01 10:00:00,184.48,188.48,183.92,185.64
2022-05-01 11:00:00,185.6,186.39,184.02,184.33
2022-05-01 12:00:00,184.41,185.4,183.67,185.4
2022-05-01 13:00:00,185.41,188.87,184.75,187.72
2022-05-01 14:00:00,188.1,188.24,184.05,184.26
2022-05-01 15:00:00,184.38,188.48,184.1,186.7
2022-05-01 16:00:00,186.84,186.84,184.44,184.66
2022-05-01 17:00:00,184.74,186.25,180.96,181.14
2022-05-01 18:00:00,180.88,180.88,175.6,175.76
2022-05-01 19:00:00,176.39,179.07,171.36,173.27
2022-05-01 20:00:00,172.33,177.0,172.33,177.0
2022-05-01 21:00:00,175.43,177.01,173.72,174.49
2022-05-01 22:00:00,174.5,176.75,174.11,174.11
2022-05-01 23:00:00,174.5,178.16,174.36,176.9
2022-05-02 00:00:00,176.91,181.57,176.38,181.43
2022-05-02 01:00:00,181.2,181.4,178.29,180.42
2022-05-02 02:00:00,180.2,180.42,179.86,180.35
2022-05-02 03:00:00,180.4,181.75,180.2,181.29
2022-05-02 04:00:00,181.19,182.8,181.19,182.8
2022-05-02 05:00:00,182.8,184.95,182.78,184.38
2022-05-02 06:00:00,184.18,184.7,180.9,181.47
2022-05-02 07:00:00,181.48,181.97,180.11,180.11
2022-05-02 08:00:00,180.3,181.04,176.74,177.71
2022-05-02 09:00:00,177.02,179.63,173.27,175.23
2022-05-02 10:00:00,173.87,175.07,172.53,172.64
2022-05-02 11:00:00,173.8,173.8,169.79,170.23
2022-05-02 12:00:00,169.91,172.17,168.91,172.03
2022-05-02 13:00:00,172.06,173.16,169.11,172.56
2022-05-02 14:00:00,172.7,173.57,169.94,170.91
2022-05-02 15:00:00,170.96,171.65,170.62,171.64
2022-05-02 16:00:00,171.07,171.57,169.2,169.2
2022-05-02 17:00:00,169.01,169.23,167.42,168.41
2022-05-02 18:00:00,168.75,169.75,167.47,169.0
2022-05-02 19:00:00,168.99,170.8,168.5,170.32
2022-05-02 20:00:00,170.41,170.64,169.12,169.33
2022-05-02 21:00:00,169.34,171.56,168.76,171.55
2022-05-02 22:00:00,171.13,172.51,170.04,171.26
2022-05-02 23:00:00,171.68,172.3,171.07,171.65
2022-05-03 00:00:00,171.68,171.71,170.97,171.36
2022-05-03 01:00:00,171.36,171.92,170.75,171.92
2022-05-03 02:00:00,171.92,171.92,170.45,171.08
2022-05-03 03:00:00,171.21,174.36,170.88,172.8
2022-05-03 04:00:00,172.69,173.31,172.14,172.95
2022-05-03 05:00:00,172.38,173.91,172.23,173.33
2022-05-03 06:00:00,173.66,174.09,172.47,173.58
2022-05-03 07:00:00,173.54,173.78,172.78,173.78
2022-05-03 08:00:00,173.61,174.54,172.86,173.17
2022-05-03 09:00:00,173.22,173.77,171.34,171.34
2022-05-03 10:00:00,171.34,171.6,169.19,169.54
2022-05-03 11:00:00,169.72,171.32,169.53,171.08
2022-05-03 12:00:00,171.17,171.49,170.36,170.89
2022-05-03 13:00:00,170.86,170.86,169.94,170.15
2022-05-03 14:00:00,170.63,170.72,169.93,170.4
2022-05-03 15:00:00,170.4,172.39,170.26,172.38
2022-05-03 16:00:00,172.37,172.37,166.73,166.77
2022-05-03 17:00:00,167.26,168.57,166.58,166.58
2022-05-03 18:00:00,166.58,166.58,164.5,165.27
2022-05-03 19:00:00,165.27,165.27,163.55,164.57
2022-05-03 20:00:00,164.39,166.1,163.03,164.21
2022-05-03 21:00:00,164.63,167.43,163.5,164.27
2022-05-03 22:00:00,164.62,165.58,162.96,163.77
2022-05-03 23:00:00,163.34,163.9,161.49,162.2
2022-05-04 00:00:00,162.45,163.41,162.26,163.35
2022-05-04 01:00:00,163.64,164.37,163.23,163.88
2022-05-04 02:00:00,163.47,164.94,163.44,163.44
2022-05-04 03:00:00,163.05,163.24,162.13,162.13
2022-05-04 04:00:00,161.68,161.68,159.65,160.66
2022-05-04 05:00:00,160.8,160.8,159.63,159.63
2022-05-04 06:00:00,159.98,161.59,159.98,161.55
2022-05-04 07:00:00,161.34,162.87,161.13,162.85
2022-05-04 08:00:00,163.36,165.7,162.8,165.7
2022-05-04 09:00:00,165.62,165.62,164.1,164.1
2022-05-04 10:00:00,163.59,164.03,161.93,164.03
2022-05-04 11:00:00,163.94,164.0,162.25,162.73
2022-05-04 12:00:00,162.78,162.78,160.39,162.24
2022-05-04 13:00:00,162.14,162.43,160.14,160.42
2022-05-04 14:00:00,160.07,161.81,158.99,159.63
2022-05-04 15:00:00,159.19,159.72,157.31,158.94
2022-05-04 16:00:00,158.94,161.31,158.9,161.25
2022-05-04 17:00:00,161.29,161.41,159.79,161.05
2022-05-04 18:00:00,160.95,167.57,160.34,167.57
2022-05-04 19:00:00,166.37,168.6,165.0,166.05
2022-05-04 20:00:00,166.02,168.85,165.83,167.68
2022-05-04 21:00:00,167.71,170.0,167.71,168.29
2022-05-04 22:00:00,168.2,168.22,167.36,167.91
2022-05-04 23:00:00,167.51,168.51,167.05,168.01
2022-05-05 00:00:00,168.48,170.1,168.0,169.52
2022-05-05 01:00:00,170.19,170.2,169.18,169.29
2022-05-05 02:00:00,169.48,169.79,168.76,169.79
2022-05-05 03:00:00,169.34,169.72,168.1,168.17
2022-05-05 04:00:00,168.18,169.03,167.36,167.69
2022-05-05 05:00:00,167.9,168.22,165.89,165.89
2022-05-05 06:00:00,165.89,167.23,165.89,166.73
2022-05-05 07:00:00,166.67,167.22,166.23,166.44
2022-05-05 08:00:00,166.33,167.17,164.27,164.5
2022-05-05 09:00:00,164.5,165.22,162.96,164.69
2022-05-05 10:00:00,164.38,164.89,163.59,163.73
2022-05-05 11:00:00,163.72,164.58,161.64,161.64
2022-05-05 12:00:00,161.78,162.56,161.45,161.66
2022-05-05 13:00:00,161.89,162.09,159.11,159.11
2022-05-05 14:00:00,159.11,161.65,156.46,156.92
2022-05-05 15:00:00,156.82,156.82,151.0,152.61
2022-05-05 16:00:00,153.2,156.22,152.16,155.98
2022-05-05 17:00:00,155.74,156.97,151.0,151.0
2022-05-05 18:00:00,151.01,151.3,148.95,150.82
2022-05-05 19:00:00,150.78,151.45,147.55,151.45
2022-05-05 20:00:00,151.15,151.77,150.27,151.77
2022-05-05 21:00:00,151.77,152.37,150.91,151.75
2022-05-05 22:00:00,151.37,151.75,150.55,150.58
2022-05-05 23:00:00,150.66,152.89,150.66,152.02
2022-05-06 00:00:00,152.28,152.28,150.13,150.47
2022-05-06 01:00:00,150.48,150.48,149.29,149.44
2022-05-06 02:00:00,149.5,152.45,149.5,152.44
2022-05-06 03:00:00,152.44,152.44,150.37,150.66
2022-05-06 04:00:00,151.01,155.43,149.56,155.43
