datetime,ETHUSD_open,ETHUSD_high,ETHUSD_low,ETHUSD_close
2022-01-10 18:00:00,3012.81,3059.41,3003.32,3043.22
2022-01-10 19:00:00,3042.99,3057.06,3020.32,3030.02
2022-01-10 20:00:00,3030.21,3088.98,3019.6,3081.93
2022-01-10 21:00:00,3082.81,3097.15,3069.3,3074.99
2022-01-10 22:00:00,3075.14,3085.92,3057.44,3063.63
2022-01-10 23:00:00,3063.98,3088.0,3055.0,3083.51
2022-01-11 00:00:00,3083.51,3088.0,3055.0,3055.74
2022-01-11 01:00:00,3055.76,3091.85,3052.19,3091.82
2022-01-11 02:00:00,3092.07,3129.69,3086.97,3116.07
2022-01-11 03:00:00,3115.95,3124.75,3107.53,3121.31
2022-01-11 04:00:00,3121.29,3126.0,3107.48,3119.23
2022-01-11 05:00:00,3119.56,3120.95,3101.79,3111.8
2022-01-11 06:00:00,3111.79,3123.85,3097.92,3108.31
2022-01-11 07:00:00,3108.31,3135.99,3106.96,3129.23
2022-01-11 08:00:00,3128.81,3145.91,3104.91,3107.63
2022-01-11 09:00:00,3107.54,3134.23,3097.47,3123.17
2022-01-11 10:00:00,3123.23,3133.28,3089.07,3094.7
2022-01-11 11:00:00,3094.41,3121.26,3092.79,3111.89
2022-01-11 12:00:00,3111.39,3136.71,3105.04,3121.89
2022-01-11 13:00:00,3121.89,3132.37,3107.48,3113.89
2022-01-11 14:00:00,3113.85,3123.64,3075.37,3116.25
2022-01-11 15:00:00,3116.19,3156.99,3111.47,3133.92
2022-01-11 16:00:00,3133.93,3237.81,3130.26,3220.69
2022-01-11 17:00:00,3220.27,3265.98,3203.23,3233.08
2022-01-11 18:00:00,3233.03,3252.9,3222.29,3234.87
2022-01-11 19:00:00,3234.87,3247.25,3217.66,3238.66
2022-01-11 20:00:00,3238.71,3250.67,3233.88,3241.0
2022-01-11 21:00:00,3241.0,3243.9,3227.44,3232.23
2022-01-11 22:00:00,3232.17,3238.52,3225.0,3233.0
2022-01-11 23:00:00,3232.99,3249.98,3229.44,3240.83
2022-01-12 00:00:00,3240.83,3261.48,3225.03,3234.82
2022-01-12 01:00:00,3234.12,3242.14,3219.52,3232.4
2022-01-12 02:00:00,3231.82,3238.98,3218.67,3229.7
2022-01-12 03:00:00,3229.99,3241.17,3225.59,3236.1
2022-01-12 04:00:00,3235.98,3244.51,3220.8,3228.52
2022-01-12 05:00:00,3228.32,3234.3,3222.2,3231.03
2022-01-12 06:00:00,3231.17,3262.5,3227.01,3236.56
2022-01-12 07:00:00,3236.55,3240.55,3206.72,3218.21
2022-01-12 08:00:00,3217.97,3241.77,3215.33,3232.72
2022-01-12 09:00:00,3232.71,3277.1,3229.78,3262.3
2022-01-12 10:00:00,3262.7,3272.93,3246.23,3248.74
2022-01-12 11:00:00,3248.74,3296.23,3240.51,3273.7
2022-01-12 12:00:00,3273.7,3327.63,3270.13,3317.95
2022-01-12 13:00:00,3318.03,3379.97,3301.8,3372.11
2022-01-12 14:00:00,3371.9,3385.11,3351.11,3377.65
2022-01-12 15:00:00,3377.65,3390.46,3352.18,3362.63
2022-01-12 16:00:00,3362.92,3374.19,3337.2,3370.88
2022-01-12 17:00:00,3370.88,3389.87,3360.89,3382.29
2022-01-12 18:00:00,3382.82,3394.05,3367.48,3373.67
2022-01-12 19:00:00,3373.67,3386.04,3363.1,3383.55
2022-01-12 20:00:00,3383.55,3394.9,3367.38,3383.01
2022-01-12 21:00:00,3383.57,3420.08,3367.19,3368.25
2022-01-12 22:00:00,3368.19,3380.67,3362.17,3362.84
2022-01-12 23:00:00,3362.84,3381.06,3353.0,3373.64
2022-01-13 00:00:00,3373.25,3385.62,3350.31,3355.4
2022-01-13 01:00:00,3355.61,3364.0,3331.0,3334.38
2022-01-13 02:00:00,3334.73,3349.0,3330.11,3336.35
2022-01-13 03:00:00,3336.1,3342.4,3316.14,3340.49
2022-01-13 04:00:00,3340.5,3354.96,3336.48,3338.64
2022-01-13 05:00:00,3338.36,3345.43,3325.43,3338.69
2022-01-13 06:00:00,3338.73,3346.7,3336.73,3342.66
2022-01-13 07:00:00,3342.61,3350.09,3334.01,3342.39
2022-01-13 08:00:00,3342.39,3359.87,3338.4,3359.53
2022-01-13 09:00:00,3359.14,3378.39,3349.43,3362.41
2022-01-13 10:00:00,3363.44,3380.65,3357.12,3357.97
2022-01-13 11:00:00,3357.97,3362.06,3330.79,3336.2
2022-01-13 12:00:00,3336.1,3369.94,3334.54,3369.17
2022-01-13 13:00:00,3369.18,3380.06,3353.34,3375.28
2022-01-13 14:00:00,3375.27,3413.36,3366.15,3388.16
