datetime,KP3RBUSD_open,KP3RBUSD_high,KP3RBUSD_low,KP3RBUSD_close
2022-02-28 18:00:00,678.0,688.66,675.98,688.35
2022-02-28 19:00:00,688.27,727.09,686.82,721.4
2022-02-28 20:00:00,721.4,725.77,703.73,709.34
2022-02-28 21:00:00,709.5,718.12,692.29,708.17
2022-02-28 22:00:00,708.54,717.0,695.58,708.0
2022-02-28 23:00:00,708.01,708.01,698.21,705.6
2022-03-01 00:00:00,706.0,717.74,697.65,708.35
2022-03-01 01:00:00,707.78,710.0,697.24,703.2
2022-03-01 02:00:00,703.51,707.54,703.02,705.73
2022-03-01 03:00:00,705.67,707.74,684.14,694.91
2022-03-01 04:00:00,694.13,696.22,676.5,682.76
2022-03-01 05:00:00,682.37,690.57,665.98,690.24
2022-03-01 06:00:00,690.17,694.06,680.99,688.55
2022-03-01 07:00:00,688.17,706.72,683.77,698.2
2022-03-01 08:00:00,698.2,705.66,689.16,697.33
2022-03-01 09:00:00,696.03,702.25,674.36,678.56
2022-03-01 10:00:00,682.46,690.9,667.0,678.33
2022-03-01 11:00:00,678.29,684.83,668.12,669.0
2022-03-01 12:00:00,670.28,680.54,670.28,674.39
2022-03-01 13:00:00,673.92,683.53,670.07,676.55
2022-03-01 14:00:00,675.92,684.1,673.74,675.95
2022-03-01 15:00:00,675.95,683.0,674.83,679.48
2022-03-01 16:00:00,680.64,683.99,676.24,680.98
2022-03-01 17:00:00,680.82,683.31,673.0,682.43
2022-03-01 18:00:00,679.69,682.47,676.99,679.0
2022-03-01 19:00:00,679.47,682.39,661.03,673.86
2022-03-01 20:00:00,673.86,677.0,663.0,671.39
2022-03-01 21:00:00,670.01,673.45,667.16,672.56
2022-03-01 22:00:00,671.62,684.03,670.3,681.31
2022-03-01 23:00:00,680.01,684.04,672.47,673.34
2022-03-02 00:00:00,674.52,677.69,672.42,675.05
2022-03-02 01:00:00,675.18,676.69,665.44,666.96
2022-03-02 02:00:00,667.01,669.11,660.7,667.0
2022-03-02 03:00:00,667.75,673.71,662.57,665.24
2022-03-02 04:00:00,664.48,671.6,663.64,667.65
2022-03-02 05:00:00,667.64,675.51,665.44,671.49
2022-03-02 06:00:00,670.9,675.24,667.86,675.23
2022-03-02 07:00:00,675.24,682.99,673.52,676.69
2022-03-02 08:00:00,676.93,679.64,648.0,655.86
2022-03-02 09:00:00,655.71,673.99,655.71,670.09
2022-03-02 10:00:00,670.57,676.69,658.0,661.45
2022-03-02 11:00:00,661.45,667.16,660.35,663.94
2022-03-02 12:00:00,663.11,668.26,658.24,659.7
2022-03-02 13:00:00,660.27,662.93,649.5,650.91
2022-03-02 14:00:00,650.91,656.97,644.65,651.02
2022-03-02 15:00:00,650.45,659.26,649.17,657.88
2022-03-02 16:00:00,655.89,666.55,652.0,666.49
2022-03-02 17:00:00,666.79,669.11,661.28,661.97
2022-03-02 18:00:00,663.56,669.69,654.13,658.82
2022-03-02 19:00:00,659.42,663.89,655.19,662.53
2022-03-02 20:00:00,662.65,663.71,655.62,657.77
2022-03-02 21:00:00,657.63,657.9,651.0,653.22
2022-03-02 22:00:00,653.22,653.34,641.61,645.2
2022-03-02 23:00:00,644.93,648.84,642.77,645.51
2022-03-03 00:00:00,646.17,647.85,642.0,643.45
2022-03-03 01:00:00,644.07,650.0,638.09,648.73
2022-03-03 02:00:00,649.87,653.13,646.54,648.22
2022-03-03 03:00:00,649.28,650.0,641.0,641.81
2022-03-03 04:00:00,641.94,642.93,635.4,638.45
2022-03-03 05:00:00,639.19,647.61,636.0,645.5
2022-03-03 06:00:00,645.23,648.8,641.78,641.85
2022-03-03 07:00:00,641.85,649.47,639.64,640.97
