datetime,IOTXUSD_open,IOTXUSD_high,IOTXUSD_low,IOTXUSD_close
2022-03-20 14:00:00,0.09785,0.09798,0.09709,0.09714
2022-03-20 15:00:00,0.09743,0.09743,0.09618,0.09639
2022-03-20 16:00:00,0.09639,0.09639,0.09516,0.09534
2022-03-20 17:00:00,0.09516,0.09543,0.09442,0.09442
2022-03-20 18:00:00,0.09442,0.09643,0.093,0.09468
2022-03-20 19:00:00,0.09468,0.09626,0.09444,0.0959
2022-03-20 20:00:00,0.09612,0.09683,0.09575,0.09654
2022-03-20 21:00:00,0.09656,0.09697,0.09656,0.09691
2022-03-20 22:00:00,0.09667,0.09696,0.09561,0.09643
2022-03-20 23:00:00,0.09666,0.09667,0.09553,0.09553
2022-03-21 00:00:00,0.09556,0.09586,0.09414,0.0947
2022-03-21 01:00:00,0.09462,0.09482,0.09401,0.09418
2022-03-21 02:00:00,0.09403,0.09422,0.09257,0.09264
2022-03-21 03:00:00,0.09264,0.09327,0.09246,0.09263
2022-03-21 04:00:00,0.09281,0.09385,0.09259,0.09383
2022-03-21 05:00:00,0.09364,0.09387,0.09283,0.09341
2022-03-21 06:00:00,0.09361,0.0947,0.09336,0.09342
2022-03-21 07:00:00,0.09359,0.0945,0.09345,0.09402
2022-03-21 08:00:00,0.09411,0.09468,0.09383,0.09401
2022-03-21 09:00:00,0.094,0.09434,0.094,0.09412
2022-03-21 10:00:00,0.09436,0.09574,0.09411,0.09507
2022-03-21 11:00:00,0.09511,0.09544,0.09424,0.09428
2022-03-21 12:00:00,0.09436,0.0949,0.09353,0.09464
2022-03-21 13:00:00,0.09435,0.09523,0.09411,0.09502
2022-03-21 14:00:00,0.09502,0.09553,0.09383,0.09438
2022-03-21 15:00:00,0.09418,0.09583,0.0934,0.0957
2022-03-21 16:00:00,0.09574,0.09655,0.0945,0.0947
2022-03-21 17:00:00,0.0945,0.09482,0.0941,0.09456
2022-03-21 18:00:00,0.09456,0.09511,0.09304,0.0938
2022-03-21 19:00:00,0.09358,0.09404,0.093,0.09303
2022-03-21 20:00:00,0.09304,0.09335,0.09257,0.09298
2022-03-21 21:00:00,0.09283,0.09407,0.09281,0.09357
2022-03-21 22:00:00,0.09349,0.09401,0.09295,0.09321
2022-03-21 23:00:00,0.0934,0.09404,0.09322,0.09345
2022-03-22 00:00:00,0.09343,0.09526,0.09331,0.09447
2022-03-22 01:00:00,0.09429,0.09496,0.09387,0.09441
2022-03-22 02:00:00,0.09424,0.09538,0.09369,0.09479
2022-03-22 03:00:00,0.09483,0.0952,0.0945,0.09453
2022-03-22 04:00:00,0.09455,0.09605,0.0945,0.09586
2022-03-22 05:00:00,0.09561,0.10506,0.09551,0.10497
2022-03-22 06:00:00,0.10485,0.11086,0.1026,0.10739
2022-03-22 07:00:00,0.10718,0.10967,0.1055,0.10646
2022-03-22 08:00:00,0.10637,0.10637,0.10406,0.10487
2022-03-22 09:00:00,0.10469,0.10884,0.10368,0.10632
2022-03-22 10:00:00,0.10637,0.10724,0.10465,0.10465
2022-03-22 11:00:00,0.10507,0.1083,0.10468,0.10656
2022-03-22 12:00:00,0.10684,0.10883,0.10521,0.108
2022-03-22 13:00:00,0.10773,0.10997,0.10458,0.10558
2022-03-22 14:00:00,0.10578,0.10701,0.10403,0.10608
2022-03-22 15:00:00,0.10596,0.10663,0.1033,0.10481
2022-03-22 16:00:00,0.10451,0.10489,0.10064,0.10073
2022-03-22 17:00:00,0.10081,0.10198,0.09983,0.1007
2022-03-22 18:00:00,0.10038,0.10219,0.10031,0.10161
2022-03-22 19:00:00,0.10159,0.10236,0.10076,0.10192
2022-03-22 20:00:00,0.10181,0.10185,0.10037,0.10105
2022-03-22 21:00:00,0.10115,0.10413,0.1007,0.1023
2022-03-22 22:00:00,0.10231,0.10396,0.10149,0.10272
2022-03-22 23:00:00,0.10272,0.1044,0.1014,0.104
2022-03-23 00:00:00,0.104,0.10457,0.10084,0.10102
2022-03-23 01:00:00,0.10085,0.10102,0.09871,0.10018
2022-03-23 02:00:00,0.10018,0.10364,0.09978,0.10172
2022-03-23 03:00:00,0.10172,0.10253,0.1,0.10052
2022-03-23 04:00:00,0.10069,0.10117,0.1,0.1006
2022-03-23 05:00:00,0.1006,0.1006,0.09828,0.09912
2022-03-23 06:00:00,0.09929,0.10078,0.09901,0.10024
2022-03-23 07:00:00,0.10024,0.10376,0.10009,0.10131
2022-03-23 08:00:00,0.10131,0.10366,0.1006,0.10083
2022-03-23 09:00:00,0.10095,0.10311,0.10059,0.10144
2022-03-23 10:00:00,0.10166,0.10307,0.10078,0.10215
2022-03-23 11:00:00,0.10242,0.11,0.1021,0.10406
2022-03-23 12:00:00,0.10407,0.1049,0.1006,0.10141
2022-03-23 13:00:00,0.10126,0.10258,0.10058,0.1021
2022-03-23 14:00:00,0.10202,0.10301,0.1008,0.10102
