datetime,MATICUSD_open,MATICUSD_high,MATICUSD_low,MATICUSD_close
2022-03-20 08:00:00,1.5149,1.5202,1.5111,1.5125
2022-03-20 09:00:00,1.5122,1.5152,1.4904,1.5014
2022-03-20 10:00:00,1.5012,1.5032,1.4913,1.497
2022-03-20 11:00:00,1.4971,1.4994,1.4822,1.4838
2022-03-20 12:00:00,1.4845,1.4879,1.4731,1.4825
2022-03-20 13:00:00,1.4825,1.4859,1.4758,1.4795
2022-03-20 14:00:00,1.4796,1.4878,1.475,1.4774
2022-03-20 15:00:00,1.4767,1.4826,1.4668,1.4703
2022-03-20 16:00:00,1.4702,1.4814,1.4648,1.4723
2022-03-20 17:00:00,1.472,1.4765,1.4592,1.4655
2022-03-20 18:00:00,1.4641,1.4722,1.4615,1.4701
2022-03-20 19:00:00,1.4705,1.4826,1.468,1.4821
2022-03-20 20:00:00,1.4822,1.4939,1.474,1.4764
2022-03-20 21:00:00,1.4747,1.4879,1.4715,1.4839
2022-03-20 22:00:00,1.4839,1.4853,1.4711,1.4808
2022-03-20 23:00:00,1.4803,1.4803,1.462,1.4658
2022-03-21 00:00:00,1.466,1.4709,1.4542,1.4664
2022-03-21 01:00:00,1.4667,1.472,1.4602,1.4641
2022-03-21 02:00:00,1.4638,1.4686,1.4426,1.4519
2022-03-21 03:00:00,1.4513,1.4603,1.4485,1.4574
2022-03-21 04:00:00,1.4571,1.4596,1.4518,1.458
2022-03-21 05:00:00,1.4579,1.468,1.4562,1.4668
2022-03-21 06:00:00,1.467,1.4725,1.4614,1.4655
2022-03-21 07:00:00,1.4654,1.4804,1.4623,1.4798
2022-03-21 08:00:00,1.4802,1.4859,1.4766,1.478
2022-03-21 09:00:00,1.4784,1.4876,1.472,1.4865
2022-03-21 10:00:00,1.4871,1.4898,1.4795,1.4832
2022-03-21 11:00:00,1.4831,1.4944,1.4818,1.4856
2022-03-21 12:00:00,1.4856,1.4881,1.4682,1.4831
2022-03-21 13:00:00,1.483,1.4994,1.48,1.48
2022-03-21 14:00:00,1.4802,1.4877,1.4701,1.4791
2022-03-21 15:00:00,1.4788,1.4813,1.4696,1.4794
2022-03-21 16:00:00,1.4792,1.4806,1.4576,1.4587
2022-03-21 17:00:00,1.4582,1.4672,1.4545,1.4671
2022-03-21 18:00:00,1.4672,1.4697,1.4604,1.4612
2022-03-21 19:00:00,1.4614,1.4651,1.4555,1.4639
2022-03-21 20:00:00,1.4635,1.4672,1.4624,1.463
2022-03-21 21:00:00,1.4629,1.47,1.4608,1.4698
2022-03-21 22:00:00,1.4699,1.4723,1.4661,1.4693
2022-03-21 23:00:00,1.4696,1.4717,1.4617,1.4646
2022-03-22 00:00:00,1.4646,1.471,1.4581,1.4697
2022-03-22 01:00:00,1.4695,1.4711,1.4596,1.4662
2022-03-22 02:00:00,1.4662,1.4909,1.4642,1.4848
2022-03-22 03:00:00,1.4855,1.5079,1.4855,1.5
2022-03-22 04:00:00,1.5003,1.5173,1.5003,1.5094
2022-03-22 05:00:00,1.5099,1.5155,1.5059,1.51
2022-03-22 06:00:00,1.5099,1.5105,1.4916,1.4995
2022-03-22 07:00:00,1.4989,1.5098,1.4988,1.507
2022-03-22 08:00:00,1.5072,1.5232,1.5049,1.5184
2022-03-22 09:00:00,1.5188,1.5208,1.5089,1.5167
2022-03-22 10:00:00,1.5162,1.5236,1.513,1.5209
2022-03-22 11:00:00,1.5205,1.5266,1.5178,1.5256
2022-03-22 12:00:00,1.5261,1.5279,1.5137,1.5179
2022-03-22 13:00:00,1.5183,1.5273,1.5123,1.5177
2022-03-22 14:00:00,1.5181,1.5345,1.5178,1.5202
2022-03-22 15:00:00,1.5206,1.523,1.5103,1.5115
2022-03-22 16:00:00,1.5115,1.5199,1.5081,1.5117
2022-03-22 17:00:00,1.5114,1.5209,1.5096,1.5204
2022-03-22 18:00:00,1.5205,1.5214,1.5127,1.5159
2022-03-22 19:00:00,1.516,1.5227,1.5041,1.5044
2022-03-22 20:00:00,1.5044,1.5164,1.5034,1.5128
2022-03-22 21:00:00,1.513,1.5294,1.5115,1.5294
2022-03-22 22:00:00,1.529,1.5291,1.5072,1.5117
2022-03-22 23:00:00,1.5114,1.5121,1.5013,1.5072
2022-03-23 00:00:00,1.5068,1.5148,1.5044,1.5138
2022-03-23 01:00:00,1.5133,1.5133,1.4947,1.5064
2022-03-23 02:00:00,1.5062,1.5213,1.5035,1.5143
2022-03-23 03:00:00,1.5148,1.5177,1.5004,1.5008
2022-03-23 04:00:00,1.5009,1.5052,1.4933,1.502
2022-03-23 05:00:00,1.5022,1.5072,1.4955,1.5053
2022-03-23 06:00:00,1.5053,1.5172,1.5038,1.5093
2022-03-23 07:00:00,1.5096,1.5108,1.504,1.5057
2022-03-23 08:00:00,1.5061,1.5132,1.5015,1.5109
2022-03-23 09:00:00,1.5112,1.514,1.5037,1.5108
2022-03-23 10:00:00,1.5111,1.52,1.5093,1.5172
2022-03-23 11:00:00,1.5176,1.5191,1.5089,1.5135
2022-03-23 12:00:00,1.5141,1.5249,1.5068,1.5233
2022-03-23 13:00:00,1.5231,1.5276,1.5139,1.5203
2022-03-23 14:00:00,1.5207,1.55,1.5184,1.5491
2022-03-23 15:00:00,1.5494,1.5529,1.5411,1.5507
2022-03-23 16:00:00,1.5507,1.5553,1.5368,1.5409
2022-03-23 17:00:00,1.5418,1.5429,1.5229,1.5254
2022-03-23 18:00:00,1.5251,1.5299,1.5158,1.5163
2022-03-23 19:00:00,1.5165,1.5293,1.5155,1.5257
2022-03-23 20:00:00,1.5258,1.5404,1.5251,1.5367
2022-03-23 21:00:00,1.5367,1.5393,1.5312,1.5375
2022-03-23 22:00:00,1.5372,1.5495,1.5344,1.5488
2022-03-23 23:00:00,1.5488,1.56,1.5408,1.5562
2022-03-24 00:00:00,1.5567,1.5767,1.5506,1.5711
2022-03-24 01:00:00,1.5705,1.5719,1.5451,1.5535
2022-03-24 02:00:00,1.5537,1.5645,1.5474,1.564
2022-03-24 03:00:00,1.5637,1.5699,1.5535,1.5579
2022-03-24 04:00:00,1.5581,1.5693,1.5581,1.5663
2022-03-24 05:00:00,1.5664,1.5746,1.5602,1.5739
2022-03-24 06:00:00,1.5741,1.5833,1.5708,1.5785
2022-03-24 07:00:00,1.5785,1.5815,1.5694,1.5694
2022-03-24 08:00:00,1.5697,1.5838,1.5684,1.5822
2022-03-24 09:00:00,1.582,1.5857,1.5694,1.5733
2022-03-24 10:00:00,1.5734,1.5866,1.5695,1.5834
2022-03-24 11:00:00,1.5833,1.5994,1.5813,1.589
2022-03-24 12:00:00,1.5889,1.5956,1.5758,1.5891
2022-03-24 13:00:00,1.589,1.6199,1.5844,1.614
2022-03-24 14:00:00,1.6146,1.6393,1.6146,1.6342
2022-03-24 15:00:00,1.6347,1.638,1.6213,1.6266
2022-03-24 16:00:00,1.6271,1.629,1.613,1.6214
2022-03-24 17:00:00,1.6218,1.6273,1.6128,1.6135
2022-03-24 18:00:00,1.6132,1.6211,1.6108,1.6211
2022-03-24 19:00:00,1.6204,1.6271,1.6168,1.6212
2022-03-24 20:00:00,1.6215,1.6261,1.6161,1.6247
2022-03-24 21:00:00,1.6247,1.6268,1.6137,1.6224
2022-03-24 22:00:00,1.6222,1.6283,1.618,1.6191
2022-03-24 23:00:00,1.6184,1.6354,1.6164,1.6307
2022-03-25 00:00:00,1.6309,1.6359,1.6126,1.6157
2022-03-25 01:00:00,1.6157,1.6399,1.6154,1.6353
2022-03-25 02:00:00,1.6356,1.6359,1.6264,1.6292
2022-03-25 03:00:00,1.6287,1.6307,1.6246,1.6277
2022-03-25 04:00:00,1.6277,1.6367,1.6265,1.6367
2022-03-25 05:00:00,1.6358,1.6379,1.6315,1.6328
2022-03-25 06:00:00,1.633,1.6414,1.6307,1.6363
2022-03-25 07:00:00,1.6365,1.6432,1.626,1.6276
2022-03-25 08:00:00,1.6274,1.6277,1.6034,1.6136
2022-03-25 09:00:00,1.6134,1.626,1.605,1.6229
2022-03-25 10:00:00,1.6233,1.6301,1.618,1.6281
2022-03-25 11:00:00,1.6278,1.6428,1.6268,1.6378
2022-03-25 12:00:00,1.638,1.664,1.6378,1.6607
2022-03-25 13:00:00,1.6614,1.6614,1.6516,1.6548
2022-03-25 14:00:00,1.6548,1.6589,1.6412,1.6451
2022-03-25 15:00:00,1.6456,1.6458,1.6029,1.6093
2022-03-25 16:00:00,1.6087,1.617,1.5836,1.5847
2022-03-25 17:00:00,1.5842,1.5888,1.5644,1.5772
2022-03-25 18:00:00,1.578,1.5942,1.5772,1.591
2022-03-25 19:00:00,1.5909,1.5919,1.5726,1.5902
2022-03-25 20:00:00,1.5898,1.595,1.5826,1.5925
2022-03-25 21:00:00,1.5925,1.5941,1.5838,1.5879
2022-03-25 22:00:00,1.5876,1.5881,1.5753,1.5767
2022-03-25 23:00:00,1.576,1.5838,1.5737,1.5783
2022-03-26 00:00:00,1.5785,1.5879,1.5734,1.5734
2022-03-26 01:00:00,1.5741,1.582,1.5682,1.5779
2022-03-26 02:00:00,1.5784,1.5803,1.5718,1.574
2022-03-26 03:00:00,1.5744,1.5852,1.5723,1.5833
2022-03-26 04:00:00,1.5829,1.5907,1.5783,1.5887
2022-03-26 05:00:00,1.5886,1.5964,1.5855,1.5963
2022-03-26 06:00:00,1.5964,1.5982,1.5931,1.5948
2022-03-26 07:00:00,1.5949,1.6054,1.5946,1.6035
2022-03-26 08:00:00,1.6036,1.6045,1.5991,1.6023
2022-03-26 09:00:00,1.6025,1.6025,1.5938,1.5966
2022-03-26 10:00:00,1.5961,1.6052,1.5945,1.6047
2022-03-26 11:00:00,1.6055,1.6067,1.6,1.6007
2022-03-26 12:00:00,1.6006,1.6021,1.5847,1.5915
2022-03-26 13:00:00,1.5914,1.5958,1.5819,1.5847
2022-03-26 14:00:00,1.5849,1.5881,1.5812,1.5865
2022-03-26 15:00:00,1.5868,1.594,1.5853,1.5863
2022-03-26 16:00:00,1.5858,1.5984,1.5845,1.598
2022-03-26 17:00:00,1.5985,1.6061,1.5975,1.6019
2022-03-26 18:00:00,1.602,1.6036,1.5971,1.6023
2022-03-26 19:00:00,1.6026,1.6034,1.5932,1.5959
2022-03-26 20:00:00,1.5951,1.6106,1.5951,1.6
2022-03-26 21:00:00,1.5999,1.6036,1.5952,1.6035
2022-03-26 22:00:00,1.6035,1.6084,1.5987,1.6067
2022-03-26 23:00:00,1.6067,1.6163,1.6066,1.6121
2022-03-27 00:00:00,1.6121,1.6138,1.6064,1.6125
2022-03-27 01:00:00,1.6125,1.6209,1.6119,1.6198
2022-03-27 02:00:00,1.6203,1.6279,1.6189,1.6239
2022-03-27 03:00:00,1.624,1.625,1.6178,1.6182
2022-03-27 04:00:00,1.6178,1.6227,1.6106,1.6181
2022-03-27 05:00:00,1.6179,1.6238,1.6173,1.6188
2022-03-27 06:00:00,1.619,1.6257,1.6187,1.6249
2022-03-27 07:00:00,1.6243,1.6263,1.6223,1.6255
2022-03-27 08:00:00,1.6259,1.6272,1.6172,1.6172
2022-03-27 09:00:00,1.6174,1.6265,1.6174,1.6223
2022-03-27 10:00:00,1.6223,1.6347,1.6205,1.6342
2022-03-27 11:00:00,1.6342,1.6349,1.6244,1.6259
2022-03-27 12:00:00,1.625,1.6271,1.6049,1.6062
2022-03-27 13:00:00,1.6059,1.6213,1.6023,1.6204
2022-03-27 14:00:00,1.6209,1.6322,1.6178,1.6272
2022-03-27 15:00:00,1.6273,1.65,1.6192,1.647
2022-03-27 16:00:00,1.6475,1.6536,1.6415,1.6494
2022-03-27 17:00:00,1.6497,1.65,1.6375,1.6448
2022-03-27 18:00:00,1.6447,1.6523,1.6408,1.6471
2022-03-27 19:00:00,1.6471,1.6568,1.6466,1.6558
2022-03-27 20:00:00,1.6564,1.6796,1.6442,1.6741
2022-03-27 21:00:00,1.6738,1.6866,1.665,1.6837
2022-03-27 22:00:00,1.6837,1.6887,1.6756,1.6795
2022-03-27 23:00:00,1.6798,1.6973,1.6793,1.6949
2022-03-28 00:00:00,1.6955,1.6979,1.682,1.6948
2022-03-28 01:00:00,1.6946,1.6971,1.6857,1.6878
2022-03-28 02:00:00,1.6881,1.6968,1.6879,1.6951
2022-03-28 03:00:00,1.6954,1.7,1.6933,1.6997
2022-03-28 04:00:00,1.6993,1.7025,1.69,1.7006
2022-03-28 05:00:00,1.7005,1.7134,1.6976,1.7121
2022-03-28 06:00:00,1.7118,1.7137,1.6837,1.6924
2022-03-28 07:00:00,1.6917,1.7071,1.6903,1.7035
2022-03-28 08:00:00,1.7036,1.7078,1.6937,1.7073
2022-03-28 09:00:00,1.7075,1.725,1.7064,1.7206
2022-03-28 10:00:00,1.7209,1.7287,1.7157,1.7213
2022-03-28 11:00:00,1.7212,1.7296,1.717,1.7238
2022-03-28 12:00:00,1.724,1.7289,1.7108,1.7151
2022-03-28 13:00:00,1.7155,1.7346,1.7125,1.733
2022-03-28 14:00:00,1.733,1.733,1.7092,1.7298
2022-03-28 15:00:00,1.7302,1.7318,1.7027,1.7027
2022-03-28 16:00:00,1.7027,1.7127,1.6861,1.7092
2022-03-28 17:00:00,1.7092,1.7208,1.6974,1.718
2022-03-28 18:00:00,1.7176,1.7466,1.7127,1.7439
2022-03-28 19:00:00,1.7434,1.7434,1.7255,1.7296
2022-03-28 20:00:00,1.7294,1.736,1.7261,1.7359
2022-03-28 21:00:00,1.7359,1.7432,1.6982,1.7004
2022-03-28 22:00:00,1.7005,1.7131,1.6843,1.6877
2022-03-28 23:00:00,1.6875,1.6926,1.6518,1.6575
2022-03-29 00:00:00,1.6574,1.6847,1.6544,1.6835
2022-03-29 01:00:00,1.6831,1.697,1.6757,1.6956
2022-03-29 02:00:00,1.6957,1.7036,1.6836,1.6849
2022-03-29 03:00:00,1.6852,1.6894,1.6806,1.6839
2022-03-29 04:00:00,1.6837,1.6939,1.6811,1.6923
2022-03-29 05:00:00,1.6928,1.708,1.692,1.7075
2022-03-29 06:00:00,1.7073,1.7175,1.7036,1.7105
2022-03-29 07:00:00,1.7105,1.7105,1.6956,1.6961
2022-03-29 08:00:00,1.6957,1.7223,1.6946,1.7167
2022-03-29 09:00:00,1.7171,1.7266,1.7107,1.7131
2022-03-29 10:00:00,1.7128,1.7168,1.7074,1.7155
2022-03-29 11:00:00,1.7158,1.7298,1.7104,1.7276
2022-03-29 12:00:00,1.7275,1.7374,1.7186,1.7329
2022-03-29 13:00:00,1.7327,1.7371,1.7056,1.7127
2022-03-29 14:00:00,1.7129,1.7243,1.7056,1.7195
2022-03-29 15:00:00,1.7196,1.7202,1.676,1.6819
2022-03-29 16:00:00,1.6814,1.6872,1.6538,1.6832
2022-03-29 17:00:00,1.6837,1.6839,1.6621,1.675
2022-03-29 18:00:00,1.6744,1.6806,1.6684,1.6789
2022-03-29 19:00:00,1.6791,1.6937,1.6765,1.6864
2022-03-29 20:00:00,1.6864,1.6933,1.669,1.6785
2022-03-29 21:00:00,1.6787,1.682,1.6614,1.6624
2022-03-29 22:00:00,1.6624,1.6652,1.6359,1.6593
2022-03-29 23:00:00,1.6587,1.6774,1.6523,1.676
2022-03-30 00:00:00,1.6755,1.6755,1.6504,1.6626
2022-03-30 01:00:00,1.6627,1.6627,1.6242,1.6381
2022-03-30 02:00:00,1.638,1.6576,1.6339,1.6532
2022-03-30 03:00:00,1.6535,1.6636,1.6528,1.6629
2022-03-30 04:00:00,1.6631,1.6652,1.6476,1.6539
2022-03-30 05:00:00,1.6539,1.6733,1.65,1.6722
2022-03-30 06:00:00,1.673,1.6786,1.6668,1.6747
2022-03-30 07:00:00,1.6737,1.6823,1.668,1.6777
2022-03-30 08:00:00,1.6781,1.6857,1.6682,1.6835
2022-03-30 09:00:00,1.6832,1.6853,1.6723,1.6764
2022-03-30 10:00:00,1.6764,1.6863,1.6714,1.6844
2022-03-30 11:00:00,1.6852,1.6943,1.6721,1.6909
2022-03-30 12:00:00,1.6914,1.6919,1.6776,1.6879
2022-03-30 13:00:00,1.6879,1.6892,1.6601,1.6687
2022-03-30 14:00:00,1.6682,1.6814,1.6574,1.6772
2022-03-30 15:00:00,1.6771,1.681,1.66,1.6808
2022-03-30 16:00:00,1.6809,1.7114,1.6769,1.702
2022-03-30 17:00:00,1.7022,1.719,1.697,1.7188
2022-03-30 18:00:00,1.7189,1.72,1.693,1.693
2022-03-30 19:00:00,1.6936,1.7002,1.6742,1.687
2022-03-30 20:00:00,1.6873,1.726,1.6795,1.7251
2022-03-30 21:00:00,1.725,1.7266,1.6972,1.6991
2022-03-30 22:00:00,1.6984,1.7025,1.6879,1.6933
2022-03-30 23:00:00,1.6933,1.6942,1.6799,1.6827
2022-03-31 00:00:00,1.6829,1.705,1.6771,1.6979
2022-03-31 01:00:00,1.6976,1.72,1.6966,1.7171
2022-03-31 02:00:00,1.7173,1.725,1.7063,1.7182
2022-03-31 03:00:00,1.7179,1.7217,1.7054,1.7117
2022-03-31 04:00:00,1.7123,1.7204,1.6977,1.7052
2022-03-31 05:00:00,1.7049,1.714,1.699,1.7124
2022-03-31 06:00:00,1.7116,1.7194,1.7068,1.717
2022-03-31 07:00:00,1.7176,1.7356,1.7131,1.733
2022-03-31 08:00:00,1.7327,1.7498,1.7236,1.7387
2022-03-31 09:00:00,1.7383,1.745,1.7311,1.7392
2022-03-31 10:00:00,1.7395,1.7477,1.7366,1.746
2022-03-31 11:00:00,1.7458,1.7479,1.7235,1.7264
2022-03-31 12:00:00,1.7266,1.7403,1.715,1.7374
2022-03-31 13:00:00,1.7374,1.7435,1.698,1.7013
2022-03-31 14:00:00,1.7013,1.7016,1.65,1.6954
2022-03-31 15:00:00,1.6954,1.702,1.6675,1.6729
2022-03-31 16:00:00,1.6725,1.6756,1.6264,1.628
2022-03-31 17:00:00,1.6276,1.6472,1.6255,1.6379
2022-03-31 18:00:00,1.6387,1.6434,1.6156,1.6434
2022-03-31 19:00:00,1.6429,1.6444,1.623,1.6245
2022-03-31 20:00:00,1.6256,1.6368,1.6212,1.6275
2022-03-31 21:00:00,1.6272,1.6317,1.6238,1.6276
2022-03-31 22:00:00,1.6279,1.6336,1.618,1.631
