datetime,NEARBUSD_open,NEARBUSD_high,NEARBUSD_low,NEARBUSD_close
2022-01-21 14:00:00,13.808,13.94,13.57,13.604
2022-01-21 15:00:00,13.617,13.722,13.293,13.457
2022-01-21 16:00:00,13.455,13.651,11.931,12.74
2022-01-21 17:00:00,12.691,13.307,12.6,13.287
2022-01-21 18:00:00,13.263,13.617,12.922,13.252
2022-01-21 19:00:00,13.225,13.467,12.958,13.285
2022-01-21 20:00:00,13.262,13.534,13.177,13.475
2022-01-21 21:00:00,13.474,13.474,13.081,13.162
2022-01-21 22:00:00,13.156,13.354,12.635,12.737
2022-01-21 23:00:00,12.762,12.818,12.36,12.557
2022-01-22 00:00:00,12.57,12.638,12.007,12.11
2022-01-22 01:00:00,12.11,12.34,11.53,11.834
2022-01-22 02:00:00,11.83,11.916,11.027,11.197
2022-01-22 03:00:00,11.196,11.55,11.196,11.319
2022-01-22 04:00:00,11.334,11.439,10.479,10.69
2022-01-22 05:00:00,10.689,11.495,10.097,11.364
2022-01-22 06:00:00,11.352,11.562,11.059,11.309
2022-01-22 07:00:00,11.307,12.34,11.289,11.866
2022-01-22 08:00:00,11.851,12.288,11.68,11.7
2022-01-22 09:00:00,11.726,12.3,11.17,11.202
2022-01-22 10:00:00,11.219,11.335,11.037,11.071
2022-01-22 11:00:00,11.09,11.697,10.915,11.489
2022-01-22 12:00:00,11.487,11.855,11.41,11.504
2022-01-22 13:00:00,11.509,11.789,11.265,11.463
2022-01-22 14:00:00,11.461,11.707,11.276,11.306
2022-01-22 15:00:00,11.315,11.894,11.151,11.8
2022-01-22 16:00:00,11.822,11.881,11.6,11.79
2022-01-22 17:00:00,11.789,11.835,11.269,11.294
2022-01-22 18:00:00,11.298,11.497,11.1,11.411
2022-01-22 19:00:00,11.407,12.351,11.325,12.314
2022-01-22 20:00:00,12.297,12.436,12.167,12.21
2022-01-22 21:00:00,12.228,12.233,11.7,11.727
2022-01-22 22:00:00,11.734,11.997,11.586,11.86
2022-01-22 23:00:00,11.868,12.199,11.764,11.899
2022-01-23 00:00:00,11.899,11.982,11.609,11.883
2022-01-23 01:00:00,11.875,11.922,11.567,11.643
2022-01-23 02:00:00,11.641,12.092,11.623,11.908
2022-01-23 03:00:00,11.907,12.32,11.821,12.246
2022-01-23 04:00:00,12.251,12.6,12.191,12.352
2022-01-23 05:00:00,12.373,12.388,12.046,12.212
2022-01-23 06:00:00,12.206,12.257,11.745,11.873
2022-01-23 07:00:00,11.867,12.003,11.685,11.966
2022-01-23 08:00:00,11.966,12.192,11.884,12.123
2022-01-23 09:00:00,12.121,12.219,11.241,11.507
2022-01-23 10:00:00,11.512,11.542,11.12,11.264
2022-01-23 11:00:00,11.266,11.362,11.115,11.238
2022-01-23 12:00:00,11.226,11.517,11.199,11.363
2022-01-23 13:00:00,11.351,11.395,10.976,11.125
2022-01-23 14:00:00,11.11,11.299,10.877,11.038
2022-01-23 15:00:00,11.032,11.226,11.0,11.081
2022-01-23 16:00:00,11.093,11.202,10.941,11.044
2022-01-23 17:00:00,11.021,11.106,10.827,10.985
2022-01-23 18:00:00,10.996,11.863,10.918,11.708
2022-01-23 19:00:00,11.709,11.709,11.228,11.305
2022-01-23 20:00:00,11.283,11.377,11.035,11.066
2022-01-23 21:00:00,11.065,11.125,10.845,10.89
2022-01-23 22:00:00,10.891,11.054,10.859,11.004
2022-01-23 23:00:00,11.019,11.091,10.528,10.561
2022-01-24 00:00:00,10.556,10.616,10.432,10.578
2022-01-24 01:00:00,10.583,10.713,10.493,10.531
2022-01-24 02:00:00,10.536,10.536,10.175,10.193
2022-01-24 03:00:00,10.198,10.503,10.145,10.252
2022-01-24 04:00:00,10.252,10.32,9.859,9.999
2022-01-24 05:00:00,9.998,10.044,9.539,9.56
2022-01-24 06:00:00,9.575,10.082,9.517,9.922
2022-01-24 07:00:00,9.925,10.072,9.535,9.655
2022-01-24 08:00:00,9.67,10.073,9.584,9.896
