datetime,EGLDBUSD_open,EGLDBUSD_high,EGLDBUSD_low,EGLDBUSD_close
2022-04-19 16:00:00,162.14,162.53,161.68,161.83
2022-04-19 17:00:00,162.01,165.77,161.9,164.6
2022-04-19 18:00:00,164.84,165.21,163.85,165.08
2022-04-19 19:00:00,165.13,166.15,162.39,166.15
2022-04-19 20:00:00,166.07,167.41,164.62,166.91
2022-04-19 21:00:00,166.89,169.05,166.1,168.61
2022-04-19 22:00:00,168.62,169.51,167.6,167.98
2022-04-19 23:00:00,168.0,169.57,167.37,167.97
2022-04-20 00:00:00,168.02,168.6,165.52,166.26
2022-04-20 01:00:00,166.27,166.59,165.46,165.97
2022-04-20 02:00:00,166.02,166.9,165.29,165.97
2022-04-20 03:00:00,165.93,169.16,165.59,167.7
2022-04-20 04:00:00,167.66,169.06,167.05,167.29
2022-04-20 05:00:00,167.31,168.96,166.8,168.28
2022-04-20 06:00:00,168.33,168.4,165.4,167.48
2022-04-20 07:00:00,167.47,168.76,166.83,167.01
2022-04-20 08:00:00,167.04,167.08,163.8,164.58
2022-04-20 09:00:00,164.5,165.36,163.8,164.76
2022-04-20 10:00:00,164.74,165.31,162.2,162.6
2022-04-20 11:00:00,162.6,162.78,160.41,162.7
2022-04-20 12:00:00,162.74,163.22,161.8,163.05
2022-04-20 13:00:00,163.05,163.25,159.91,160.38
2022-04-20 14:00:00,160.41,161.64,160.35,161.48
2022-04-20 15:00:00,161.4,162.92,161.04,162.92
2022-04-20 16:00:00,162.93,163.49,162.51,163.2
2022-04-20 17:00:00,163.14,165.26,163.13,164.0
2022-04-20 18:00:00,163.92,164.2,162.97,163.2
2022-04-20 19:00:00,163.15,164.92,162.71,164.69
2022-04-20 20:00:00,164.73,166.58,164.65,166.55
2022-04-20 21:00:00,166.58,167.48,165.51,166.01
2022-04-20 22:00:00,166.01,166.05,164.52,165.84
2022-04-20 23:00:00,165.88,166.56,165.2,165.71
2022-04-21 00:00:00,165.65,166.33,163.93,164.14
2022-04-21 01:00:00,164.06,165.47,163.45,164.38
2022-04-21 02:00:00,164.46,166.72,163.59,165.98
2022-04-21 03:00:00,166.1,166.5,164.65,164.75
2022-04-21 04:00:00,164.66,165.08,162.67,162.78
2022-04-21 05:00:00,162.67,165.53,162.51,165.0
2022-04-21 06:00:00,165.0,166.51,164.88,165.44
