datetime,SANDBUSD_open,SANDBUSD_high,SANDBUSD_low,SANDBUSD_close
2022-01-05 16:00:00,5.0044,5.0815,4.9308,4.9422
2022-01-05 17:00:00,4.9418,4.9879,4.7152,4.9683
2022-01-05 18:00:00,4.9701,5.0772,4.9205,5.0026
2022-01-05 19:00:00,5.0047,5.05,4.9632,5.026
2022-01-05 20:00:00,5.0261,5.0388,4.8859,4.9351
2022-01-05 21:00:00,4.9301,4.9623,4.869,4.8997
2022-01-05 22:00:00,4.8957,4.9204,4.8023,4.8023
2022-01-05 23:00:00,4.8062,4.8848,4.7854,4.8597
2022-01-06 00:00:00,4.8594,4.9261,4.8261,4.8742
2022-01-06 01:00:00,4.8733,4.9131,4.84,4.8818
2022-01-06 02:00:00,4.882,4.9218,4.8613,4.9142
2022-01-06 03:00:00,4.9155,4.918,4.8241,4.8615
2022-01-06 04:00:00,4.862,4.8698,4.7364,4.7407
2022-01-06 05:00:00,4.739,4.8087,4.708,4.7998
2022-01-06 06:00:00,4.8,4.8164,4.7569,4.7906
2022-01-06 07:00:00,4.7946,4.8258,4.7373,4.8246
2022-01-06 08:00:00,4.8249,5.2097,4.8215,5.1516
2022-01-06 09:00:00,5.1499,5.4034,5.1222,5.2276
2022-01-06 10:00:00,5.2293,5.2441,5.08,5.1254
2022-01-06 11:00:00,5.1268,5.1449,5.0163,5.055
2022-01-06 12:00:00,5.0541,5.0717,5.0046,5.0397
2022-01-06 13:00:00,5.0457,5.0977,5.0408,5.0937
2022-01-06 14:00:00,5.0941,5.1407,5.0501,5.1222
2022-01-06 15:00:00,5.1226,5.15,5.0444,5.1154
2022-01-06 16:00:00,5.1128,5.121,5.0663,5.1154
2022-01-06 17:00:00,5.1151,5.2033,5.0949,5.1767
2022-01-06 18:00:00,5.1769,5.25,5.1362,5.238
2022-01-06 19:00:00,5.2361,5.28,5.0616,5.1209
2022-01-06 20:00:00,5.1213,5.1894,5.1075,5.1572
2022-01-06 21:00:00,5.1554,5.1598,5.0005,5.0201
2022-01-06 22:00:00,5.0153,5.02,4.78,4.8424
2022-01-06 23:00:00,4.8402,4.9045,4.7383,4.8909
2022-01-07 00:00:00,4.8922,4.9573,4.8519,4.9333
2022-01-07 01:00:00,4.9292,4.9401,4.8333,4.8659
2022-01-07 02:00:00,4.8682,4.9438,4.7873,4.9296
2022-01-07 03:00:00,4.9301,5.0788,4.9119,4.9743
2022-01-07 04:00:00,4.9721,5.0489,4.9721,5.0061
2022-01-07 05:00:00,5.0021,5.0267,4.9253,4.9255
2022-01-07 06:00:00,4.927,4.9712,4.902,4.9166
2022-01-07 07:00:00,4.9182,4.9873,4.9182,4.9389
2022-01-07 08:00:00,4.9427,4.9933,4.7753,4.848
2022-01-07 09:00:00,4.8528,4.9216,4.8305,4.893
2022-01-07 10:00:00,4.8986,4.8986,4.7397,4.8275
2022-01-07 11:00:00,4.8296,4.9612,4.7712,4.9441
2022-01-07 12:00:00,4.9429,4.9506,4.8656,4.9107
2022-01-07 13:00:00,4.9084,4.9106,4.8258,4.8614
2022-01-07 14:00:00,4.8641,4.9164,4.8386,4.8926
2022-01-07 15:00:00,4.9,4.9566,4.8658,4.9167
2022-01-07 16:00:00,4.9222,4.9394,4.8953,4.9087
2022-01-07 17:00:00,4.9103,4.9108,4.8054,4.8371
2022-01-07 18:00:00,4.8371,4.8587,4.8059,4.8498
2022-01-07 19:00:00,4.8539,4.9305,4.8128,4.911
2022-01-07 20:00:00,4.9086,4.9329,4.8825,4.8888
2022-01-07 21:00:00,4.8853,4.8986,4.8548,4.8931
2022-01-07 22:00:00,4.8909,4.8963,4.8404,4.8849
2022-01-07 23:00:00,4.886,4.9082,4.8743,4.891
2022-01-08 00:00:00,4.8922,4.9111,4.8735,4.8981
2022-01-08 01:00:00,4.8981,4.9422,4.868,4.9372
2022-01-08 02:00:00,4.9352,4.9864,4.9284,4.9515
2022-01-08 03:00:00,4.9528,5.0405,4.9528,4.976
2022-01-08 04:00:00,4.9754,5.0112,4.9695,4.9986
2022-01-08 05:00:00,4.9998,5.0143,4.91,4.9329
2022-01-08 06:00:00,4.9321,4.9608,4.9122,4.9533
2022-01-08 07:00:00,4.9531,4.9669,4.884,4.8996
2022-01-08 08:00:00,4.9034,4.9192,4.8701,4.9035
2022-01-08 09:00:00,4.904,4.9161,4.845,4.8477
2022-01-08 10:00:00,4.8477,4.8561,4.7533,4.7829
2022-01-08 11:00:00,4.7843,4.8125,4.6735,4.6958
2022-01-08 12:00:00,4.6958,4.7052,4.5221,4.5321
2022-01-08 13:00:00,4.5329,4.6147,4.4566,4.475
2022-01-08 14:00:00,4.4728,4.5657,4.4501,4.5185
2022-01-08 15:00:00,4.5153,4.5662,4.485,4.51
2022-01-08 16:00:00,4.5104,4.6361,4.5052,4.61
2022-01-08 17:00:00,4.6081,4.7004,4.6041,4.6467
2022-01-08 18:00:00,4.6469,4.651,4.607,4.6125
2022-01-08 19:00:00,4.61,4.7071,4.5677,4.6811
2022-01-08 20:00:00,4.6812,4.6812,4.6118,4.6494
2022-01-08 21:00:00,4.6484,4.6841,4.6441,4.6699
2022-01-08 22:00:00,4.6707,4.6727,4.6323,4.6336
2022-01-08 23:00:00,4.6341,4.6876,4.6339,4.6834
2022-01-09 00:00:00,4.6861,4.6908,4.6398,4.6448
2022-01-09 01:00:00,4.645,4.6716,4.6258,4.667
2022-01-09 02:00:00,4.6674,4.6839,4.6415,4.6441
2022-01-09 03:00:00,4.6462,4.6722,4.6041,4.6303
2022-01-09 04:00:00,4.6268,4.9087,4.6233,4.8146
2022-01-09 05:00:00,4.8124,4.8504,4.697,4.7378
2022-01-09 06:00:00,4.7392,4.8138,4.7392,4.7739
2022-01-09 07:00:00,4.7757,4.8004,4.7044,4.7254
2022-01-09 08:00:00,4.7233,4.7557,4.6463,4.6463
2022-01-09 09:00:00,4.6497,4.7128,4.6497,4.6792
2022-01-09 10:00:00,4.6794,4.694,4.6126,4.6647
2022-01-09 11:00:00,4.6617,4.7791,4.6501,4.7787
2022-01-09 12:00:00,4.7793,4.8084,4.7515,4.7714
2022-01-09 13:00:00,4.7759,4.851,4.7585,4.7687
2022-01-09 14:00:00,4.7678,4.8646,4.7625,4.8486
2022-01-09 15:00:00,4.852,4.861,4.7972,4.8239
2022-01-09 16:00:00,4.8172,4.8387,4.7587,4.795
2022-01-09 17:00:00,4.7945,4.8118,4.7393,4.7672
2022-01-09 18:00:00,4.7667,4.7771,4.7115,4.7153
2022-01-09 19:00:00,4.7149,4.7603,4.6535,4.6578
2022-01-09 20:00:00,4.6603,4.7,4.6486,4.679
2022-01-09 21:00:00,4.679,4.7222,4.6585,4.6799
2022-01-09 22:00:00,4.6794,4.7115,4.6669,4.7059
2022-01-09 23:00:00,4.7066,4.7535,4.6894,4.7462
2022-01-10 00:00:00,4.7493,4.7493,4.71,4.7262
2022-01-10 01:00:00,4.7271,4.7427,4.6981,4.7084
2022-01-10 02:00:00,4.7063,4.7416,4.7063,4.7207
2022-01-10 03:00:00,4.7241,4.7751,4.6678,4.694
2022-01-10 04:00:00,4.6932,4.7138,4.6702,4.6805
2022-01-10 05:00:00,4.6805,4.7162,4.6468,4.6538
2022-01-10 06:00:00,4.6535,4.6553,4.5829,4.6048
2022-01-10 07:00:00,4.6009,4.6143,4.466,4.471
2022-01-10 08:00:00,4.47,4.5012,4.4107,4.4188
2022-01-10 09:00:00,4.417,4.4372,4.2028,4.3759
2022-01-10 10:00:00,4.3675,4.3813,4.2971,4.3475
2022-01-10 11:00:00,4.3522,4.4842,4.328,4.4597
2022-01-10 12:00:00,4.4619,4.4868,4.2717,4.3382
2022-01-10 13:00:00,4.34,4.4012,4.3245,4.3946
2022-01-10 14:00:00,4.3939,4.408,4.334,4.3413
2022-01-10 15:00:00,4.3459,4.4278,4.3257,4.4134
2022-01-10 16:00:00,4.4167,4.4403,4.3937,4.4196
2022-01-10 17:00:00,4.422,4.4386,4.3961,4.4133
2022-01-10 18:00:00,4.4133,4.4706,4.4069,4.4549
2022-01-10 19:00:00,4.4562,4.4612,4.3689,4.3689
2022-01-10 20:00:00,4.3727,4.4324,4.365,4.4313
2022-01-10 21:00:00,4.43,4.5,4.4134,4.4735
2022-01-10 22:00:00,4.4775,4.5173,4.4448,4.5146
2022-01-10 23:00:00,4.5166,4.5275,4.4525,4.4748
2022-01-11 00:00:00,4.4748,4.4824,4.4294,4.4528
2022-01-11 01:00:00,4.4514,4.5137,4.4264,4.4485
2022-01-11 02:00:00,4.4485,4.4755,4.4278,4.4677
2022-01-11 03:00:00,4.467,4.5124,4.4272,4.4372
2022-01-11 04:00:00,4.438,4.454,4.3958,4.4232
2022-01-11 05:00:00,4.425,4.4397,4.3579,4.3661
2022-01-11 06:00:00,4.363,4.4281,4.3595,4.4073
2022-01-11 07:00:00,4.4056,4.458,4.3878,4.4254
2022-01-11 08:00:00,4.4293,4.5986,4.4223,4.472
2022-01-11 09:00:00,4.4695,4.4863,4.3748,4.4378
2022-01-11 10:00:00,4.4347,4.522,4.43,4.4708
2022-01-11 11:00:00,4.4726,4.65,4.4611,4.6207
2022-01-11 12:00:00,4.6185,4.6786,4.545,4.6076
2022-01-11 13:00:00,4.6122,4.643,4.5759,4.6125
2022-01-11 14:00:00,4.6119,4.6525,4.593,4.6365
2022-01-11 15:00:00,4.639,4.6575,4.622,4.6535
2022-01-11 16:00:00,4.6552,4.6569,4.6104,4.6248
2022-01-11 17:00:00,4.6216,4.6521,4.6116,4.6521
2022-01-11 18:00:00,4.6526,4.7714,4.6404,4.7177
2022-01-11 19:00:00,4.7204,4.8364,4.7112,4.7928
2022-01-11 20:00:00,4.7919,4.8334,4.762,4.769
2022-01-11 21:00:00,4.7651,4.8019,4.7335,4.7644
2022-01-11 22:00:00,4.7644,4.8016,4.7368,4.7917
2022-01-11 23:00:00,4.7923,4.8625,4.7753,4.8136
2022-01-12 00:00:00,4.8085,4.8233,4.7856,4.8233
2022-01-12 01:00:00,4.8245,4.8949,4.8245,4.8663
2022-01-12 02:00:00,4.8679,4.8727,4.7755,4.8063
2022-01-12 03:00:00,4.8061,4.8365,4.7942,4.8133
2022-01-12 04:00:00,4.813,4.8667,4.8041,4.8558
2022-01-12 05:00:00,4.8495,4.8749,4.8243,4.8243
2022-01-12 06:00:00,4.8242,4.9707,4.79,4.9515
2022-01-12 07:00:00,4.9535,5.1423,4.9467,5.122
2022-01-12 08:00:00,5.1271,5.2151,5.1007,5.195
2022-01-12 09:00:00,5.1964,5.21,5.1631,5.179
2022-01-12 10:00:00,5.1782,5.19,5.0957,5.1062
2022-01-12 11:00:00,5.1072,5.1398,5.0575,5.1352
2022-01-12 12:00:00,5.1347,5.1497,5.1012,5.13
2022-01-12 13:00:00,5.1308,5.1366,5.0885,5.0965
2022-01-12 14:00:00,5.095,5.1312,5.074,5.1243
2022-01-12 15:00:00,5.126,5.1555,5.0957,5.129
2022-01-12 16:00:00,5.1319,5.1887,5.1044,5.1074
2022-01-12 17:00:00,5.1123,5.1223,5.083,5.1104
2022-01-12 18:00:00,5.1101,5.1577,5.1101,5.1401
2022-01-12 19:00:00,5.1377,5.1703,5.0147,5.0414
2022-01-12 20:00:00,5.0416,5.0773,4.96,4.9652
2022-01-12 21:00:00,4.97,5.0324,4.97,4.9931
2022-01-12 22:00:00,4.9984,5.0089,4.9554,4.9902
2022-01-12 23:00:00,4.9934,5.0459,4.9922,5.0058
2022-01-13 00:00:00,5.0061,5.0239,4.9931,5.0151
2022-01-13 01:00:00,5.0198,5.0421,5.0128,5.0213
2022-01-13 02:00:00,5.023,5.1212,5.0075,5.0821
2022-01-13 03:00:00,5.0807,5.1272,5.0709,5.1017
2022-01-13 04:00:00,5.1036,5.1036,5.0557,5.083
2022-01-13 05:00:00,5.0835,5.1043,5.0559,5.0694
2022-01-13 06:00:00,5.0674,5.0772,4.995,5.0224
2022-01-13 07:00:00,5.0161,5.2142,5.009,5.2023
2022-01-13 08:00:00,5.1998,5.2114,5.0924,5.1125
2022-01-13 09:00:00,5.1137,5.1626,5.0734,5.12
2022-01-13 10:00:00,5.1227,5.1256,4.8958,4.963
2022-01-13 11:00:00,4.9624,5.0319,4.9222,4.9593
2022-01-13 12:00:00,4.9597,4.9787,4.865,4.932
2022-01-13 13:00:00,4.9299,4.9576,4.9046,4.925
2022-01-13 14:00:00,4.9206,4.9475,4.8698,4.9055
2022-01-13 15:00:00,4.9048,4.9087,4.835,4.9052
2022-01-13 16:00:00,4.9082,4.9172,4.8876,4.9028
2022-01-13 17:00:00,4.9049,4.9173,4.8138,4.8266
2022-01-13 18:00:00,4.8253,4.8673,4.804,4.8621
2022-01-13 19:00:00,4.8601,4.878,4.7862,4.8624
2022-01-13 20:00:00,4.8641,4.87,4.8187,4.8325
2022-01-13 21:00:00,4.8325,4.854,4.8018,4.8407
2022-01-13 22:00:00,4.8428,4.8697,4.8119,4.85
2022-01-13 23:00:00,4.856,4.9404,4.8395,4.885
2022-01-14 00:00:00,4.8846,4.9028,4.8356,4.8968
2022-01-14 01:00:00,4.8973,4.91,4.869,4.8759
2022-01-14 02:00:00,4.8786,4.8952,4.8181,4.8397
2022-01-14 03:00:00,4.8402,4.8438,4.7647,4.8179
2022-01-14 04:00:00,4.8209,4.8377,4.8,4.8034
2022-01-14 05:00:00,4.8034,4.8518,4.7101,4.7302
2022-01-14 06:00:00,4.7295,4.7546,4.6734,4.7258
2022-01-14 07:00:00,4.7249,4.8961,4.6867,4.8042
2022-01-14 08:00:00,4.8044,4.8665,4.7839,4.7998
2022-01-14 09:00:00,4.7995,4.9082,4.7632,4.8812
2022-01-14 10:00:00,4.8812,4.9183,4.8544,4.8859
2022-01-14 11:00:00,4.8893,4.8961,4.8359,4.8752
2022-01-14 12:00:00,4.8806,4.901,4.8465,4.8903
2022-01-14 13:00:00,4.8939,4.8961,4.8474,4.8855
2022-01-14 14:00:00,4.8845,4.9744,4.8822,4.9303
2022-01-14 15:00:00,4.9285,4.952,4.9071,4.9148
2022-01-14 16:00:00,4.9145,4.953,4.9145,4.9469
2022-01-14 17:00:00,4.9466,4.9497,4.9107,4.9206
2022-01-14 18:00:00,4.9203,4.94,4.8713,4.9044
2022-01-14 19:00:00,4.9049,4.92,4.8602,4.8972
2022-01-14 20:00:00,4.9013,4.9051,4.8496,4.8733
2022-01-14 21:00:00,4.8725,4.895,4.8618,4.8916
2022-01-14 22:00:00,4.8909,4.8942,4.8661,4.87
2022-01-14 23:00:00,4.8659,4.8667,4.803,4.8245
2022-01-15 00:00:00,4.8184,4.8297,4.7872,4.8038
2022-01-15 01:00:00,4.8038,4.8328,4.7892,4.8269
2022-01-15 02:00:00,4.8287,4.84,4.802,4.84
2022-01-15 03:00:00,4.84,4.8488,4.8256,4.8374
2022-01-15 04:00:00,4.835,4.8498,4.8157,4.842
2022-01-15 05:00:00,4.8374,4.877,4.8366,4.8409
2022-01-15 06:00:00,4.842,4.8927,4.8323,4.877
2022-01-15 07:00:00,4.8792,4.9062,4.78,4.8317
