datetime,DARBUSD_open,DARBUSD_high,DARBUSD_low,DARBUSD_close
2022-01-10 18:00:00,1.53696,1.55866,1.53627,1.54179
2022-01-10 19:00:00,1.54179,1.55023,1.53323,1.53661
2022-01-10 20:00:00,1.53609,1.54014,1.53016,1.53877
2022-01-10 21:00:00,1.54148,1.588,1.53821,1.56332
2022-01-10 22:00:00,1.56802,1.60468,1.56007,1.60468
2022-01-10 23:00:00,1.60317,1.61227,1.57785,1.58446
2022-01-11 00:00:00,1.58446,1.58561,1.5691,1.57621
2022-01-11 01:00:00,1.575,1.58008,1.56812,1.5692
2022-01-11 02:00:00,1.56921,1.59646,1.56506,1.59306
2022-01-11 03:00:00,1.5963,1.61202,1.57743,1.57794
2022-01-11 04:00:00,1.57987,1.58773,1.57,1.5811
2022-01-11 05:00:00,1.58103,1.58332,1.56141,1.56141
2022-01-11 06:00:00,1.56141,1.56968,1.55818,1.56548
2022-01-11 07:00:00,1.5607,1.57272,1.55406,1.56081
2022-01-11 08:00:00,1.56081,1.56277,1.53611,1.54305
2022-01-11 09:00:00,1.54301,1.54734,1.51344,1.52807
2022-01-11 10:00:00,1.53107,1.54763,1.52271,1.53336
2022-01-11 11:00:00,1.53352,1.58944,1.53352,1.58
2022-01-11 12:00:00,1.58184,1.6,1.555,1.5638
2022-01-11 13:00:00,1.56474,1.58221,1.56001,1.57183
2022-01-11 14:00:00,1.57215,1.57904,1.56127,1.5768
2022-01-11 15:00:00,1.57498,1.58333,1.56666,1.57708
2022-01-11 16:00:00,1.57944,1.58236,1.56245,1.56835
2022-01-11 17:00:00,1.56908,1.57094,1.56128,1.56682
2022-01-11 18:00:00,1.56676,1.57413,1.56331,1.56512
2022-01-11 19:00:00,1.56766,1.5759,1.54544,1.55424
2022-01-11 20:00:00,1.55627,1.56087,1.53929,1.54105
2022-01-11 21:00:00,1.53963,1.56207,1.53811,1.55842
2022-01-11 22:00:00,1.55801,1.56124,1.54695,1.55569
2022-01-11 23:00:00,1.55353,1.56018,1.54928,1.54928
2022-01-12 00:00:00,1.55041,1.56388,1.54782,1.55908
2022-01-12 01:00:00,1.56308,1.59287,1.56307,1.58762
2022-01-12 02:00:00,1.58963,1.58969,1.565,1.56937
2022-01-12 03:00:00,1.57163,1.58236,1.56944,1.58236
2022-01-12 04:00:00,1.58468,1.6221,1.57659,1.59
2022-01-12 05:00:00,1.5911,1.62982,1.58957,1.61012
2022-01-12 06:00:00,1.61,1.6423,1.60516,1.61574
2022-01-12 07:00:00,1.61666,1.64671,1.61656,1.64318
2022-01-12 08:00:00,1.64308,1.66295,1.63727,1.66089
2022-01-12 09:00:00,1.66073,1.675,1.65349,1.675
2022-01-12 10:00:00,1.675,1.68798,1.63395,1.64906
2022-01-12 11:00:00,1.64829,1.65093,1.62819,1.64105
2022-01-12 12:00:00,1.64098,1.64971,1.63448,1.64812
2022-01-12 13:00:00,1.64955,1.64955,1.64064,1.64569
2022-01-12 14:00:00,1.64692,1.64824,1.63924,1.64139
2022-01-12 15:00:00,1.64464,1.68145,1.64185,1.67542
2022-01-12 16:00:00,1.67635,1.68099,1.65402,1.65489
2022-01-12 17:00:00,1.65913,1.66994,1.65527,1.66994
2022-01-12 18:00:00,1.66994,1.68095,1.66542,1.68095
