datetime,USDTEUR_open,USDTEUR_high,USDTEUR_low,USDTEUR_close
2022-03-15 17:00:00,0.9135,0.9148,0.913,0.9145
2022-03-15 18:00:00,0.9146,0.9155,0.9143,0.9145
2022-03-15 19:00:00,0.9144,0.9145,0.9131,0.9131
2022-03-15 20:00:00,0.9131,0.9141,0.9128,0.9129
2022-03-15 21:00:00,0.913,0.9136,0.9126,0.9131
2022-03-15 22:00:00,0.9134,0.9134,0.9123,0.9123
2022-03-15 23:00:00,0.9123,0.9128,0.9116,0.9121
2022-03-16 00:00:00,0.9121,0.913,0.9118,0.9129
2022-03-16 01:00:00,0.9128,0.9129,0.912,0.9123
2022-03-16 02:00:00,0.9121,0.9121,0.9106,0.9113
2022-03-16 03:00:00,0.9113,0.9122,0.9104,0.9119
2022-03-16 04:00:00,0.9118,0.9122,0.9116,0.9117
2022-03-16 05:00:00,0.912,0.9121,0.9112,0.9112
2022-03-16 06:00:00,0.9113,0.9117,0.9109,0.9112
2022-03-16 07:00:00,0.9111,0.9132,0.9111,0.913
2022-03-16 08:00:00,0.913,0.913,0.9094,0.9103
2022-03-16 09:00:00,0.9103,0.9114,0.9097,0.911
2022-03-16 10:00:00,0.9109,0.9112,0.9087,0.91
2022-03-16 11:00:00,0.91,0.91,0.9079,0.9085
2022-03-16 12:00:00,0.9085,0.911,0.9085,0.9108
2022-03-16 13:00:00,0.9108,0.9108,0.9093,0.9099
2022-03-16 14:00:00,0.9097,0.9108,0.9066,0.9087
2022-03-16 15:00:00,0.9087,0.9107,0.9084,0.9104
2022-03-16 16:00:00,0.9104,0.9105,0.9087,0.9097
2022-03-16 17:00:00,0.9099,0.9125,0.9096,0.9116
2022-03-16 18:00:00,0.9116,0.9136,0.9093,0.9096
2022-03-16 19:00:00,0.9097,0.9102,0.9061,0.9061
2022-03-16 20:00:00,0.9061,0.9071,0.906,0.9067
2022-03-16 21:00:00,0.9065,0.9071,0.9063,0.9065
2022-03-16 22:00:00,0.9065,0.9084,0.9065,0.9076
2022-03-16 23:00:00,0.9076,0.908,0.9071,0.9077
2022-03-17 00:00:00,0.9075,0.9075,0.905,0.9052
2022-03-17 01:00:00,0.9052,0.9068,0.905,0.9064
2022-03-17 02:00:00,0.9065,0.9068,0.906,0.9064
2022-03-17 03:00:00,0.9063,0.9067,0.9059,0.9066
2022-03-17 04:00:00,0.9066,0.907,0.906,0.9066
2022-03-17 05:00:00,0.9068,0.9075,0.9068,0.9074
2022-03-17 06:00:00,0.9074,0.9076,0.906,0.9063
2022-03-17 07:00:00,0.9064,0.9067,0.9056,0.9061
2022-03-17 08:00:00,0.9061,0.9061,0.904,0.905
2022-03-17 09:00:00,0.905,0.9064,0.9049,0.9052
2022-03-17 10:00:00,0.9054,0.9073,0.9053,0.906
2022-03-17 11:00:00,0.906,0.9061,0.9049,0.905
2022-03-17 12:00:00,0.9049,0.9064,0.9049,0.9061
2022-03-17 13:00:00,0.906,0.9061,0.9043,0.9043
2022-03-17 14:00:00,0.9045,0.9047,0.9022,0.9035
2022-03-17 15:00:00,0.9034,0.9034,0.9005,0.9005
2022-03-17 16:00:00,0.9006,0.901,0.8989,0.8989
2022-03-17 17:00:00,0.8989,0.8996,0.8982,0.8994
2022-03-17 18:00:00,0.8992,0.9016,0.8992,0.9013
2022-03-17 19:00:00,0.9014,0.9021,0.9013,0.9019
2022-03-17 20:00:00,0.9017,0.9024,0.9015,0.9023
2022-03-17 21:00:00,0.9019,0.9024,0.9017,0.9017
2022-03-17 22:00:00,0.9022,0.9023,0.9016,0.9017
2022-03-17 23:00:00,0.9019,0.9023,0.9014,0.9014
2022-03-18 00:00:00,0.9013,0.9015,0.9,0.9015
2022-03-18 01:00:00,0.9015,0.9024,0.9009,0.9024
2022-03-18 02:00:00,0.9024,0.9029,0.902,0.9027
2022-03-18 03:00:00,0.9027,0.9032,0.9024,0.9027
2022-03-18 04:00:00,0.9028,0.9032,0.9024,0.9032
2022-03-18 05:00:00,0.9032,0.9036,0.9025,0.9027
2022-03-18 06:00:00,0.9028,0.903,0.9021,0.9028
2022-03-18 07:00:00,0.9028,0.9038,0.9024,0.9033
2022-03-18 08:00:00,0.9033,0.905,0.9032,0.9043
2022-03-18 09:00:00,0.9043,0.9051,0.9038,0.9051
2022-03-18 10:00:00,0.9049,0.9069,0.9047,0.9065
2022-03-18 11:00:00,0.9066,0.9079,0.9062,0.9077
2022-03-18 12:00:00,0.9079,0.9083,0.9068,0.9078
2022-03-18 13:00:00,0.9078,0.9094,0.9076,0.9081
2022-03-18 14:00:00,0.9081,0.9081,0.9064,0.9074
2022-03-18 15:00:00,0.9078,0.9078,0.9055,0.9055
2022-03-18 16:00:00,0.9055,0.9102,0.904,0.9047
2022-03-18 17:00:00,0.9047,0.9056,0.9044,0.9049
2022-03-18 18:00:00,0.9048,0.9062,0.9048,0.9059
2022-03-18 19:00:00,0.9058,0.9058,0.9047,0.9049
2022-03-18 20:00:00,0.9049,0.9052,0.9046,0.9049
2022-03-18 21:00:00,0.9048,0.9052,0.9043,0.9047
2022-03-18 22:00:00,0.9047,0.9049,0.9043,0.9048
2022-03-18 23:00:00,0.9047,0.9049,0.9043,0.9045
2022-03-19 00:00:00,0.9044,0.905,0.9044,0.9047
2022-03-19 01:00:00,0.9047,0.905,0.9044,0.9047
2022-03-19 02:00:00,0.9047,0.9051,0.9044,0.9047
2022-03-19 03:00:00,0.9049,0.9051,0.9047,0.9049
2022-03-19 04:00:00,0.9049,0.9049,0.9046,0.9047
2022-03-19 05:00:00,0.9047,0.9047,0.9044,0.9045
2022-03-19 06:00:00,0.9045,0.9048,0.9044,0.9048
2022-03-19 07:00:00,0.9048,0.905,0.9046,0.9047
2022-03-19 08:00:00,0.9047,0.9048,0.9044,0.9044
2022-03-19 09:00:00,0.9044,0.9049,0.9042,0.9049
2022-03-19 10:00:00,0.9048,0.9051,0.9045,0.9047
2022-03-19 11:00:00,0.9048,0.9052,0.9046,0.905
2022-03-19 12:00:00,0.905,0.9052,0.9046,0.905
2022-03-19 13:00:00,0.9051,0.9058,0.905,0.9055
2022-03-19 14:00:00,0.9055,0.9058,0.9055,0.9058
2022-03-19 15:00:00,0.9058,0.9061,0.9056,0.9058
2022-03-19 16:00:00,0.9057,0.906,0.9055,0.9056
2022-03-19 17:00:00,0.9058,0.906,0.9054,0.9055
2022-03-19 18:00:00,0.9057,0.9058,0.905,0.905
2022-03-19 19:00:00,0.905,0.9054,0.9049,0.9052
2022-03-19 20:00:00,0.905,0.9052,0.9048,0.9048
2022-03-19 21:00:00,0.9048,0.905,0.9047,0.9049
2022-03-19 22:00:00,0.9049,0.905,0.9042,0.9042
2022-03-19 23:00:00,0.9043,0.9049,0.9042,0.9044
2022-03-20 00:00:00,0.9044,0.9048,0.9042,0.9047
2022-03-20 01:00:00,0.9047,0.9048,0.9044,0.9045
2022-03-20 02:00:00,0.9045,0.905,0.9044,0.9049
2022-03-20 03:00:00,0.9049,0.9052,0.9047,0.9048
2022-03-20 04:00:00,0.9048,0.9049,0.9046,0.9048
2022-03-20 05:00:00,0.9047,0.905,0.9046,0.9046
2022-03-20 06:00:00,0.9046,0.9051,0.9046,0.905
2022-03-20 07:00:00,0.905,0.9051,0.9048,0.9049
2022-03-20 08:00:00,0.9051,0.9052,0.9048,0.9052
2022-03-20 09:00:00,0.9051,0.9053,0.9047,0.9049
2022-03-20 10:00:00,0.9049,0.9052,0.9045,0.9049
2022-03-20 11:00:00,0.9049,0.9049,0.9044,0.9048
2022-03-20 12:00:00,0.9048,0.905,0.9044,0.9046
2022-03-20 13:00:00,0.9048,0.9051,0.9042,0.9044
2022-03-20 14:00:00,0.9044,0.9046,0.9037,0.9041
2022-03-20 15:00:00,0.9041,0.9041,0.9039,0.904
2022-03-20 16:00:00,0.9039,0.9041,0.9034,0.9039
2022-03-20 17:00:00,0.9038,0.9041,0.9034,0.9038
2022-03-20 18:00:00,0.9036,0.9044,0.9035,0.9041
2022-03-20 19:00:00,0.9042,0.905,0.904,0.905
2022-03-20 20:00:00,0.905,0.9052,0.9048,0.9049
2022-03-20 21:00:00,0.9048,0.905,0.9042,0.9049
2022-03-20 22:00:00,0.9048,0.9056,0.9046,0.9052
2022-03-20 23:00:00,0.9052,0.9058,0.9051,0.9055
2022-03-21 00:00:00,0.9055,0.9059,0.9052,0.9053
2022-03-21 01:00:00,0.9053,0.9055,0.9048,0.9054
2022-03-21 02:00:00,0.9054,0.9057,0.905,0.9055
2022-03-21 03:00:00,0.9054,0.9058,0.9052,0.9058
2022-03-21 04:00:00,0.9058,0.9064,0.9056,0.9061
2022-03-21 05:00:00,0.9061,0.9065,0.9059,0.9063
2022-03-21 06:00:00,0.9063,0.9068,0.905,0.9064
2022-03-21 07:00:00,0.9066,0.9068,0.9051,0.9054
2022-03-21 08:00:00,0.9054,0.9056,0.9047,0.9052
2022-03-21 09:00:00,0.9051,0.9054,0.9042,0.9049
2022-03-21 10:00:00,0.9049,0.906,0.8989,0.9058
2022-03-21 11:00:00,0.9058,0.9073,0.9026,0.9071
2022-03-21 12:00:00,0.9071,0.9072,0.9061,0.9066
2022-03-21 13:00:00,0.9068,0.9071,0.906,0.9069
2022-03-21 14:00:00,0.9069,0.9072,0.9061,0.9064
2022-03-21 15:00:00,0.9064,0.9066,0.9056,0.9061
2022-03-21 16:00:00,0.9061,0.9072,0.9055,0.9061
2022-03-21 17:00:00,0.9062,0.9079,0.906,0.9075
2022-03-21 18:00:00,0.9073,0.9083,0.9073,0.9083
2022-03-21 19:00:00,0.9083,0.9089,0.9079,0.9086
2022-03-21 20:00:00,0.9086,0.9086,0.9079,0.908
2022-03-21 21:00:00,0.9079,0.9083,0.9074,0.9078
2022-03-21 22:00:00,0.9078,0.9078,0.907,0.9073
2022-03-21 23:00:00,0.9076,0.9082,0.9073,0.9078
2022-03-22 00:00:00,0.9079,0.9105,0.9077,0.9105
2022-03-22 01:00:00,0.9104,0.9105,0.9096,0.9096
2022-03-22 02:00:00,0.9098,0.9101,0.9089,0.9089
2022-03-22 03:00:00,0.9089,0.9093,0.9084,0.9085
2022-03-22 04:00:00,0.9086,0.91,0.9086,0.91
2022-03-22 05:00:00,0.91,0.9103,0.9096,0.9101
2022-03-22 06:00:00,0.9101,0.912,0.9099,0.9117
2022-03-22 07:00:00,0.9115,0.9121,0.9108,0.9108
2022-03-22 08:00:00,0.9107,0.9112,0.9086,0.9086
2022-03-22 09:00:00,0.9085,0.91,0.908,0.9096
