datetime,LAZIOBUSD_open,LAZIOBUSD_high,LAZIOBUSD_low,LAZIOBUSD_close
2022-02-17 09:00:00,3.5015,3.5231,3.4575,3.4672
2022-02-17 10:00:00,3.4744,3.5086,3.3981,3.4395
2022-02-17 11:00:00,3.4352,3.4723,3.4294,3.4488
2022-02-17 12:00:00,3.4606,3.4606,3.4,3.4126
2022-02-17 13:00:00,3.4069,3.4311,3.3,3.3533
2022-02-17 14:00:00,3.3575,3.3589,3.3298,3.352
2022-02-17 15:00:00,3.3537,3.643,3.3081,3.3741
2022-02-17 16:00:00,3.3637,3.3637,3.2157,3.2925
2022-02-17 17:00:00,3.2925,3.2925,3.2453,3.2584
2022-02-17 18:00:00,3.2564,3.2572,3.2324,3.2324
2022-02-17 19:00:00,3.2205,3.2431,3.2045,3.213
2022-02-17 20:00:00,3.2241,3.2446,3.2001,3.2339
2022-02-17 21:00:00,3.2372,3.2425,3.232,3.2395
2022-02-17 22:00:00,3.2404,3.2498,3.2298,3.2477
2022-02-17 23:00:00,3.2497,3.2557,3.2434,3.2486
2022-02-18 00:00:00,3.2378,3.2703,3.2378,3.2584
2022-02-18 01:00:00,3.26,3.3081,3.2531,3.3077
2022-02-18 02:00:00,3.3169,3.3488,3.2808,3.2984
2022-02-18 03:00:00,3.3077,3.3077,3.2867,3.2889
2022-02-18 04:00:00,3.2988,3.3194,3.2884,3.2884
2022-02-18 05:00:00,3.2765,3.2806,3.2625,3.2625
2022-02-18 06:00:00,3.2626,3.2626,3.18,3.1965
2022-02-18 07:00:00,3.1925,3.2361,3.1916,3.2274
2022-02-18 08:00:00,3.2105,3.2219,3.2,3.2191
2022-02-18 09:00:00,3.2195,3.2195,3.1177,3.1676
2022-02-18 10:00:00,3.1996,3.1996,3.1134,3.1356
2022-02-18 11:00:00,3.1253,3.1437,3.0887,3.1131
2022-02-18 12:00:00,3.1186,3.1412,3.1186,3.1396
2022-02-18 13:00:00,3.1053,3.1387,3.1,3.121
2022-02-18 14:00:00,3.1365,3.1408,3.111,3.1189
2022-02-18 15:00:00,3.1406,3.1406,3.1107,3.1113
2022-02-18 16:00:00,3.1113,3.1383,3.09,3.1144
2022-02-18 17:00:00,3.1001,3.1165,3.0715,3.073
2022-02-18 18:00:00,3.0808,3.0976,3.0808,3.0963
2022-02-18 19:00:00,3.097,3.1088,3.0759,3.1088
2022-02-18 20:00:00,3.1111,3.122,3.0996,3.1097
2022-02-18 21:00:00,3.1199,3.12,3.0871,3.1066
2022-02-18 22:00:00,3.1073,3.1221,3.0926,3.0957
2022-02-18 23:00:00,3.0953,3.1099,3.0873,3.1099
2022-02-19 00:00:00,3.1097,3.15,3.1097,3.1117
2022-02-19 01:00:00,3.1206,3.1433,3.118,3.1427
2022-02-19 02:00:00,3.1425,3.1561,3.1316,3.1496
2022-02-19 03:00:00,3.1435,3.1496,3.1027,3.1177
2022-02-19 04:00:00,3.1055,3.1226,3.095,3.1038
2022-02-19 05:00:00,3.0992,3.1042,3.0735,3.0814
2022-02-19 06:00:00,3.0864,3.0935,3.009,3.0155
2022-02-19 07:00:00,3.0202,3.0243,3.0059,3.0114
2022-02-19 08:00:00,3.0082,3.0409,2.9732,3.0409
2022-02-19 09:00:00,3.0213,3.036,3.0122,3.036
2022-02-19 10:00:00,3.0213,3.0475,3.0186,3.0475
2022-02-19 11:00:00,3.0484,3.088,3.0411,3.0488
2022-02-19 12:00:00,3.0444,3.063,3.0322,3.063
2022-02-19 13:00:00,3.0506,3.0597,3.0505,3.0584
2022-02-19 14:00:00,3.0298,3.0421,3.0259,3.0259
2022-02-19 15:00:00,3.0259,3.0337,3.0167,3.0337
2022-02-19 16:00:00,3.0332,3.0333,3.0142,3.0221
2022-02-19 17:00:00,3.0097,3.027,3.009,3.02
2022-02-19 18:00:00,3.0271,3.0494,3.0271,3.0494
2022-02-19 19:00:00,3.0229,3.0229,3.0228,3.0228
2022-02-19 20:00:00,3.0142,3.0178,3.0019,3.0178
2022-02-19 21:00:00,3.0321,3.0321,2.98,2.98
2022-02-19 22:00:00,2.98,2.9912,2.9736,2.9784
2022-02-19 23:00:00,2.9765,2.9779,2.9359,2.9384
2022-02-20 00:00:00,2.9352,2.9478,2.9085,2.9086
2022-02-20 01:00:00,2.9149,2.9224,2.8654,2.8965
2022-02-20 02:00:00,2.8847,2.941,2.8846,2.9256
2022-02-20 03:00:00,2.9255,2.9362,2.8769,2.8769
2022-02-20 04:00:00,2.8836,2.9266,2.8687,2.909
2022-02-20 05:00:00,2.9122,2.9373,2.909,2.9192
2022-02-20 06:00:00,2.9127,2.9417,2.9003,2.9307
2022-02-20 07:00:00,2.9307,2.9535,2.9278,2.9303
2022-02-20 08:00:00,2.931,2.9422,2.9164,2.9343
2022-02-20 09:00:00,2.9274,2.9446,2.8609,2.8898
2022-02-20 10:00:00,2.8874,2.9026,2.8723,2.8971
2022-02-20 11:00:00,2.8983,2.9171,2.8882,2.8882
2022-02-20 12:00:00,2.893,2.9231,2.8878,2.9096
2022-02-20 13:00:00,2.9096,3.69,2.8878,3.5549
2022-02-20 14:00:00,3.5525,3.5914,3.1621,3.1778
2022-02-20 15:00:00,3.188,3.2758,3.1462,3.1616
2022-02-20 16:00:00,3.1586,3.2584,3.0543,3.0656
2022-02-20 17:00:00,3.0812,3.1012,3.0348,3.0782
2022-02-20 18:00:00,3.1012,3.1172,3.0121,3.0121
2022-02-20 19:00:00,3.0232,3.031,2.9875,3.031
2022-02-20 20:00:00,3.0517,3.0905,3.0517,3.0875
2022-02-20 21:00:00,3.0872,3.121,3.0533,3.1004
2022-02-20 22:00:00,3.0845,3.0851,3.0429,3.0501
2022-02-20 23:00:00,3.0505,3.2129,3.0429,3.1718
2022-02-21 00:00:00,3.1652,3.1652,3.0743,3.0946
2022-02-21 01:00:00,3.0912,3.1007,3.0521,3.1007
2022-02-21 02:00:00,3.1085,3.1169,3.0823,3.1073
2022-02-21 03:00:00,3.106,3.1144,3.0645,3.0844
2022-02-21 04:00:00,3.0828,3.0919,3.0527,3.0668
2022-02-21 05:00:00,3.078,3.0831,2.9902,3.0247
2022-02-21 06:00:00,3.0087,3.0243,2.9299,2.9637
2022-02-21 07:00:00,2.9704,3.2,2.9438,3.0283
2022-02-21 08:00:00,3.0402,3.0499,2.9443,2.9591
2022-02-21 09:00:00,2.9715,3.0523,2.9696,3.0254
2022-02-21 10:00:00,3.0254,3.0605,2.9977,2.9979
2022-02-21 11:00:00,2.9971,3.2348,2.9971,3.1504
2022-02-21 12:00:00,3.1322,3.1463,3.0586,3.1006
2022-02-21 13:00:00,3.1019,3.1019,2.98,3.0088
