datetime,STPTBUSD_open,STPTBUSD_high,STPTBUSD_low,STPTBUSD_close
2022-03-20 13:00:00,0.08891,0.08983,0.08879,0.08983
2022-03-20 14:00:00,0.08953,0.09073,0.08952,0.09
2022-03-20 15:00:00,0.09076,0.09076,0.09058,0.09059
2022-03-20 16:00:00,0.09022,0.09072,0.09022,0.09072
2022-03-20 17:00:00,0.09071,0.09085,0.08999,0.09085
2022-03-20 18:00:00,0.09085,0.0909,0.08999,0.08999
2022-03-20 19:00:00,0.09049,0.09164,0.09049,0.09072
2022-03-20 20:00:00,0.09126,0.09126,0.09023,0.09023
2022-03-20 21:00:00,0.09024,0.09024,0.08875,0.08881
2022-03-20 22:00:00,0.08881,0.08908,0.08831,0.08908
2022-03-20 23:00:00,0.08908,0.08949,0.08908,0.08949
2022-03-21 00:00:00,0.08953,0.08994,0.08945,0.08986
2022-03-21 01:00:00,0.08986,0.09034,0.08943,0.08943
2022-03-21 02:00:00,0.09,0.09014,0.08943,0.09013
2022-03-21 03:00:00,0.09017,0.09056,0.09017,0.09056
2022-03-21 04:00:00,0.09045,0.09053,0.08999,0.09053
2022-03-21 05:00:00,0.09048,0.09048,0.09048,0.09048
2022-03-21 06:00:00,0.09053,0.09066,0.09053,0.09053
2022-03-21 07:00:00,0.09005,0.09022,0.08888,0.0898
2022-03-21 08:00:00,0.09017,0.09052,0.08983,0.08983
2022-03-21 09:00:00,0.08966,0.0903,0.08927,0.0903
2022-03-21 10:00:00,0.08963,0.09024,0.08946,0.08986
2022-03-21 11:00:00,0.08996,0.09031,0.08963,0.08963
2022-03-21 12:00:00,0.08932,0.08932,0.08912,0.08912
2022-03-21 13:00:00,0.0898,0.08986,0.0895,0.0895
2022-03-21 14:00:00,0.08977,0.08977,0.08977,0.08977
2022-03-21 15:00:00,0.08977,0.08982,0.08977,0.08982
2022-03-21 16:00:00,0.09003,0.09034,0.09003,0.09034
2022-03-21 17:00:00,0.09026,0.09034,0.09026,0.09034
2022-03-21 18:00:00,0.09034,0.09034,0.08983,0.09032
2022-03-21 19:00:00,0.09006,0.09006,0.08963,0.09001
2022-03-21 20:00:00,0.09017,0.09033,0.08963,0.08963
2022-03-21 21:00:00,0.09016,0.09117,0.09016,0.0909
2022-03-21 22:00:00,0.09122,0.09196,0.09122,0.0914
2022-03-21 23:00:00,0.09178,0.09259,0.09178,0.09213
2022-03-22 00:00:00,0.09186,0.09215,0.09171,0.09215
2022-03-22 01:00:00,0.09175,0.09175,0.09081,0.09081
2022-03-22 02:00:00,0.09121,0.09163,0.09091,0.09163
2022-03-22 03:00:00,0.09161,0.09233,0.09161,0.09193
2022-03-22 04:00:00,0.09205,0.09205,0.0917,0.09198
2022-03-22 05:00:00,0.09169,0.09293,0.09142,0.09211
2022-03-22 06:00:00,0.09208,0.09256,0.09206,0.0924
2022-03-22 07:00:00,0.09237,0.09238,0.0915,0.09189
2022-03-22 08:00:00,0.09189,0.09203,0.09147,0.09203
2022-03-22 09:00:00,0.09155,0.09255,0.09155,0.09252
2022-03-22 10:00:00,0.09192,0.09192,0.09182,0.09182
2022-03-22 11:00:00,0.09235,0.09235,0.09235,0.09235
2022-03-22 12:00:00,0.09148,0.0915,0.09136,0.09136
2022-03-22 13:00:00,0.09136,0.09175,0.09129,0.09129
2022-03-22 14:00:00,0.09172,0.09172,0.09096,0.09124
2022-03-22 15:00:00,0.09085,0.09133,0.09085,0.09117
2022-03-22 16:00:00,0.09136,0.09201,0.09136,0.09201
2022-03-22 17:00:00,0.09236,0.09236,0.09229,0.09229
2022-03-22 18:00:00,0.09146,0.09186,0.09136,0.09186
2022-03-22 19:00:00,0.09201,0.09201,0.09146,0.09201
2022-03-22 20:00:00,0.09136,0.09136,0.0905,0.09101
2022-03-22 21:00:00,0.09101,0.0917,0.09101,0.09138
2022-03-22 22:00:00,0.09109,0.09109,0.09058,0.09058
2022-03-22 23:00:00,0.09058,0.09058,0.09022,0.09022
2022-03-23 00:00:00,0.09042,0.09046,0.09042,0.09046
2022-03-23 01:00:00,0.09071,0.09126,0.09071,0.09126
2022-03-23 02:00:00,0.09096,0.09096,0.09096,0.09096
2022-03-23 03:00:00,0.09136,0.09139,0.09136,0.09139
2022-03-23 04:00:00,0.09135,0.09135,0.09039,0.09097
2022-03-23 05:00:00,0.0909,0.0909,0.09055,0.09088
2022-03-23 06:00:00,0.09069,0.09069,0.09063,0.09063
2022-03-23 07:00:00,0.09085,0.09125,0.09062,0.09125
2022-03-23 08:00:00,0.09125,0.09126,0.09046,0.09046
2022-03-23 09:00:00,0.09125,0.09169,0.09109,0.0911
2022-03-23 10:00:00,0.0912,0.0924,0.0912,0.09196
2022-03-23 11:00:00,0.09196,0.09233,0.09178,0.09188
2022-03-23 12:00:00,0.09188,0.09193,0.09147,0.09147
2022-03-23 13:00:00,0.09172,0.09173,0.09172,0.09173
