datetime,MANABUSD_open,MANABUSD_high,MANABUSD_low,MANABUSD_close
2022-01-08 23:00:00,2.9522,2.9819,2.9508,2.9814
2022-01-09 00:00:00,2.9804,2.9878,2.9483,2.9554
2022-01-09 01:00:00,2.9562,2.9629,2.9344,2.9596
2022-01-09 02:00:00,2.9614,2.9678,2.9338,2.9358
2022-01-09 03:00:00,2.935,2.9525,2.8959,2.9112
2022-01-09 04:00:00,2.9113,3.0491,2.8948,2.9843
2022-01-09 05:00:00,2.9834,3.0236,2.9307,2.9489
2022-01-09 06:00:00,2.9508,2.9899,2.9487,2.9654
2022-01-09 07:00:00,2.9662,2.977,2.9387,2.9435
2022-01-09 08:00:00,2.9459,2.9555,2.8777,2.8797
2022-01-09 09:00:00,2.88,2.9218,2.88,2.9002
2022-01-09 10:00:00,2.8996,2.908,2.8401,2.8817
2022-01-09 11:00:00,2.8824,2.9562,2.8804,2.9539
2022-01-09 12:00:00,2.9539,2.9895,2.948,2.9767
2022-01-09 13:00:00,2.9784,3.0371,2.9651,2.9729
2022-01-09 14:00:00,2.9731,3.0348,2.9713,3.0257
2022-01-09 15:00:00,3.0275,3.0353,2.9966,3.0107
2022-01-09 16:00:00,3.0084,3.011,2.9749,2.9839
2022-01-09 17:00:00,2.9831,3.0,2.9553,2.9648
2022-01-09 18:00:00,2.9676,2.973,2.9252,2.9424
2022-01-09 19:00:00,2.9402,2.9739,2.9124,2.9134
2022-01-09 20:00:00,2.916,2.9329,2.8957,2.9114
2022-01-09 21:00:00,2.9118,2.9259,2.8881,2.9145
2022-01-09 22:00:00,2.9145,2.9224,2.9,2.9181
2022-01-09 23:00:00,2.918,2.9534,2.9113,2.9489
2022-01-10 00:00:00,2.9523,2.9529,2.9301,2.9413
2022-01-10 01:00:00,2.9405,2.9467,2.9214,2.9353
2022-01-10 02:00:00,2.9341,2.9545,2.9338,2.9491
2022-01-10 03:00:00,2.9482,2.9674,2.9124,2.9239
2022-01-10 04:00:00,2.923,2.9329,2.9065,2.9086
2022-01-10 05:00:00,2.9086,2.9299,2.8889,2.8912
2022-01-10 06:00:00,2.8913,2.8926,2.8505,2.8615
2022-01-10 07:00:00,2.8616,2.8693,2.7914,2.7936
2022-01-10 08:00:00,2.7929,2.8262,2.7564,2.768
2022-01-10 09:00:00,2.768,2.7849,2.6264,2.749
2022-01-10 10:00:00,2.7465,2.7591,2.6942,2.7314
2022-01-10 11:00:00,2.7326,2.8288,2.716,2.7844
2022-01-10 12:00:00,2.7843,2.8,2.6797,2.7226
2022-01-10 13:00:00,2.7249,2.7648,2.7194,2.7538
2022-01-10 14:00:00,2.7532,2.7748,2.7233,2.7326
2022-01-10 15:00:00,2.7346,2.7972,2.7233,2.7863
2022-01-10 16:00:00,2.7938,2.7996,2.7755,2.7922
2022-01-10 17:00:00,2.7969,2.807,2.7801,2.7955
2022-01-10 18:00:00,2.7953,2.8384,2.7861,2.81
2022-01-10 19:00:00,2.8133,2.8174,2.7726,2.7788
2022-01-10 20:00:00,2.7798,2.819,2.7676,2.8165
2022-01-10 21:00:00,2.8181,2.8525,2.8049,2.8299
2022-01-10 22:00:00,2.8304,2.8534,2.8176,2.8534
2022-01-10 23:00:00,2.8534,2.8563,2.8132,2.8238
2022-01-11 00:00:00,2.8254,2.8258,2.8033,2.8148
2022-01-11 01:00:00,2.8143,2.8386,2.7936,2.8037
2022-01-11 02:00:00,2.8043,2.82,2.7877,2.8191
2022-01-11 03:00:00,2.8192,2.8641,2.807,2.8113
2022-01-11 04:00:00,2.8144,2.8277,2.7965,2.8056
2022-01-11 05:00:00,2.8046,2.8181,2.7561,2.7593
2022-01-11 06:00:00,2.7563,2.7916,2.7562,2.7796
2022-01-11 07:00:00,2.7792,2.8196,2.7713,2.8054
2022-01-11 08:00:00,2.8067,2.9004,2.8042,2.8282
2022-01-11 09:00:00,2.8282,2.843,2.7639,2.8181
2022-01-11 10:00:00,2.8174,2.859,2.7986,2.8256
2022-01-11 11:00:00,2.8276,2.9148,2.8189,2.9009
2022-01-11 12:00:00,2.9026,2.9435,2.8616,2.9002
2022-01-11 13:00:00,2.8973,2.9184,2.8729,2.9044
2022-01-11 14:00:00,2.9036,2.9126,2.8836,2.9049
2022-01-11 15:00:00,2.905,2.9223,2.8931,2.9049
2022-01-11 16:00:00,2.9049,2.9049,2.8911,2.8994
2022-01-11 17:00:00,2.8975,2.9028,2.874,2.8964
2022-01-11 18:00:00,2.8952,2.9467,2.8924,2.9253
2022-01-11 19:00:00,2.9282,2.9661,2.9119,2.9446
2022-01-11 20:00:00,2.9438,2.9718,2.9309,2.9316
2022-01-11 21:00:00,2.932,2.9458,2.92,2.9263
2022-01-11 22:00:00,2.9258,2.9488,2.9176,2.9442
2022-01-11 23:00:00,2.9437,2.9634,2.9324,2.9429
2022-01-12 00:00:00,2.9429,2.9453,2.9241,2.9414
2022-01-12 01:00:00,2.9422,2.9751,2.9422,2.9607
2022-01-12 02:00:00,2.96,2.96,2.908,2.9379
2022-01-12 03:00:00,2.9363,2.9545,2.9321,2.941
2022-01-12 04:00:00,2.9392,2.9691,2.9352,2.9601
2022-01-12 05:00:00,2.9607,2.9776,2.9504,2.951
2022-01-12 06:00:00,2.9503,3.01,2.9386,2.9957
2022-01-12 07:00:00,2.9937,3.0649,2.9903,3.05
2022-01-12 08:00:00,3.0512,3.1064,3.0353,3.1
2022-01-12 09:00:00,3.0986,3.1023,3.0606,3.0827
2022-01-12 10:00:00,3.0837,3.084,3.0317,3.041
2022-01-12 11:00:00,3.0418,3.0747,3.0194,3.0743
2022-01-12 12:00:00,3.0743,3.0773,3.0539,3.0655
2022-01-12 13:00:00,3.0658,3.0664,3.048,3.0577
2022-01-12 14:00:00,3.0573,3.0685,3.0439,3.0653
2022-01-12 15:00:00,3.0666,3.0739,3.0518,3.0621
2022-01-12 16:00:00,3.062,3.0872,3.0572,3.0572
2022-01-12 17:00:00,3.0597,3.0774,3.0527,3.0713
2022-01-12 18:00:00,3.073,3.0985,3.0684,3.0878
2022-01-12 19:00:00,3.0874,3.1,3.0279,3.0419
2022-01-12 20:00:00,3.0423,3.0569,2.9874,2.993
2022-01-12 21:00:00,2.9927,3.0302,2.9923,3.0116
2022-01-12 22:00:00,3.0095,3.0212,2.9873,3.0144
2022-01-12 23:00:00,3.015,3.0406,3.015,3.0246
2022-01-13 00:00:00,3.0233,3.0425,3.0184,3.036
2022-01-13 01:00:00,3.0378,3.0549,3.0349,3.0399
2022-01-13 02:00:00,3.0397,3.059,3.0295,3.0462
2022-01-13 03:00:00,3.0465,3.0724,3.0412,3.0685
2022-01-13 04:00:00,3.0684,3.0721,3.0485,3.0554
2022-01-13 05:00:00,3.0571,3.0698,3.0454,3.0484
2022-01-13 06:00:00,3.0495,3.0537,3.005,3.0209
2022-01-13 07:00:00,3.0193,3.0892,3.0154,3.0841
2022-01-13 08:00:00,3.085,3.085,3.0485,3.0626
2022-01-13 09:00:00,3.0614,3.0885,3.043,3.068
2022-01-13 10:00:00,3.0713,3.0771,2.9361,2.9804
2022-01-13 11:00:00,2.9785,3.0062,2.9592,2.9708
2022-01-13 12:00:00,2.9704,2.9802,2.9226,2.9543
2022-01-13 13:00:00,2.9527,2.9647,2.9392,2.9469
2022-01-13 14:00:00,2.9457,2.962,2.9146,2.9352
2022-01-13 15:00:00,2.935,2.935,2.8915,2.9339
2022-01-13 16:00:00,2.9344,2.9413,2.9182,2.933
2022-01-13 17:00:00,2.9342,2.9387,2.9037,2.9064
2022-01-13 18:00:00,2.9044,2.925,2.8844,2.8994
2022-01-13 19:00:00,2.8996,2.9246,2.8655,2.917
2022-01-13 20:00:00,2.9176,2.9204,2.8909,2.8982
2022-01-13 21:00:00,2.8979,2.9106,2.8716,2.9095
2022-01-13 22:00:00,2.9082,2.9232,2.8935,2.9143
2022-01-13 23:00:00,2.9149,2.9556,2.9126,2.9202
2022-01-14 00:00:00,2.9209,2.9452,2.8974,2.9444
