datetime,VOXELBUSD_open,VOXELBUSD_high,VOXELBUSD_low,VOXELBUSD_close
2022-01-29 03:00:00,1.6392,1.6482,1.6152,1.6272
2022-01-29 04:00:00,1.6226,1.6412,1.5952,1.6167
2022-01-29 05:00:00,1.6159,1.6446,1.6129,1.6359
2022-01-29 06:00:00,1.6346,1.6346,1.6023,1.6151
2022-01-29 07:00:00,1.6094,1.6345,1.6094,1.6302
2022-01-29 08:00:00,1.6322,1.6445,1.6202,1.64
2022-01-29 09:00:00,1.6403,1.6447,1.5884,1.598
2022-01-29 10:00:00,1.5873,1.6054,1.5636,1.5702
2022-01-29 11:00:00,1.5621,1.5738,1.5533,1.5679
2022-01-29 12:00:00,1.569,1.5832,1.5571,1.5738
2022-01-29 13:00:00,1.5708,1.5749,1.5651,1.5748
2022-01-29 14:00:00,1.5744,1.5886,1.5698,1.5841
2022-01-29 15:00:00,1.584,1.6189,1.5708,1.5968
2022-01-29 16:00:00,1.5985,1.6189,1.5774,1.5868
2022-01-29 17:00:00,1.5867,1.5868,1.576,1.5819
2022-01-29 18:00:00,1.5771,1.5824,1.5752,1.5772
2022-01-29 19:00:00,1.5842,1.5996,1.5398,1.5451
2022-01-29 20:00:00,1.5412,1.5634,1.5412,1.559
2022-01-29 21:00:00,1.5612,1.579,1.5548,1.5725
2022-01-29 22:00:00,1.573,1.5836,1.5624,1.5624
2022-01-29 23:00:00,1.5626,1.567,1.5599,1.5601
2022-01-30 00:00:00,1.5664,1.5829,1.559,1.5796
2022-01-30 01:00:00,1.5777,1.5834,1.5733,1.5827
2022-01-30 02:00:00,1.5827,1.6057,1.5827,1.6057
2022-01-30 03:00:00,1.6074,1.6122,1.58,1.58
2022-01-30 04:00:00,1.5785,1.5862,1.565,1.5732
2022-01-30 05:00:00,1.5788,1.5899,1.5734,1.5878
2022-01-30 06:00:00,1.5878,1.5937,1.5787,1.5801
2022-01-30 07:00:00,1.5811,1.5811,1.5236,1.5309
2022-01-30 08:00:00,1.53,1.5392,1.5002,1.5098
2022-01-30 09:00:00,1.5098,1.5134,1.46,1.4975
2022-01-30 10:00:00,1.496,1.5155,1.496,1.5075
2022-01-30 11:00:00,1.5075,1.5159,1.4946,1.4978
2022-01-30 12:00:00,1.4978,1.5031,1.491,1.4966
2022-01-30 13:00:00,1.495,1.5031,1.4665,1.4724
2022-01-30 14:00:00,1.4686,1.4686,1.4527,1.4641
2022-01-30 15:00:00,1.4641,1.4749,1.4541,1.4692
2022-01-30 16:00:00,1.4694,1.477,1.4613,1.4699
2022-01-30 17:00:00,1.4699,1.4827,1.4699,1.4827
2022-01-30 18:00:00,1.4864,1.512,1.479,1.4825
2022-01-30 19:00:00,1.4819,1.4819,1.4543,1.4543
2022-01-30 20:00:00,1.454,1.4641,1.4516,1.4601
2022-01-30 21:00:00,1.4573,1.4729,1.4516,1.4694
