datetime,ETHTUSD_open,ETHTUSD_high,ETHTUSD_low,ETHTUSD_close
2022-03-21 22:00:00,2974.55,3030.0,2972.01,3006.63
2022-03-21 23:00:00,3015.74,3050.75,3011.78,3029.0
2022-03-22 00:00:00,3018.38,3021.03,3015.95,3016.4
2022-03-22 01:00:00,3012.25,3012.25,2969.65,2981.74
2022-03-22 02:00:00,2984.19,2994.63,2984.19,2989.72
2022-03-22 03:00:00,2995.72,3025.1,2995.72,3014.95
2022-03-22 04:00:00,3011.35,3012.9,3001.81,3009.15
2022-03-22 05:00:00,3008.13,3021.32,3002.85,3021.32
2022-03-22 06:00:00,3022.56,3025.42,3017.3,3022.89
2022-03-22 07:00:00,3022.29,3024.79,3006.17,3006.17
2022-03-22 08:00:00,3003.75,3012.64,2982.0,3004.41
2022-03-22 09:00:00,3006.0,3024.79,3000.01,3009.96
2022-03-22 10:00:00,3012.07,3018.4,3000.02,3004.52
2022-03-22 11:00:00,3005.32,3013.11,2994.8,2998.14
2022-03-22 12:00:00,3006.34,3012.2,3002.01,3004.17
2022-03-22 13:00:00,3004.2,3010.3,2993.0,2996.92
2022-03-22 14:00:00,3004.19,3013.22,2982.79,2982.79
2022-03-22 15:00:00,2993.56,3006.05,2993.56,3006.05
2022-03-22 16:00:00,3006.4,3015.95,3006.29,3015.22
2022-03-22 17:00:00,3013.07,3014.51,2993.99,2995.94
2022-03-22 18:00:00,2999.45,3000.21,2961.84,2968.74
2022-03-22 19:00:00,2968.84,2971.03,2964.19,2966.76
2022-03-22 20:00:00,2971.9,2971.9,2932.49,2958.81
2022-03-22 21:00:00,2957.98,2993.0,2955.71,2981.47
2022-03-22 22:00:00,2977.83,2977.83,2933.13,2933.13
2022-03-22 23:00:00,2950.38,2958.67,2920.65,2938.07
2022-03-23 00:00:00,2937.15,2951.26,2937.15,2949.26
2022-03-23 01:00:00,2945.58,2962.95,2945.58,2961.69
2022-03-23 02:00:00,2958.42,2958.42,2943.7,2948.6
2022-03-23 03:00:00,2952.06,2960.92,2941.6,2958.06
2022-03-23 04:00:00,2960.01,2960.01,2924.6,2953.24
2022-03-23 05:00:00,2953.24,2969.12,2953.24,2961.09
2022-03-23 06:00:00,2961.54,2961.54,2944.39,2949.98
2022-03-23 07:00:00,2942.21,2966.97,2942.21,2965.72
2022-03-23 08:00:00,2967.52,2967.52,2950.05,2951.51
2022-03-23 09:00:00,2966.97,3003.91,2966.97,3003.91
2022-03-23 10:00:00,3013.22,3038.85,3003.49,3038.85
2022-03-23 11:00:00,3035.45,3041.33,3006.63,3016.47
2022-03-23 12:00:00,3010.82,3010.82,2960.47,2961.83
2022-03-23 13:00:00,2963.05,2975.33,2956.85,2965.02
2022-03-23 14:00:00,2956.24,2976.16,2956.24,2964.45
2022-03-23 15:00:00,2963.54,2986.82,2963.18,2983.42
2022-03-23 16:00:00,2980.27,3007.32,2975.92,3004.05
2022-03-23 17:00:00,3001.07,3013.22,3000.99,3006.04
2022-03-23 18:00:00,3003.58,3038.18,2995.59,3036.0
2022-03-23 19:00:00,3038.52,3078.32,3030.93,3057.68
2022-03-23 20:00:00,3044.08,3045.91,3014.6,3025.9
2022-03-23 21:00:00,3029.52,3035.75,3006.63,3035.75
2022-03-23 22:00:00,3036.22,3041.33,3019.03,3019.57
2022-03-23 23:00:00,3020.54,3030.98,3015.95,3028.75
2022-03-24 00:00:00,3027.46,3053.03,3020.27,3048.95
2022-03-24 01:00:00,3051.31,3069.69,3043.35,3055.17
2022-03-24 02:00:00,3058.14,3058.24,3036.27,3039.91
