datetime,BTCUSDC_open,BTCUSDC_high,BTCUSDC_low,BTCUSDC_close
2022-01-07 12:00:00,42290.42,42481.37,42269.39,42407.69
2022-01-07 13:00:00,42408.08,42719.71,41211.84,41461.41
2022-01-07 14:00:00,41527.55,42106.21,41394.63,41887.99
2022-01-07 15:00:00,41904.11,42891.0,40610.62,41316.87
2022-01-07 16:00:00,41314.8,42312.75,40927.94,42146.03
2022-01-07 17:00:00,42142.37,42153.45,41773.66,41976.44
2022-01-07 18:00:00,41967.1,41994.49,41539.22,41737.74
2022-01-07 19:00:00,41730.5,41880.68,41527.43,41756.64
2022-01-07 20:00:00,41774.9,42050.72,41599.08,41895.46
2022-01-07 21:00:00,41913.33,42023.83,41849.74,41877.47
2022-01-07 22:00:00,41826.8,41858.79,41372.09,41501.74
2022-01-07 23:00:00,41501.74,41593.13,41344.06,41543.27
2022-01-08 00:00:00,41591.77,42101.46,41557.97,41994.13
2022-01-08 01:00:00,41993.33,42235.8,41851.31,41886.65
2022-01-08 02:00:00,41881.9,41931.95,41700.0,41869.12
2022-01-08 03:00:00,41869.12,41904.39,41653.26,41797.93
2022-01-08 04:00:00,41821.03,41973.36,41756.16,41885.97
2022-01-08 05:00:00,41874.01,41990.34,41842.29,41959.25
2022-01-08 06:00:00,41954.69,41991.61,41750.0,41903.62
2022-01-08 07:00:00,41912.23,41967.86,41851.13,41940.64
2022-01-08 08:00:00,41931.93,42175.15,41890.76,41966.73
2022-01-08 09:00:00,42009.41,42170.8,41978.55,42170.8
2022-01-08 10:00:00,42178.37,42189.07,41820.4,41914.66
2022-01-08 11:00:00,41924.53,41972.64,41763.57,41937.87
2022-01-08 12:00:00,41937.87,42033.03,41774.91,41886.12
2022-01-08 13:00:00,41876.0,42027.64,41635.31,41919.16
2022-01-08 14:00:00,41919.98,41986.86,41720.95,41743.94
2022-01-08 15:00:00,41750.3,41799.12,41439.43,41619.9
2022-01-08 16:00:00,41603.3,41734.13,41220.89,41290.97
2022-01-08 17:00:00,41294.28,41373.45,40810.67,40810.67
2022-01-08 18:00:00,40828.43,41307.25,40572.94,40675.99
2022-01-08 19:00:00,40668.23,41065.43,40513.95,40803.85
2022-01-08 20:00:00,40831.13,41165.25,40723.47,40948.8
2022-01-08 21:00:00,40974.32,42050.72,40974.32,41786.97
2022-01-08 22:00:00,41761.92,42314.27,41760.6,41941.16
2022-01-08 23:00:00,41954.91,41954.91,41666.45,41689.06
2022-01-09 00:00:00,41670.7,41820.07,41399.8,41765.23
2022-01-09 01:00:00,41770.45,41916.46,41615.13,41815.13
2022-01-09 02:00:00,41832.33,42184.58,41796.27,42103.91
2022-01-09 03:00:00,42103.12,42103.12,41800.0,41836.67
2022-01-09 04:00:00,41838.5,42103.98,41819.15,42103.09
2022-01-09 05:00:00,42099.06,42099.06,41719.91,41777.19
2022-01-09 06:00:00,41780.49,41950.1,41685.24,41894.69
2022-01-09 07:00:00,41890.74,41907.99,41784.77,41799.43
2022-01-09 08:00:00,41833.25,41932.7,41619.55,41713.48
2022-01-09 09:00:00,41695.51,41757.32,41474.07,41513.99
2022-01-09 10:00:00,41534.66,41718.52,41412.6,41648.35
2022-01-09 11:00:00,41695.13,41973.81,41695.13,41871.01
2022-01-09 12:00:00,41919.39,41919.39,41684.96,41741.54
2022-01-09 13:00:00,41720.58,41883.36,41474.52,41486.61
2022-01-09 14:00:00,41528.33,41756.02,41488.0,41536.97
2022-01-09 15:00:00,41552.33,41687.38,41206.06,41620.79
2022-01-09 16:00:00,41620.79,42177.54,41563.22,42176.06
2022-01-09 17:00:00,42153.7,42202.93,41895.01,42092.57
2022-01-09 18:00:00,42098.47,42288.04,41914.96,41958.21
2022-01-09 19:00:00,41964.05,42750.0,41964.05,42741.79
2022-01-09 20:00:00,42745.35,42796.25,42385.1,42444.99
2022-01-09 21:00:00,42431.48,42538.23,42301.89,42315.96
2022-01-09 22:00:00,42325.17,42485.04,42103.9,42212.27
2022-01-09 23:00:00,42227.16,42292.44,41783.65,41864.45
2022-01-10 00:00:00,41857.2,42034.14,41625.3,41635.79
2022-01-10 01:00:00,41637.54,41852.11,41605.39,41800.55
2022-01-10 02:00:00,41810.41,42010.45,41736.05,41933.0
2022-01-10 03:00:00,41914.14,41999.32,41868.81,41987.52
2022-01-10 04:00:00,41971.3,42262.62,41929.02,42210.14
2022-01-10 05:00:00,42231.52,42231.52,41970.0,42004.02
2022-01-10 06:00:00,42011.98,42044.02,41842.21,41942.15
2022-01-10 07:00:00,41928.96,42151.6,41916.65,42063.05
2022-01-10 08:00:00,42091.64,42118.84,41728.61,41808.83
2022-01-10 09:00:00,41837.79,41941.79,41720.79,41804.6
2022-01-10 10:00:00,41792.9,41983.79,41764.8,41792.78
2022-01-10 11:00:00,41796.05,41798.47,41463.78,41560.97
2022-01-10 12:00:00,41570.9,41599.55,40933.8,40969.0
2022-01-10 13:00:00,40958.23,41050.39,40730.09,40765.78
2022-01-10 14:00:00,40778.6,41256.11,39658.92,40796.6
2022-01-10 15:00:00,40778.96,41207.38,40580.97,40988.66
