datetime,ETHUSDT_open,ETHUSDT_high,ETHUSDT_low,ETHUSDT_close
2022-03-02 03:00:00,2947.33,3028.6,2939.58,3021.69
2022-03-02 04:00:00,3017.88,3044.99,2984.81,2998.6
2022-03-02 05:00:00,2996.4,3008.26,2976.66,2998.18
2022-03-02 06:00:00,2999.09,3001.54,2961.88,2967.99
2022-03-02 07:00:00,2968.56,2980.0,2955.87,2967.37
2022-03-02 08:00:00,2970.68,3007.58,2950.83,2974.92
2022-03-02 09:00:00,2974.8,3004.75,2970.97,2991.3
2022-03-02 10:00:00,2992.6,3026.53,2986.98,3005.58
2022-03-02 11:00:00,3006.45,3007.34,2988.09,3004.03
2022-03-02 12:00:00,3001.81,3026.9,2948.6,2987.5
2022-03-02 13:00:00,2984.63,2991.44,2925.58,2941.85
2022-03-02 14:00:00,2943.14,3029.41,2943.14,3012.1
2022-03-02 15:00:00,3012.9,3035.02,2946.61,2951.31
2022-03-02 16:00:00,2950.55,3067.45,2943.19,2963.64
2022-03-02 17:00:00,2961.7,2979.42,2945.16,2951.75
2022-03-02 18:00:00,2952.44,2964.96,2918.34,2925.95
2022-03-02 19:00:00,2925.12,2941.49,2914.21,2932.82
2022-03-02 20:00:00,2933.3,2951.32,2928.67,2949.8
2022-03-02 21:00:00,2948.76,2979.25,2940.05,2973.8
2022-03-02 22:00:00,2973.96,2988.26,2956.39,2956.94
2022-03-02 23:00:00,2956.6,2968.12,2944.0,2944.0
2022-03-03 00:00:00,2943.57,2970.8,2931.26,2966.07
2022-03-03 01:00:00,2965.27,2966.34,2939.06,2944.86
2022-03-03 02:00:00,2947.54,2947.54,2917.65,2932.81
2022-03-03 03:00:00,2932.55,2933.83,2887.64,2892.61
2022-03-03 04:00:00,2897.16,2909.49,2887.92,2900.5
2022-03-03 05:00:00,2904.18,2913.07,2894.71,2898.74
2022-03-03 06:00:00,2902.09,2915.68,2871.68,2914.78
2022-03-03 07:00:00,2913.59,2920.83,2899.72,2906.2
2022-03-03 08:00:00,2907.45,2916.88,2895.9,2906.33
2022-03-03 09:00:00,2906.37,2906.37,2881.29,2886.45
2022-03-03 10:00:00,2885.89,2911.71,2878.29,2906.59
2022-03-03 11:00:00,2906.3,2933.8,2904.48,2912.42
2022-03-03 12:00:00,2911.71,2930.53,2904.34,2913.92
2022-03-03 13:00:00,2916.19,2930.87,2910.94,2929.32
2022-03-03 14:00:00,2929.29,2934.74,2879.47,2887.4
