datetime,WBTCUSD_open,WBTCUSD_high,WBTCUSD_low,WBTCUSD_close
2022-02-19 02:00:00,40161.45,40218.11,40132.92,40204.86
2022-02-19 03:00:00,40246.45,40246.45,40093.09,40156.28
2022-02-19 04:00:00,40189.79,40303.2,40141.83,40239.1
2022-02-19 05:00:00,40260.61,40277.32,40189.76,40263.2
2022-02-19 06:00:00,40267.59,40445.42,40267.59,40393.01
2022-02-19 07:00:00,40406.52,40436.96,40278.9,40318.4
2022-02-19 08:00:00,40328.35,40328.35,39931.04,39963.88
2022-02-19 09:00:00,40048.47,40063.43,39931.03,39943.63
2022-02-19 10:00:00,39976.22,39997.64,39823.36,39992.08
2022-02-19 11:00:00,39999.68,40020.26,39683.33,39767.29
2022-02-19 12:00:00,39739.28,39963.91,39711.29,39711.29
2022-02-19 13:00:00,39732.73,40048.47,39683.33,39992.05
2022-02-19 14:00:00,39963.88,39963.88,39793.45,39879.51
2022-02-19 15:00:00,39851.42,40028.81,39824.41,40019.21
2022-02-19 16:00:00,39995.16,40343.74,39907.61,39992.08
2022-02-19 17:00:00,40020.26,40187.54,39992.05,40114.44
2022-02-19 18:00:00,40124.27,40200.21,40066.05,40148.34
2022-02-19 19:00:00,40076.66,40077.45,39935.74,39985.91
2022-02-19 20:00:00,40048.47,40115.27,40029.96,40059.07
2022-02-19 21:00:00,40036.32,40082.0,39823.36,39927.43
2022-02-19 22:00:00,39954.33,40048.9,39881.5,40034.6
2022-02-19 23:00:00,39992.05,40156.28,39992.05,40156.28
2022-02-20 00:00:00,40156.28,40156.28,39907.05,39935.43
2022-02-20 01:00:00,39879.51,40020.26,39843.68,39974.42
2022-02-20 02:00:00,39946.5,39992.16,39830.2,39859.61
2022-02-20 03:00:00,39874.46,39892.93,39739.28,39798.52
2022-02-20 04:00:00,39767.29,39787.15,39515.94,39562.71
2022-02-20 05:00:00,39578.13,39683.35,39310.34,39349.25
2022-02-20 06:00:00,39339.21,39379.19,38744.08,38801.85
2022-02-20 07:00:00,38771.38,38880.83,38607.84,38777.26
2022-02-20 08:00:00,38744.08,38826.08,38121.35,38121.35
2022-02-20 09:00:00,38175.13,38417.95,38036.58,38280.51
2022-02-20 10:00:00,38269.67,38400.11,38175.1,38188.1
2022-02-20 11:00:00,38175.1,38396.3,38067.55,38396.3
2022-02-20 12:00:00,38417.95,38607.87,38228.92,38253.69
2022-02-20 13:00:00,38243.4,38312.97,38193.01,38193.01
2022-02-20 14:00:00,38217.69,38282.86,38040.86,38259.65
2022-02-20 15:00:00,38282.86,38417.95,38184.26,38369.77
2022-02-20 16:00:00,38336.8,38504.84,38277.6,38282.83
2022-02-20 17:00:00,38284.03,38451.02,38255.87,38270.0
2022-02-20 18:00:00,38260.0,38483.38,38200.0,38426.56
2022-02-20 19:00:00,38429.57,38443.1,38356.34,38383.88
2022-02-20 20:00:00,38383.88,38391.17,38282.83,38340.42
2022-02-20 21:00:00,38318.68,38365.59,38067.67,38282.86
