datetime,ADAUSD_open,ADAUSD_high,ADAUSD_low,ADAUSD_close
2022-01-30 21:00:00,1.0391,1.0405,1.0276,1.0354
2022-01-30 22:00:00,1.0356,1.0389,1.0316,1.0369
2022-01-30 23:00:00,1.0368,1.0499,1.0336,1.0359
2022-01-31 00:00:00,1.0362,1.0383,1.0122,1.0172
2022-01-31 01:00:00,1.0174,1.0238,1.015,1.0153
2022-01-31 02:00:00,1.0156,1.0268,1.01,1.0252
2022-01-31 03:00:00,1.0252,1.027,1.0181,1.0217
2022-01-31 04:00:00,1.0218,1.0229,1.0111,1.0129
2022-01-31 05:00:00,1.0132,1.02,1.0105,1.019
2022-01-31 06:00:00,1.0188,1.023,1.0162,1.0164
2022-01-31 07:00:00,1.0162,1.0259,1.015,1.024
2022-01-31 08:00:00,1.0239,1.0262,1.0209,1.0227
2022-01-31 09:00:00,1.0228,1.0253,1.0187,1.0234
2022-01-31 10:00:00,1.0234,1.0252,1.0182,1.0237
2022-01-31 11:00:00,1.0235,1.0273,1.0134,1.0237
2022-01-31 12:00:00,1.0237,1.0287,1.0127,1.0195
2022-01-31 13:00:00,1.0194,1.0256,1.0135,1.0232
2022-01-31 14:00:00,1.0233,1.0254,1.0171,1.0232
2022-01-31 15:00:00,1.0232,1.0392,1.0232,1.0358
2022-01-31 16:00:00,1.0361,1.0549,1.0324,1.0529
2022-01-31 17:00:00,1.0534,1.0596,1.0454,1.0492
2022-01-31 18:00:00,1.0492,1.0532,1.0435,1.0493
2022-01-31 19:00:00,1.0493,1.0542,1.0429,1.0438
2022-01-31 20:00:00,1.0439,1.0475,1.0384,1.0467
2022-01-31 21:00:00,1.0467,1.0556,1.0448,1.0481
2022-01-31 22:00:00,1.0482,1.0546,1.047,1.0495
2022-01-31 23:00:00,1.0496,1.0551,1.0465,1.0524
2022-02-01 00:00:00,1.0525,1.0575,1.0436,1.045
2022-02-01 01:00:00,1.0449,1.0479,1.0402,1.0441
2022-02-01 02:00:00,1.0444,1.0463,1.0352,1.0459
2022-02-01 03:00:00,1.046,1.0576,1.044,1.0575
2022-02-01 04:00:00,1.0573,1.0642,1.0512,1.0544
2022-02-01 05:00:00,1.0544,1.0584,1.051,1.053
