datetime,ETHBUSD_open,ETHBUSD_high,ETHBUSD_low,ETHBUSD_close
2022-01-09 14:00:00,3169.49,3208.6,3163.88,3204.07
2022-01-09 15:00:00,3204.13,3211.29,3193.22,3195.79
2022-01-09 16:00:00,3195.79,3204.55,3184.67,3189.1
2022-01-09 17:00:00,3189.26,3199.95,3173.62,3179.31
2022-01-09 18:00:00,3179.41,3185.27,3145.03,3151.69
2022-01-09 19:00:00,3152.37,3170.45,3135.7,3137.73
2022-01-09 20:00:00,3137.14,3152.84,3127.78,3151.51
2022-01-09 21:00:00,3151.5,3159.83,3142.01,3154.3
2022-01-09 22:00:00,3154.31,3157.7,3147.93,3155.48
2022-01-09 23:00:00,3154.94,3183.6,3152.07,3175.31
2022-01-10 00:00:00,3175.31,3181.13,3168.12,3174.01
2022-01-10 01:00:00,3174.01,3175.51,3155.8,3162.07
2022-01-10 02:00:00,3162.07,3175.56,3155.39,3163.37
2022-01-10 03:00:00,3163.38,3169.88,3138.82,3145.47
2022-01-10 04:00:00,3145.55,3159.74,3141.29,3146.62
2022-01-10 05:00:00,3146.61,3167.98,3138.5,3139.1
2022-01-10 06:00:00,3139.11,3140.38,3094.85,3104.84
2022-01-10 07:00:00,3104.85,3110.69,3031.63,3032.36
2022-01-10 08:00:00,3032.14,3047.89,3012.23,3021.47
2022-01-10 09:00:00,3021.47,3041.05,2928.63,3018.98
2022-01-10 10:00:00,3018.77,3032.52,2980.59,3006.17
2022-01-10 11:00:00,3006.27,3094.69,2997.0,3076.09
2022-01-10 12:00:00,3076.09,3083.54,2971.39,3012.32
2022-01-10 13:00:00,3012.0,3059.97,3003.65,3043.53
2022-01-10 14:00:00,3043.52,3056.79,3020.41,3030.0
2022-01-10 15:00:00,3030.22,3088.0,3020.0,3082.12
2022-01-10 16:00:00,3082.48,3095.5,3066.01,3074.75
2022-01-10 17:00:00,3074.72,3085.0,3056.91,3063.11
2022-01-10 18:00:00,3063.1,3088.18,3055.0,3082.42
2022-01-10 19:00:00,3082.7,3086.88,3054.69,3054.7
2022-01-10 20:00:00,3054.7,3091.65,3052.37,3091.65
2022-01-10 21:00:00,3091.65,3128.9,3086.05,3115.81
2022-01-10 22:00:00,3115.81,3123.33,3107.12,3119.99
2022-01-10 23:00:00,3119.99,3124.62,3106.6,3118.46
2022-01-11 00:00:00,3118.45,3119.54,3101.86,3111.06
2022-01-11 01:00:00,3110.96,3122.6,3098.03,3108.0
2022-01-11 02:00:00,3108.0,3136.32,3105.89,3129.54
2022-01-11 03:00:00,3129.55,3146.17,3103.25,3107.76
2022-01-11 04:00:00,3107.87,3133.44,3097.74,3123.17
2022-01-11 05:00:00,3123.17,3132.81,3089.06,3094.0
2022-01-11 06:00:00,3094.2,3120.32,3092.36,3111.48
2022-01-11 07:00:00,3111.47,3135.32,3105.04,3122.0
2022-01-11 08:00:00,3122.01,3131.38,3107.12,3113.56
2022-01-11 09:00:00,3113.55,3122.41,3075.84,3115.66
2022-01-11 10:00:00,3115.66,3157.64,3111.18,3134.0
2022-01-11 11:00:00,3134.15,3237.28,3130.22,3219.61
2022-01-11 12:00:00,3219.71,3263.99,3201.19,3232.11
2022-01-11 13:00:00,3232.65,3250.49,3221.88,3234.0
2022-01-11 14:00:00,3234.31,3246.7,3217.8,3238.12
2022-01-11 15:00:00,3238.12,3249.2,3233.94,3240.46
2022-01-11 16:00:00,3240.62,3243.83,3227.25,3231.51
2022-01-11 17:00:00,3231.51,3237.82,3224.6,3233.27
2022-01-11 18:00:00,3233.27,3249.2,3230.18,3240.72
2022-01-11 19:00:00,3240.58,3260.6,3225.3,3234.02
2022-01-11 20:00:00,3234.26,3241.16,3226.57,3232.14
2022-01-11 21:00:00,3231.72,3238.66,3218.04,3229.02
2022-01-11 22:00:00,3229.02,3240.0,3225.61,3235.34
2022-01-11 23:00:00,3235.34,3244.0,3220.4,3228.57
2022-01-12 00:00:00,3228.57,3233.69,3222.27,3230.77
2022-01-12 01:00:00,3230.77,3262.32,3226.76,3236.07
2022-01-12 02:00:00,3235.81,3239.66,3206.76,3217.75
2022-01-12 03:00:00,3217.75,3241.4,3215.91,3232.72
2022-01-12 04:00:00,3232.81,3275.67,3230.02,3262.58
2022-01-12 05:00:00,3262.41,3270.79,3245.81,3249.51
2022-01-12 06:00:00,3249.46,3296.1,3241.0,3273.22
2022-01-12 07:00:00,3273.23,3328.35,3269.3,3317.69
2022-01-12 08:00:00,3317.69,3379.19,3302.08,3372.02
2022-01-12 09:00:00,3372.02,3384.75,3351.8,3376.91
2022-01-12 10:00:00,3376.92,3388.63,3352.9,3362.68
2022-01-12 11:00:00,3363.08,3374.98,3336.0,3371.69
2022-01-12 12:00:00,3371.35,3389.29,3361.06,3382.29
2022-01-12 13:00:00,3382.6,3394.0,3367.53,3373.48
2022-01-12 14:00:00,3373.48,3385.0,3363.6,3383.26
2022-01-12 15:00:00,3383.27,3393.89,3367.3,3382.43
2022-01-12 16:00:00,3382.78,3412.11,3367.34,3367.87
2022-01-12 17:00:00,3367.63,3381.77,3363.56,3363.57
2022-01-12 18:00:00,3363.57,3386.3,3357.29,3372.96
2022-01-12 19:00:00,3372.58,3385.87,3350.0,3355.09
2022-01-12 20:00:00,3355.08,3363.51,3332.56,3334.85
2022-01-12 21:00:00,3334.85,3348.04,3332.44,3336.8
