datetime,ROSEBUSD_open,ROSEBUSD_high,ROSEBUSD_low,ROSEBUSD_close
2022-01-14 13:00:00,0.53993,0.55419,0.53879,0.54963
2022-01-14 14:00:00,0.55,0.5713,0.5453,0.56482
2022-01-14 15:00:00,0.56432,0.569,0.55434,0.56772
2022-01-14 16:00:00,0.5674,0.57956,0.5674,0.57293
2022-01-14 17:00:00,0.57251,0.58103,0.56333,0.56785
2022-01-14 18:00:00,0.56781,0.5731,0.56301,0.56493
2022-01-14 19:00:00,0.56574,0.56883,0.55393,0.56843
2022-01-14 20:00:00,0.5686,0.58932,0.56695,0.58822
2022-01-14 21:00:00,0.5882,0.59575,0.585,0.58809
2022-01-14 22:00:00,0.58829,0.598,0.58134,0.58361
2022-01-14 23:00:00,0.58367,0.58712,0.57348,0.57763
2022-01-15 00:00:00,0.57703,0.58564,0.575,0.57987
2022-01-15 01:00:00,0.58028,0.58935,0.57613,0.58699
2022-01-15 02:00:00,0.587,0.59529,0.58098,0.59107
2022-01-15 03:00:00,0.59149,0.59149,0.57552,0.57583
2022-01-15 04:00:00,0.57559,0.58073,0.56719,0.57822
2022-01-15 05:00:00,0.57752,0.585,0.57522,0.57554
2022-01-15 06:00:00,0.57554,0.5775,0.56605,0.571
2022-01-15 07:00:00,0.57087,0.57505,0.55953,0.57291
2022-01-15 08:00:00,0.57266,0.57988,0.56796,0.57882
2022-01-15 09:00:00,0.57893,0.58158,0.567,0.56926
2022-01-15 10:00:00,0.56989,0.57043,0.55882,0.56943
2022-01-15 11:00:00,0.5692,0.57426,0.56463,0.57209
2022-01-15 12:00:00,0.5719,0.57392,0.5661,0.56728
2022-01-15 13:00:00,0.56759,0.56775,0.56145,0.56625
2022-01-15 14:00:00,0.56632,0.57594,0.56547,0.57228
2022-01-15 15:00:00,0.57233,0.5825,0.56827,0.5825
2022-01-15 16:00:00,0.5825,0.5827,0.56707,0.56871
2022-01-15 17:00:00,0.56898,0.57063,0.56385,0.56486
2022-01-15 18:00:00,0.56393,0.57,0.563,0.5658
2022-01-15 19:00:00,0.5659,0.56766,0.5566,0.55785
2022-01-15 20:00:00,0.55821,0.56215,0.54869,0.55289
2022-01-15 21:00:00,0.5524,0.55708,0.5507,0.55332
2022-01-15 22:00:00,0.55352,0.5574,0.54418,0.55538
2022-01-15 23:00:00,0.55508,0.5614,0.55381,0.55999
2022-01-16 00:00:00,0.56,0.565,0.55312,0.55508
2022-01-16 01:00:00,0.55478,0.5615,0.55442,0.561
2022-01-16 02:00:00,0.561,0.56395,0.55526,0.55526
2022-01-16 03:00:00,0.55526,0.55659,0.54425,0.54425
2022-01-16 04:00:00,0.54442,0.55387,0.54304,0.55163
2022-01-16 05:00:00,0.55155,0.55317,0.52723,0.532
2022-01-16 06:00:00,0.53175,0.5376,0.52842,0.53568
2022-01-16 07:00:00,0.53568,0.54019,0.52801,0.5334
2022-01-16 08:00:00,0.53339,0.5367,0.5254,0.53351
2022-01-16 09:00:00,0.53372,0.54456,0.53354,0.54124
2022-01-16 10:00:00,0.54151,0.54233,0.53486,0.53703
2022-01-16 11:00:00,0.53628,0.54132,0.53558,0.54077
2022-01-16 12:00:00,0.54071,0.54562,0.537,0.537
2022-01-16 13:00:00,0.53707,0.53889,0.5278,0.53038
2022-01-16 14:00:00,0.53038,0.53173,0.52127,0.52645
2022-01-16 15:00:00,0.52698,0.52886,0.52293,0.52572
2022-01-16 16:00:00,0.52587,0.5274,0.52201,0.52452
2022-01-16 17:00:00,0.52451,0.53011,0.51949,0.5195
2022-01-16 18:00:00,0.5195,0.52467,0.51696,0.52257
2022-01-16 19:00:00,0.5226,0.52467,0.50876,0.50969
2022-01-16 20:00:00,0.50968,0.51332,0.50424,0.5091
2022-01-16 21:00:00,0.50908,0.5137,0.50327,0.50571
2022-01-16 22:00:00,0.50568,0.50846,0.49,0.49626
2022-01-16 23:00:00,0.49572,0.51039,0.49276,0.50756
2022-01-17 00:00:00,0.50756,0.50756,0.49825,0.50613
2022-01-17 01:00:00,0.50655,0.51675,0.50406,0.509
2022-01-17 02:00:00,0.50867,0.51194,0.50135,0.50335
2022-01-17 03:00:00,0.50312,0.50805,0.501,0.50371
2022-01-17 04:00:00,0.50374,0.50999,0.50269,0.50728
2022-01-17 05:00:00,0.50728,0.53377,0.50514,0.53377
2022-01-17 06:00:00,0.53377,0.54298,0.51705,0.51761
2022-01-17 07:00:00,0.51761,0.53453,0.51118,0.53098
2022-01-17 08:00:00,0.53021,0.5487,0.52803,0.54396
2022-01-17 09:00:00,0.54427,0.54662,0.53127,0.53314
2022-01-17 10:00:00,0.53382,0.53772,0.52153,0.52525
2022-01-17 11:00:00,0.52529,0.52598,0.51359,0.51787
2022-01-17 12:00:00,0.518,0.51862,0.50371,0.50658
2022-01-17 13:00:00,0.50658,0.515,0.50251,0.51297
