datetime,BETABUSD_open,BETABUSD_high,BETABUSD_low,BETABUSD_close
2022-05-02 23:00:00,0.27587,0.27664,0.27571,0.27656
2022-05-03 00:00:00,0.27636,0.27694,0.27498,0.27694
2022-05-03 01:00:00,0.277,0.27786,0.27563,0.276
2022-05-03 02:00:00,0.27546,0.27735,0.27522,0.27721
2022-05-03 03:00:00,0.27704,0.27874,0.27651,0.27653
2022-05-03 04:00:00,0.27638,0.2766,0.27278,0.27331
2022-05-03 05:00:00,0.27287,0.27382,0.27212,0.27268
2022-05-03 06:00:00,0.27268,0.27582,0.27151,0.27582
2022-05-03 07:00:00,0.27587,0.30241,0.27321,0.27949
2022-05-03 08:00:00,0.27992,0.28947,0.27602,0.28932
2022-05-03 09:00:00,0.28956,0.2943,0.27749,0.28133
2022-05-03 10:00:00,0.28101,0.28653,0.28072,0.28567
2022-05-03 11:00:00,0.28566,0.28613,0.27201,0.27464
2022-05-03 12:00:00,0.27502,0.27721,0.27485,0.2772
2022-05-03 13:00:00,0.27649,0.27702,0.2684,0.27148
2022-05-03 14:00:00,0.2715,0.2715,0.26839,0.27
2022-05-03 15:00:00,0.2695,0.27007,0.26843,0.26881
2022-05-03 16:00:00,0.26991,0.27183,0.2686,0.27081
2022-05-03 17:00:00,0.27109,0.27414,0.27109,0.27244
2022-05-03 18:00:00,0.27202,0.27231,0.27083,0.2719
2022-05-03 19:00:00,0.27215,0.27579,0.27163,0.27479
2022-05-03 20:00:00,0.27496,0.27634,0.27325,0.27331
2022-05-03 21:00:00,0.27407,0.27499,0.27325,0.27374
2022-05-03 22:00:00,0.27365,0.27558,0.27351,0.27472
2022-05-03 23:00:00,0.27555,0.27615,0.27241,0.27348
2022-05-04 00:00:00,0.2733,0.27434,0.27199,0.27412
2022-05-04 01:00:00,0.27431,0.27763,0.27414,0.27742
2022-05-04 02:00:00,0.27755,0.28461,0.27705,0.2815
2022-05-04 03:00:00,0.28159,0.284,0.28063,0.28272
2022-05-04 04:00:00,0.28283,0.28283,0.2805,0.2805
2022-05-04 05:00:00,0.28051,0.28454,0.2803,0.28256
2022-05-04 06:00:00,0.28246,0.28246,0.28,0.28097
2022-05-04 07:00:00,0.28093,0.28417,0.27885,0.27976
2022-05-04 08:00:00,0.27935,0.28052,0.27523,0.27538
2022-05-04 09:00:00,0.27605,0.27775,0.27363,0.27407
2022-05-04 10:00:00,0.27406,0.27622,0.27254,0.276
2022-05-04 11:00:00,0.27609,0.28052,0.27563,0.27977
2022-05-04 12:00:00,0.28052,0.28136,0.27759,0.28114
2022-05-04 13:00:00,0.28116,0.2882,0.28014,0.28763
2022-05-04 14:00:00,0.28767,0.29067,0.28709,0.2885
2022-05-04 15:00:00,0.28889,0.29221,0.28754,0.28981
2022-05-04 16:00:00,0.28995,0.29038,0.28788,0.28788
2022-05-04 17:00:00,0.28887,0.28965,0.2874,0.28823
2022-05-04 18:00:00,0.28819,0.2938,0.28797,0.29175
2022-05-04 19:00:00,0.29204,0.29699,0.29066,0.29472
2022-05-04 20:00:00,0.29471,0.29596,0.29052,0.29052
2022-05-04 21:00:00,0.29061,0.29454,0.29061,0.2937
2022-05-04 22:00:00,0.29361,0.2966,0.29244,0.29624
2022-05-04 23:00:00,0.2963,0.297,0.29477,0.29554
2022-05-05 00:00:00,0.29655,0.29799,0.2921,0.29262
2022-05-05 01:00:00,0.29226,0.29575,0.29226,0.29304
2022-05-05 02:00:00,0.29277,0.29277,0.28884,0.29052
2022-05-05 03:00:00,0.29008,0.29318,0.29002,0.29093
2022-05-05 04:00:00,0.29179,0.29208,0.28956,0.28989
2022-05-05 05:00:00,0.28991,0.29305,0.28991,0.29123
2022-05-05 06:00:00,0.29154,0.29269,0.28861,0.28861
2022-05-05 07:00:00,0.28853,0.28881,0.28631,0.28767
2022-05-05 08:00:00,0.28761,0.28879,0.278,0.27837
2022-05-05 09:00:00,0.27822,0.28004,0.27179,0.27259
2022-05-05 10:00:00,0.27194,0.27194,0.25508,0.2588
2022-05-05 11:00:00,0.25819,0.26233,0.25735,0.25928
2022-05-05 12:00:00,0.25897,0.26083,0.25579,0.25661
2022-05-05 13:00:00,0.25617,0.25618,0.24892,0.25265
2022-05-05 14:00:00,0.25309,0.2534,0.24582,0.2534
2022-05-05 15:00:00,0.25335,0.25655,0.25201,0.25655
2022-05-05 16:00:00,0.25604,0.25604,0.25384,0.25384
2022-05-05 17:00:00,0.25375,0.25375,0.25037,0.25037
2022-05-05 18:00:00,0.25105,0.25996,0.25105,0.25694
2022-05-05 19:00:00,0.25681,0.25879,0.25137,0.2535
2022-05-05 20:00:00,0.25376,0.25434,0.25095,0.2526
2022-05-05 21:00:00,0.25318,0.2555,0.25282,0.25282
2022-05-05 22:00:00,0.25339,0.25339,0.252,0.25314
2022-05-05 23:00:00,0.25313,0.25313,0.25015,0.25015
2022-05-06 00:00:00,0.25086,0.25302,0.25069,0.2528
2022-05-06 01:00:00,0.25311,0.25356,0.2515,0.25172
2022-05-06 02:00:00,0.25172,0.25251,0.24359,0.2486
2022-05-06 03:00:00,0.24814,0.24925,0.24671,0.24759
2022-05-06 04:00:00,0.24712,0.24976,0.24626,0.2493
2022-05-06 05:00:00,0.24963,0.24972,0.24479,0.24539
2022-05-06 06:00:00,0.24538,0.2481,0.24191,0.24417
2022-05-06 07:00:00,0.24505,0.249,0.24273,0.24631
2022-05-06 08:00:00,0.24547,0.24801,0.23928,0.24295
2022-05-06 09:00:00,0.2435,0.2473,0.24228,0.247
2022-05-06 10:00:00,0.24744,0.25229,0.24663,0.24677
2022-05-06 11:00:00,0.24796,0.24919,0.24432,0.24633
2022-05-06 12:00:00,0.24635,0.24656,0.24135,0.24239
2022-05-06 13:00:00,0.24198,0.24461,0.23968,0.24358
2022-05-06 14:00:00,0.24344,0.24579,0.24246,0.2442
2022-05-06 15:00:00,0.2441,0.24606,0.24225,0.24606
2022-05-06 16:00:00,0.24628,0.24674,0.24493,0.24499
2022-05-06 17:00:00,0.24559,0.24687,0.24508,0.24687
2022-05-06 18:00:00,0.24678,0.24858,0.2466,0.24676
2022-05-06 19:00:00,0.24677,0.24677,0.24504,0.24595
2022-05-06 20:00:00,0.24617,0.24641,0.24502,0.24632
2022-05-06 21:00:00,0.24527,0.24563,0.24358,0.24368
2022-05-06 22:00:00,0.24358,0.24358,0.24011,0.24012
2022-05-06 23:00:00,0.24038,0.2406,0.23758,0.23758
2022-05-07 00:00:00,0.23787,0.23986,0.23784,0.23986
2022-05-07 01:00:00,0.24003,0.24037,0.23806,0.23897
2022-05-07 02:00:00,0.23899,0.24399,0.23806,0.24385
2022-05-07 03:00:00,0.24403,0.24736,0.24171,0.24482
2022-05-07 04:00:00,0.24474,0.24575,0.24358,0.24403
2022-05-07 05:00:00,0.24341,0.24687,0.24197,0.246
2022-05-07 06:00:00,0.24679,0.25078,0.24639,0.24976
2022-05-07 07:00:00,0.24929,0.24953,0.24571,0.24669
2022-05-07 08:00:00,0.24735,0.24773,0.24526,0.24625
2022-05-07 09:00:00,0.24633,0.2503,0.24563,0.249
2022-05-07 10:00:00,0.24865,0.24915,0.24668,0.24706
2022-05-07 11:00:00,0.24704,0.2476,0.24469,0.246
2022-05-07 12:00:00,0.246,0.24759,0.24559,0.24613
2022-05-07 13:00:00,0.24613,0.24753,0.24512,0.24639
2022-05-07 14:00:00,0.24644,0.247,0.24568,0.24689
2022-05-07 15:00:00,0.24653,0.24653,0.24409,0.24518
2022-05-07 16:00:00,0.24507,0.24561,0.23804,0.23804
2022-05-07 17:00:00,0.23899,0.24065,0.23684,0.23782
2022-05-07 18:00:00,0.23908,0.24534,0.23908,0.2445
2022-05-07 19:00:00,0.24384,0.24479,0.24104,0.24104
2022-05-07 20:00:00,0.24238,0.24295,0.2386,0.24
