datetime,SOLUSD_open,SOLUSD_high,SOLUSD_low,SOLUSD_close
2022-01-15 09:00:00,145.35,145.73,144.87,145.61
2022-01-15 10:00:00,145.55,146.34,145.34,145.6
2022-01-15 11:00:00,145.61,146.85,145.36,146.46
2022-01-15 12:00:00,146.45,146.74,144.0,144.89
2022-01-15 13:00:00,144.77,145.63,144.31,145.45
2022-01-15 14:00:00,145.51,146.87,145.15,146.56
2022-01-15 15:00:00,146.51,148.82,145.87,148.1
2022-01-15 16:00:00,148.1,148.89,147.68,148.15
2022-01-15 17:00:00,148.15,148.87,147.99,148.47
2022-01-15 18:00:00,148.5,148.61,147.26,147.64
2022-01-15 19:00:00,147.64,148.49,147.45,148.02
2022-01-15 20:00:00,148.02,149.6,148.02,148.88
2022-01-15 21:00:00,148.88,149.28,147.63,148.12
2022-01-15 22:00:00,148.17,148.92,148.02,148.63
2022-01-15 23:00:00,148.64,148.75,147.48,147.78
2022-01-16 00:00:00,147.71,148.0,146.79,147.5
2022-01-16 01:00:00,147.52,148.34,147.26,147.31
2022-01-16 02:00:00,147.28,147.72,146.22,146.63
2022-01-16 03:00:00,146.61,147.32,146.25,147.0
2022-01-16 04:00:00,147.0,147.88,146.48,147.3
2022-01-16 05:00:00,147.29,147.66,146.58,146.65
2022-01-16 06:00:00,146.61,148.7,146.48,148.46
2022-01-16 07:00:00,148.47,150.1,148.32,149.76
2022-01-16 08:00:00,149.77,150.8,148.92,149.06
2022-01-16 09:00:00,149.06,149.57,148.82,149.17
2022-01-16 10:00:00,149.2,150.15,148.35,148.46
2022-01-16 11:00:00,148.38,148.7,147.74,148.23
2022-01-16 12:00:00,148.24,149.35,148.08,148.88
2022-01-16 13:00:00,148.88,150.0,147.13,149.92
2022-01-16 14:00:00,149.89,152.0,149.38,151.3
2022-01-16 15:00:00,151.33,151.47,149.77,150.06
2022-01-16 16:00:00,150.1,151.11,149.7,150.32
2022-01-16 17:00:00,150.36,150.82,149.17,149.64
2022-01-16 18:00:00,149.67,150.03,148.58,148.91
2022-01-16 19:00:00,148.91,149.03,147.87,148.05
2022-01-16 20:00:00,148.03,148.72,147.41,147.8
2022-01-16 21:00:00,147.75,148.25,146.16,146.84
2022-01-16 22:00:00,146.75,148.26,146.63,147.91
2022-01-16 23:00:00,147.91,148.48,147.38,147.98
2022-01-17 00:00:00,148.02,148.3,146.4,146.81
2022-01-17 01:00:00,146.8,147.03,145.51,145.99
2022-01-17 02:00:00,145.99,146.0,144.57,145.12
2022-01-17 03:00:00,145.09,145.23,143.0,143.06
2022-01-17 04:00:00,143.05,143.92,142.58,142.89
2022-01-17 05:00:00,142.84,143.26,141.77,143.1
2022-01-17 06:00:00,143.1,143.91,142.84,143.2
2022-01-17 07:00:00,143.14,143.9,143.05,143.38
2022-01-17 08:00:00,143.36,143.85,143.09,143.57
2022-01-17 09:00:00,143.66,143.93,143.21,143.75
2022-01-17 10:00:00,143.76,143.93,142.36,143.32
2022-01-17 11:00:00,143.33,143.76,142.37,142.54
2022-01-17 12:00:00,142.53,143.07,141.02,142.05
2022-01-17 13:00:00,142.05,143.01,142.0,142.41
2022-01-17 14:00:00,142.44,143.89,142.24,143.47
2022-01-17 15:00:00,143.51,143.55,141.79,142.24
2022-01-17 16:00:00,142.25,142.58,140.09,140.94
2022-01-17 17:00:00,140.95,141.08,139.21,139.98
2022-01-17 18:00:00,140.0,140.01,138.86,139.52
2022-01-17 19:00:00,139.5,140.24,139.2,140.01
2022-01-17 20:00:00,140.01,140.31,139.21,139.23
2022-01-17 21:00:00,139.21,139.63,137.14,138.32
2022-01-17 22:00:00,138.31,140.02,137.49,139.2
2022-01-17 23:00:00,139.2,140.39,139.2,139.85
2022-01-18 00:00:00,139.86,141.63,139.63,141.37
2022-01-18 01:00:00,141.37,141.91,140.5,140.91
2022-01-18 02:00:00,140.93,141.03,139.72,140.26
2022-01-18 03:00:00,140.31,140.58,138.95,139.3
2022-01-18 04:00:00,139.26,139.52,138.17,138.83
2022-01-18 05:00:00,138.8,139.37,138.33,139.13
2022-01-18 06:00:00,139.13,140.98,139.11,140.65
2022-01-18 07:00:00,140.65,140.94,139.57,140.27
2022-01-18 08:00:00,140.27,140.42,137.8,137.91
2022-01-18 09:00:00,137.9,138.21,136.12,137.45
2022-01-18 10:00:00,137.38,138.23,136.99,137.43
2022-01-18 11:00:00,137.39,137.84,136.99,137.67
2022-01-18 12:00:00,137.64,138.31,136.4,137.49
2022-01-18 13:00:00,137.44,137.6,135.29,136.46
2022-01-18 14:00:00,136.46,137.04,134.34,136.26
2022-01-18 15:00:00,136.27,137.84,135.7,136.75
2022-01-18 16:00:00,136.75,137.93,136.01,137.37
2022-01-18 17:00:00,137.35,137.74,136.31,136.46
2022-01-18 18:00:00,136.44,136.83,135.67,136.08
2022-01-18 19:00:00,136.1,137.63,135.94,137.09
2022-01-18 20:00:00,137.11,137.77,136.44,137.71
2022-01-18 21:00:00,137.72,140.9,137.41,140.64
2022-01-18 22:00:00,140.69,141.54,140.0,140.95
2022-01-18 23:00:00,140.92,143.04,140.14,141.35
2022-01-19 00:00:00,141.4,141.96,140.21,140.27
2022-01-19 01:00:00,140.3,142.79,140.27,142.01
2022-01-19 02:00:00,141.95,142.31,140.16,140.4
2022-01-19 03:00:00,140.4,140.82,137.01,137.98
2022-01-19 04:00:00,138.03,139.07,137.63,138.67
2022-01-19 05:00:00,138.64,139.22,137.98,138.33
2022-01-19 06:00:00,138.32,138.82,137.59,137.67
2022-01-19 07:00:00,137.63,137.74,134.15,134.49
2022-01-19 08:00:00,134.48,134.94,132.8,133.51
2022-01-19 09:00:00,133.5,134.85,133.28,134.61
2022-01-19 10:00:00,134.65,135.03,133.83,134.56
2022-01-19 11:00:00,134.57,136.43,134.51,136.24
2022-01-19 12:00:00,136.25,137.1,135.48,136.17
2022-01-19 13:00:00,136.17,137.48,136.15,136.88
2022-01-19 14:00:00,136.86,138.68,136.36,138.6
2022-01-19 15:00:00,138.64,138.72,135.92,137.01
2022-01-19 16:00:00,137.01,137.37,135.38,136.4
2022-01-19 17:00:00,136.43,138.15,136.28,137.4
2022-01-19 18:00:00,137.4,137.83,136.28,136.99
2022-01-19 19:00:00,136.95,137.23,136.27,136.79
2022-01-19 20:00:00,136.8,137.09,135.14,135.5
2022-01-19 21:00:00,135.51,136.43,135.51,135.88
2022-01-19 22:00:00,135.85,137.66,135.12,137.08
2022-01-19 23:00:00,137.1,137.24,135.11,135.33
2022-01-20 00:00:00,135.34,136.52,135.15,136.3
2022-01-20 01:00:00,136.31,136.58,134.58,135.24
2022-01-20 02:00:00,135.21,136.66,135.18,136.31
2022-01-20 03:00:00,136.34,137.34,136.0,137.16
2022-01-20 04:00:00,137.17,137.4,136.65,136.87
2022-01-20 05:00:00,136.89,137.23,136.31,137.12
2022-01-20 06:00:00,137.11,137.94,137.07,137.61
2022-01-20 07:00:00,137.61,137.73,137.14,137.45
2022-01-20 08:00:00,137.46,137.63,136.88,137.17
2022-01-20 09:00:00,137.18,137.24,135.72,136.78
2022-01-20 10:00:00,136.79,137.39,136.67,137.0
2022-01-20 11:00:00,137.01,138.28,137.01,137.96
2022-01-20 12:00:00,137.99,137.99,137.05,137.33
2022-01-20 13:00:00,137.34,140.24,137.2,139.25
2022-01-20 14:00:00,139.3,142.03,139.3,141.67
2022-01-20 15:00:00,141.73,143.83,141.45,143.27
2022-01-20 16:00:00,143.27,143.96,142.01,142.81
2022-01-20 17:00:00,142.81,142.96,140.14,140.25
2022-01-20 18:00:00,140.25,140.9,139.8,140.0
2022-01-20 19:00:00,140.0,141.55,139.72,139.91
2022-01-20 20:00:00,139.94,140.21,137.83,138.18
