datetime,XRPTUSD_open,XRPTUSD_high,XRPTUSD_low,XRPTUSD_close
2022-05-02 01:00:00,0.6296,0.63,0.6271,0.6271
2022-05-02 02:00:00,0.6251,0.6251,0.6223,0.6223
2022-05-02 03:00:00,0.6223,0.6223,0.6223,0.6223
2022-05-02 04:00:00,0.621,0.621,0.6168,0.6168
2022-05-02 05:00:00,0.6147,0.6151,0.6143,0.6143
2022-05-02 06:00:00,0.6168,0.6168,0.6096,0.6096
2022-05-02 07:00:00,0.611,0.6132,0.6098,0.6132
2022-05-02 08:00:00,0.6078,0.6133,0.6056,0.6117
2022-05-02 09:00:00,0.6105,0.614,0.6096,0.614
2022-05-02 10:00:00,0.6123,0.6123,0.6087,0.609
2022-05-02 11:00:00,0.6131,0.6131,0.612,0.6129
2022-05-02 12:00:00,0.6129,0.6129,0.6129,0.6129
2022-05-02 13:00:00,0.6004,0.6035,0.5981,0.6035
2022-05-02 14:00:00,0.6052,0.6088,0.604,0.6088
2022-05-02 15:00:00,0.6073,0.6073,0.6073,0.6073
2022-05-02 16:00:00,0.6105,0.6223,0.6105,0.6198
2022-05-02 17:00:00,0.6213,0.6213,0.6167,0.6167
2022-05-02 18:00:00,0.6153,0.6158,0.6153,0.6154
2022-05-02 19:00:00,0.6173,0.6213,0.6151,0.6213
2022-05-02 20:00:00,0.6227,0.6227,0.6227,0.6227
2022-05-02 21:00:00,0.6186,0.6206,0.6175,0.6206
2022-05-02 22:00:00,0.6215,0.6239,0.6215,0.6239
2022-05-02 23:00:00,0.622,0.6229,0.6209,0.6209
2022-05-03 00:00:00,0.6204,0.6204,0.6204,0.6204
2022-05-03 01:00:00,0.6151,0.6151,0.6151,0.6151
2022-05-03 02:00:00,0.6159,0.6194,0.6159,0.6194
2022-05-03 03:00:00,0.621,0.621,0.6186,0.6186
2022-05-03 04:00:00,0.6186,0.6186,0.6186,0.6186
2022-05-03 05:00:00,0.6162,0.6162,0.614,0.6159
2022-05-03 06:00:00,0.6184,0.6184,0.6184,0.6184
2022-05-03 07:00:00,0.6191,0.6191,0.6172,0.6172
2022-05-03 08:00:00,0.617,0.617,0.6148,0.6148
2022-05-03 09:00:00,0.6148,0.6154,0.6148,0.6154
2022-05-03 10:00:00,0.6154,0.6154,0.6154,0.6154
2022-05-03 11:00:00,0.6156,0.6156,0.6091,0.6091
2022-05-03 12:00:00,0.6091,0.6091,0.6091,0.6091
2022-05-03 13:00:00,0.607,0.607,0.6029,0.6029
2022-05-03 14:00:00,0.602,0.602,0.596,0.5973
2022-05-03 15:00:00,0.5973,0.605,0.5973,0.605
2022-05-03 16:00:00,0.605,0.605,0.605,0.605
2022-05-03 17:00:00,0.6025,0.6035,0.6025,0.6035
2022-05-03 18:00:00,0.6035,0.6035,0.6035,0.6035
2022-05-03 19:00:00,0.6035,0.6035,0.6035,0.6035
2022-05-03 20:00:00,0.6103,0.6103,0.6103,0.6103
