datetime,BIFIBUSD_open,BIFIBUSD_high,BIFIBUSD_low,BIFIBUSD_close
2022-01-06 18:00:00,1193.4,1194.5,1192.4,1194.3
2022-01-06 19:00:00,1194.6,1194.6,1189.7,1190.0
2022-01-06 20:00:00,1189.7,1189.9,1188.4,1188.4
2022-01-06 21:00:00,1192.0,1192.0,1175.5,1175.5
2022-01-06 22:00:00,1177.3,1185.8,1165.0,1166.9
2022-01-06 23:00:00,1167.5,1167.5,1135.3,1147.6
2022-01-07 00:00:00,1149.0,1153.9,1134.6,1137.5
2022-01-07 01:00:00,1138.6,1141.1,1111.1,1115.6
2022-01-07 02:00:00,1116.7,1127.3,1104.7,1119.3
2022-01-07 03:00:00,1124.4,1153.0,1122.2,1147.9
2022-01-07 04:00:00,1144.8,1162.2,1142.8,1162.2
2022-01-07 05:00:00,1161.9,1161.9,1144.4,1144.4
2022-01-07 06:00:00,1147.3,1152.3,1143.0,1146.4
2022-01-07 07:00:00,1145.2,1152.9,1138.0,1146.6
2022-01-07 08:00:00,1150.4,1156.7,1120.0,1124.6
2022-01-07 09:00:00,1126.8,1147.1,1123.0,1147.1
2022-01-07 10:00:00,1147.1,1149.1,1121.5,1127.9
2022-01-07 11:00:00,1128.5,1156.8,1123.5,1154.3
2022-01-07 12:00:00,1157.5,1157.6,1145.8,1147.4
2022-01-07 13:00:00,1149.6,1151.9,1140.0,1140.0
2022-01-07 14:00:00,1140.0,1142.7,1140.0,1142.7
2022-01-07 15:00:00,1142.9,1144.4,1140.0,1143.4
2022-01-07 16:00:00,1144.5,1144.5,1133.3,1139.2
2022-01-07 17:00:00,1137.6,1139.0,1127.9,1129.7
2022-01-07 18:00:00,1128.0,1128.0,1123.0,1123.0
2022-01-07 19:00:00,1127.0,1135.2,1120.1,1131.2
2022-01-07 20:00:00,1133.3,1140.8,1127.7,1130.7
2022-01-07 21:00:00,1130.5,1132.2,1130.5,1132.2
2022-01-07 22:00:00,1132.2,1164.0,1132.2,1161.2
2022-01-07 23:00:00,1163.3,1165.5,1161.0,1161.4
2022-01-08 00:00:00,1161.5,1161.5,1159.1,1159.1
2022-01-08 01:00:00,1161.4,1161.4,1152.8,1157.9
2022-01-08 02:00:00,1159.1,1163.2,1156.0,1158.6
2022-01-08 03:00:00,1161.4,1169.4,1161.1,1166.2
2022-01-08 04:00:00,1166.2,1172.0,1162.2,1172.0
2022-01-08 05:00:00,1172.0,1181.7,1169.7,1181.7
2022-01-08 06:00:00,1181.7,1184.2,1176.4,1184.2
2022-01-08 07:00:00,1184.0,1184.7,1175.9,1184.7
2022-01-08 08:00:00,1181.0,1185.3,1170.5,1172.8
2022-01-08 09:00:00,1172.3,1172.3,1162.9,1168.6
2022-01-08 10:00:00,1163.2,1164.1,1152.3,1152.3
2022-01-08 11:00:00,1156.5,1159.1,1101.0,1120.1
2022-01-08 12:00:00,1121.3,1123.0,1101.0,1103.8
2022-01-08 13:00:00,1103.2,1110.2,1086.1,1089.6
2022-01-08 14:00:00,1089.6,1105.7,1086.1,1105.7
2022-01-08 15:00:00,1102.5,1110.1,1097.9,1106.7
2022-01-08 16:00:00,1103.5,1146.9,1102.4,1139.0
2022-01-08 17:00:00,1140.2,1150.2,1140.2,1149.7
2022-01-08 18:00:00,1149.7,1173.3,1149.7,1167.6
2022-01-08 19:00:00,1170.3,1170.3,1157.3,1157.7
2022-01-08 20:00:00,1157.5,1158.3,1157.2,1157.7
2022-01-08 21:00:00,1158.1,1164.3,1158.1,1164.2
