datetime,BTCUSDT_open,BTCUSDT_high,BTCUSDT_low,BTCUSDT_close
2022-03-01 10:00:00,43236.68,43590.9,42842.84,43560.86
2022-03-01 11:00:00,43551.84,43855.46,43373.64,43567.9
2022-03-01 12:00:00,43599.4,44749.42,43599.4,44655.55
2022-03-01 13:00:00,44630.29,44954.54,44430.02,44430.02
2022-03-01 14:00:00,44437.53,44681.98,43725.87,43878.53
2022-03-01 15:00:00,43932.98,44073.87,43361.87,43631.05
2022-03-01 16:00:00,43629.28,44063.81,43217.45,43387.76
2022-03-01 17:00:00,43358.78,43858.83,43246.49,43649.97
2022-03-01 18:00:00,43612.05,43882.24,43461.44,43817.92
2022-03-01 19:00:00,43799.99,44077.69,43680.97,43701.13
2022-03-01 20:00:00,43776.31,44118.0,43721.78,44075.79
2022-03-01 21:00:00,44113.25,44268.65,43755.28,43890.31
2022-03-01 22:00:00,43878.07,44215.45,43782.96,44151.17
2022-03-01 23:00:00,44120.07,44513.58,44067.82,44430.37
2022-03-02 00:00:00,44430.37,44759.81,43941.86,44275.11
2022-03-02 01:00:00,44257.21,44390.49,43828.39,44028.58
2022-03-02 02:00:00,43989.88,44289.75,43858.51,44229.13
2022-03-02 03:00:00,44210.18,44545.12,44074.4,44350.3
2022-03-02 04:00:00,44348.22,44554.82,44149.55,44246.77
2022-03-02 05:00:00,44237.26,44351.68,44081.51,44276.44
2022-03-02 06:00:00,44272.69,44373.58,43886.82,43926.91
2022-03-02 07:00:00,43947.15,44000.48,43660.54,44000.48
2022-03-02 08:00:00,43998.31,44282.23,43781.5,43855.3
2022-03-02 09:00:00,43821.49,44161.66,43755.69,43940.43
2022-03-02 10:00:00,43940.47,44331.19,43857.78,44130.4
2022-03-02 11:00:00,44150.97,44227.46,44000.99,44095.53
2022-03-02 12:00:00,44108.41,44347.36,43784.86,44002.07
2022-03-02 13:00:00,43982.48,44034.29,43335.34,43530.19
2022-03-02 14:00:00,43506.78,44862.47,43505.98,44814.31
2022-03-02 15:00:00,44849.75,45315.23,43851.54,44120.18
2022-03-02 16:00:00,44118.69,44482.41,43958.16,44254.92
2022-03-02 17:00:00,44231.07,44431.97,43726.0,43756.74
2022-03-02 18:00:00,43755.42,43937.96,43547.93,43605.35
2022-03-02 19:00:00,43609.77,43796.18,43426.38,43706.86
2022-03-02 20:00:00,43715.11,43878.36,43678.55,43816.41
2022-03-02 21:00:00,43781.07,44103.63,43743.48,44081.05
2022-03-02 22:00:00,44062.17,44367.11,43897.22,44071.02
2022-03-02 23:00:00,44063.13,44179.1,43854.12,43894.43
2022-03-03 00:00:00,43887.95,44048.54,43660.54,43994.16
2022-03-03 01:00:00,43992.08,44019.89,43700.0,43786.59
2022-03-03 02:00:00,43789.65,43822.85,43588.38,43794.43
2022-03-03 03:00:00,43799.33,43842.23,43220.0,43293.87
2022-03-03 04:00:00,43321.58,43460.83,43255.59,43427.02
2022-03-03 05:00:00,43429.69,43496.16,43298.66,43364.9
2022-03-03 06:00:00,43321.17,43470.54,42926.73,43435.02
2022-03-03 07:00:00,43425.71,43679.71,43362.61,43492.54
2022-03-03 08:00:00,43464.06,43613.82,43270.9,43455.46
2022-03-03 09:00:00,43470.58,43470.58,43111.0,43162.36
2022-03-03 10:00:00,43160.42,43459.95,43084.18,43349.72
2022-03-03 11:00:00,43341.44,43600.0,43304.89,43378.75
2022-03-03 12:00:00,43372.7,43789.53,43309.61,43569.74
2022-03-03 13:00:00,43565.79,44059.36,43515.45,43989.33
2022-03-03 14:00:00,44011.33,44085.65,43346.85,43411.6
2022-03-03 15:00:00,43383.3,43503.71,42351.94,42546.12
2022-03-03 16:00:00,42535.09,42730.64,42279.73,42417.73
2022-03-03 17:00:00,42401.99,42579.05,42060.0,42345.64
2022-03-03 18:00:00,42320.99,42516.41,42185.31,42238.64
2022-03-03 19:00:00,42288.27,42412.86,42082.41,42216.68
2022-03-03 20:00:00,42205.22,42275.38,41831.12,42023.2
2022-03-03 21:00:00,42034.2,42124.39,41830.21,42089.1
2022-03-03 22:00:00,42088.69,42698.62,42077.51,42484.37
2022-03-03 23:00:00,42490.85,42612.55,42390.27,42462.2
2022-03-04 00:00:00,42465.41,42527.43,41507.98,41568.26
2022-03-04 01:00:00,41583.26,41666.87,41059.13,41501.96
2022-03-04 02:00:00,41474.92,41551.49,41326.99,41395.05
2022-03-04 03:00:00,41398.89,41487.54,41240.88,41435.55
2022-03-04 04:00:00,41451.42,41451.43,41109.84,41369.63
2022-03-04 05:00:00,41380.82,41438.85,41259.93,41379.71
2022-03-04 06:00:00,41390.06,41496.4,41278.16,41415.68
2022-03-04 07:00:00,41410.19,41472.76,41275.18,41421.45
2022-03-04 08:00:00,41439.69,41772.13,40867.54,41594.67
2022-03-04 09:00:00,41546.01,41835.21,41327.78,41511.9
2022-03-04 10:00:00,41556.66,41773.58,41463.55,41689.12
2022-03-04 11:00:00,41695.67,41899.12,41582.57,41678.59
2022-03-04 12:00:00,41697.69,41767.01,41341.02,41522.38
2022-03-04 13:00:00,41506.38,41816.99,41231.37,41294.24
2022-03-04 14:00:00,41294.24,41524.49,40651.0,41106.67
2022-03-04 15:00:00,41096.13,41230.76,40561.64,40677.2
2022-03-04 16:00:00,40687.22,40815.48,40411.58,40750.63
2022-03-04 17:00:00,40733.58,40954.46,40669.93,40873.93
2022-03-04 18:00:00,40874.69,40922.23,40566.35,40635.51
2022-03-04 19:00:00,40635.11,40635.11,39666.19,39761.18
2022-03-04 20:00:00,39729.5,39874.33,39072.26,39481.5
2022-03-04 21:00:00,39463.5,39631.34,39214.0,39388.56
2022-03-04 22:00:00,39388.56,39463.61,38560.2,39003.86
2022-03-04 23:00:00,38982.0,39244.48,38851.84,39153.2
2022-03-05 00:00:00,39147.01,39189.84,38743.24,38743.24
2022-03-05 01:00:00,38748.02,39075.0,38575.31,38970.25
2022-03-05 02:00:00,38954.05,39064.38,38848.98,38869.84
2022-03-05 03:00:00,38838.65,39120.6,38826.6,39048.24
2022-03-05 04:00:00,39055.18,39097.65,38727.64,38865.19
2022-03-05 05:00:00,38851.05,39001.19,38801.05,39001.19
2022-03-05 06:00:00,39010.83,39093.62,38930.15,38983.09
2022-03-05 07:00:00,38992.66,39145.1,38950.08,39019.25
2022-03-05 08:00:00,39042.82,39351.68,38951.15,39091.8
2022-03-05 09:00:00,39114.19,39115.26,38970.82,39029.65
2022-03-05 10:00:00,39052.94,39169.04,38800.0,39148.14
2022-03-05 11:00:00,39148.14,39285.28,39072.04,39138.48
2022-03-05 12:00:00,39127.06,39358.56,39055.9,39086.83
2022-03-05 13:00:00,39082.72,39096.23,38901.02,38989.85
2022-03-05 14:00:00,39023.58,39170.95,38933.48,39134.77
2022-03-05 15:00:00,39134.78,39197.08,39049.31,39163.35
2022-03-05 16:00:00,39174.61,39617.45,39127.67,39346.83
2022-03-05 17:00:00,39334.83,39575.84,39334.83,39441.07
2022-03-05 18:00:00,39444.47,39452.26,39267.34,39423.65
2022-03-05 19:00:00,39400.66,39472.72,39350.01,39443.15
2022-03-05 20:00:00,39411.95,39587.7,39386.32,39459.43
2022-03-05 21:00:00,39452.53,39542.49,39363.83,39393.98
2022-03-05 22:00:00,39382.73,39485.11,39277.04,39462.13
2022-03-05 23:00:00,39453.86,39453.86,39317.28,39397.62
2022-03-06 00:00:00,39392.43,39690.0,39346.89,39645.91
2022-03-06 01:00:00,39667.28,39668.15,39422.73,39423.84
2022-03-06 02:00:00,39426.27,39528.02,39368.8,39528.02
2022-03-06 03:00:00,39501.08,39556.03,39270.35,39288.19
2022-03-06 04:00:00,39287.68,39580.15,38818.9,39463.1
2022-03-06 05:00:00,39462.79,39661.24,39430.0,39533.3
2022-03-06 06:00:00,39516.07,39628.06,39328.21,39490.85
2022-03-06 07:00:00,39510.33,39510.33,39260.64,39361.95
2022-03-06 08:00:00,39358.07,39362.31,39116.61,39144.87
2022-03-06 09:00:00,39130.0,39188.91,38630.11,38695.58
2022-03-06 10:00:00,38712.22,38712.32,38142.0,38254.32
2022-03-06 11:00:00,38287.34,38375.12,38093.16,38324.6
2022-03-06 12:00:00,38343.31,38686.1,38290.99,38515.67
2022-03-06 13:00:00,38509.9,39051.28,38509.9,38893.2
2022-03-06 14:00:00,38919.24,38954.49,38687.59,38811.13
2022-03-06 15:00:00,38786.77,38902.18,38613.51,38856.73
2022-03-06 16:00:00,38810.47,39364.82,38738.6,39224.15
2022-03-06 17:00:00,39233.91,39250.59,38935.57,38998.49
2022-03-06 18:00:00,38979.89,39133.42,38711.66,38884.39
2022-03-06 19:00:00,38891.21,38921.28,38527.16,38659.93
2022-03-06 20:00:00,38636.72,38892.84,38636.72,38856.22
2022-03-06 21:00:00,38851.03,39233.02,38752.08,39030.85
2022-03-06 22:00:00,38999.47,39200.0,38944.25,38944.25
2022-03-06 23:00:00,38963.68,39013.45,38151.29,38405.71
2022-03-07 00:00:00,38393.39,38514.78,38005.0,38399.42
2022-03-07 01:00:00,38403.67,38546.83,38274.46,38310.42
2022-03-07 02:00:00,38296.26,38359.1,37584.6,37767.05
2022-03-07 03:00:00,37792.29,37978.76,37585.87,37868.46
2022-03-07 04:00:00,37880.8,37974.27,37772.55,37914.07
2022-03-07 05:00:00,37930.02,38234.19,37810.18,38020.9
2022-03-07 06:00:00,38013.1,38205.06,37987.4,38149.04
2022-03-07 07:00:00,38173.71,38200.28,37822.01,37934.14
2022-03-07 08:00:00,37893.5,38195.92,37669.06,38169.42
2022-03-07 09:00:00,38182.93,38385.08,38135.07,38162.82
2022-03-07 10:00:00,38159.7,38265.77,37979.88,38045.05
2022-03-07 11:00:00,37981.59,38402.61,37981.59,38354.83
2022-03-07 12:00:00,38370.47,38757.87,38370.47,38590.27
2022-03-07 13:00:00,38612.3,39182.17,38535.48,39040.94
2022-03-07 14:00:00,39056.26,39284.38,38843.19,38843.19
2022-03-07 15:00:00,38864.71,39160.04,38644.95,39075.38
2022-03-07 16:00:00,39060.93,39549.48,38749.83,38811.74
2022-03-07 17:00:00,38759.73,38977.02,38540.42,38611.43
2022-03-07 18:00:00,38587.07,38587.07,37769.0,37989.39
2022-03-07 19:00:00,37959.76,38032.39,37190.29,37302.1
2022-03-07 20:00:00,37297.32,37780.0,37162.15,37544.29
2022-03-07 21:00:00,37579.57,38258.77,37503.91,37824.79
2022-03-07 22:00:00,37828.4,38482.33,37779.35,38191.48
2022-03-07 23:00:00,38175.07,38500.19,37886.91,37987.0
2022-03-08 00:00:00,37990.32,38372.16,37866.31,38203.15
2022-03-08 01:00:00,38194.87,38498.19,38046.44,38272.14
2022-03-08 02:00:00,38274.53,38948.97,38146.59,38638.68
2022-03-08 03:00:00,38622.65,38712.36,38522.0,38712.36
2022-03-08 04:00:00,38701.8,38829.38,38477.35,38523.13
2022-03-08 05:00:00,38562.78,38588.05,38216.31,38370.06
2022-03-08 06:00:00,38357.91,38496.18,38006.53,38279.58
2022-03-08 07:00:00,38240.17,38737.78,38166.11,38566.57
2022-03-08 08:00:00,38594.48,39110.19,38474.72,38824.87
2022-03-08 09:00:00,38810.86,39011.8,38708.89,38980.19
2022-03-08 10:00:00,38994.44,39186.0,38719.48,39027.48
2022-03-08 11:00:00,39008.89,39085.11,38745.34,38976.44
2022-03-08 12:00:00,38996.55,39220.27,38618.48,38808.58
2022-03-08 13:00:00,38817.37,39075.0,38633.76,38859.87
2022-03-08 14:00:00,38843.88,39175.86,38542.37,38749.18
2022-03-08 15:00:00,38708.89,38903.69,38316.4,38651.89
2022-03-08 16:00:00,38662.75,38851.75,38137.46,38301.05
2022-03-08 17:00:00,38312.37,39159.04,38301.05,39122.98
2022-03-08 18:00:00,39137.46,39370.68,38655.45,38679.31
2022-03-08 19:00:00,38672.21,38821.04,38472.22,38760.45
2022-03-08 20:00:00,38767.22,38897.07,38439.53,38508.83
2022-03-08 21:00:00,38491.29,38575.73,38387.89,38492.69
2022-03-08 22:00:00,38495.49,38636.27,38495.49,38545.8
2022-03-08 23:00:00,38544.58,38786.72,38523.63,38728.64
2022-03-09 00:00:00,38704.93,39034.02,38654.95,38960.38
2022-03-09 01:00:00,39012.48,39314.49,38905.13,39214.14
2022-03-09 02:00:00,39232.23,39525.38,39142.1,39458.74
2022-03-09 03:00:00,39395.95,41458.74,39380.48,41209.23
2022-03-09 04:00:00,41273.13,41880.25,41246.36,41627.73
2022-03-09 05:00:00,41649.88,41702.56,41331.14,41515.71
2022-03-09 06:00:00,41518.75,41646.69,41428.78,41600.55
2022-03-09 07:00:00,41586.95,41811.44,41513.83,41783.75
2022-03-09 08:00:00,41768.14,42441.56,41636.52,42047.77
2022-03-09 09:00:00,42090.74,42218.02,41923.29,42018.05
2022-03-09 10:00:00,42004.47,42227.55,41977.38,42225.9
2022-03-09 11:00:00,42206.61,42378.77,42012.82,42171.66
2022-03-09 12:00:00,42180.16,42539.15,41712.98,41910.73
2022-03-09 13:00:00,41911.93,42060.68,41666.66,41854.33
2022-03-09 14:00:00,41867.13,42307.81,41839.22,42216.93
2022-03-09 15:00:00,42214.8,42576.34,42117.93,42528.24
2022-03-09 16:00:00,42513.33,42559.21,42144.14,42213.08
2022-03-09 17:00:00,42207.19,42347.24,42103.27,42295.58
2022-03-09 18:00:00,42310.34,42324.19,41850.94,42026.65
2022-03-09 19:00:00,42010.44,42260.83,41773.41,42223.53
2022-03-09 20:00:00,42222.16,42326.84,41702.26,41804.44
2022-03-09 21:00:00,41831.98,41940.6,41683.63,41866.69
2022-03-09 22:00:00,41868.99,42059.19,41779.29,41901.38
2022-03-09 23:00:00,41905.08,42138.9,41808.29,41944.14
2022-03-10 00:00:00,41951.6,42024.1,41748.86,41833.58
2022-03-10 01:00:00,41823.44,41946.36,40826.12,40901.46
2022-03-10 02:00:00,40916.49,41058.72,40647.02,40734.42
